M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7244,-0.8374,1.657e-01
0.92,0.90,1.8464,-0.2943,1.678e-01
0.94,0.90,1.8673,-0.3306,1.712e-01
0.96,0.90,1.8732,-0.3385,1.756e-01
0.98,0.90,1.8797,-0.3473,1.813e-01
1.00,0.90,1.8865,-0.3571,1.880e-01
1.02,0.90,1.8936,-0.3675,1.958e-01
1.04,0.90,1.9007,-0.3784,2.045e-01
1.06,0.90,1.9076,-0.3896,2.141e-01
1.08,0.90,1.9144,-0.4010,2.244e-01
1.10,0.90,1.9209,-0.4123,2.353e-01
1.12,0.90,1.9270,-0.4233,2.467e-01
1.14,0.90,1.9327,-0.4341,2.584e-01
1.16,0.90,1.9380,-0.4445,2.703e-01
1.18,0.90,1.9429,-0.4544,2.823e-01
1.20,0.90,1.9474,-0.4638,2.943e-01
1.22,0.90,1.9515,-0.4727,3.062e-01
1.24,0.90,1.9552,-0.4810,3.179e-01
1.26,0.90,1.9586,-0.4888,3.293e-01
1.28,0.90,1.9617,-0.4961,3.404e-01
1.30,0.90,1.9645,-0.5029,3.512e-01
1.32,0.90,1.9624,-0.4842,3.616e-01
1.34,0.90,1.9708,-0.5504,3.716e-01
1.36,0.90,1.9345,-0.6390,3.811e-01
1.38,0.90,2.0164,-0.7595,3.902e-01
1.40,0.90,2.0347,-0.7423,3.989e-01
1.42,0.90,2.0347,-0.7423,4.072e-01
1.44,0.90,2.0347,-0.7422,4.150e-01
1.46,0.90,2.0347,-0.7422,4.225e-01
1.48,0.90,2.0347,-0.7422,4.295e-01
1.50,0.90,2.0347,-0.7422,4.362e-01
1.52,0.90,2.0347,-0.7421,4.425e-01
1.54,0.90,2.0347,-0.7421,4.485e-01
1.56,0.90,2.0346,-0.7421,4.541e-01
1.58,0.90,2.0346,-0.7421,4.595e-01
1.60,0.90,2.0346,-0.7421,4.645e-01
1.62,0.90,2.0346,-0.7421,4.693e-01
1.64,0.90,2.0346,-0.7421,4.738e-01
1.66,0.90,2.0346,-0.7420,4.780e-01
1.68,0.90,2.0346,-0.7420,4.820e-01
1.70,0.90,2.0346,-0.7420,4.858e-01
1.72,0.90,2.0346,-0.7420,4.894e-01
1.74,0.90,2.0346,-0.7420,4.927e-01
1.76,0.90,2.0346,-0.7420,4.959e-01
1.78,0.90,2.0346,-0.7420,4.989e-01
1.80,0.90,2.0346,-0.7420,5.018e-01
1.82,0.90,2.0346,-0.7420,5.045e-01
