M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,4.233e-01
0.92,0.90,2.0342,-0.7412,4.233e-01
0.94,0.90,2.0342,-0.7412,4.233e-01
0.96,0.90,2.0342,-0.7412,4.233e-01
0.98,0.90,2.0342,-0.7412,4.233e-01
1.00,0.90,2.0342,-0.7412,4.233e-01
1.02,0.90,2.0342,-0.7412,4.233e-01
1.04,0.90,2.0342,-0.7412,4.233e-01
1.06,0.90,2.0342,-0.7412,4.233e-01
1.08,0.90,2.0342,-0.7412,4.233e-01
1.10,0.90,2.0342,-0.7412,4.233e-01
1.12,0.90,2.0342,-0.7412,4.233e-01
1.14,0.90,2.0342,-0.7412,4.233e-01
1.16,0.90,2.0342,-0.7412,4.233e-01
1.18,0.90,2.0342,-0.7412,4.233e-01
1.20,0.90,2.0342,-0.7412,4.233e-01
1.22,0.90,2.0342,-0.7412,4.233e-01
1.24,0.90,2.0342,-0.7412,4.233e-01
1.26,0.90,1.9781,-0.5378,4.248e-01
1.28,0.90,1.9262,-0.4220,4.264e-01
1.30,0.90,1.8792,-0.3466,4.281e-01
1.32,0.90,1.8241,-0.2597,4.297e-01
1.34,0.90,1.8002,-0.3116,4.314e-01
1.36,0.90,1.6417,-0.4934,4.331e-01
1.38,0.90,1.9245,-0.8547,4.348e-01
1.40,0.90,2.0381,-0.7503,4.366e-01
1.42,0.90,2.0386,-0.7515,4.383e-01
1.44,0.90,2.0392,-0.7528,4.401e-01
1.46,0.90,2.0397,-0.7540,4.419e-01
1.48,0.90,2.0402,-0.7552,4.438e-01
1.50,0.90,2.0407,-0.7565,4.456e-01
1.52,0.90,2.0412,-0.7577,4.475e-01
1.54,0.90,2.0417,-0.7590,4.493e-01
1.56,0.90,2.0422,-0.7602,4.512e-01
1.58,0.90,2.0427,-0.7615,4.531e-01
1.60,0.90,2.0433,-0.7628,4.550e-01
1.62,0.90,2.0438,-0.7641,4.570e-01
1.64,0.90,2.0443,-0.7654,4.589e-01
1.66,0.90,2.0448,-0.7667,4.609e-01
1.68,0.90,2.0453,-0.7680,4.628e-01
1.70,0.90,2.0458,-0.7692,4.648e-01
1.72,0.90,2.0463,-0.7705,4.668e-01
1.74,0.90,2.0469,-0.7718,4.688e-01
1.76,0.90,2.0474,-0.7732,4.708e-01
1.78,0.90,2.0479,-0.7745,4.728e-01
1.80,0.90,2.0484,-0.7758,4.748e-01
1.82,0.90,2.0489,-0.7771,4.768e-01
1.84,0.90,2.0494,-0.7784,4.789e-01
1.86,0.90,2.0499,-0.7797,4.809e-01
1.88,0.90,2.0504,-0.7810,4.829e-01
1.90,0.90,2.0508,-0.7822,4.850e-01
1.92,0.90,2.0513,-0.7835,4.870e-01
1.94,0.90,2.0518,-0.7848,4.890e-01
1.96,0.90,2.0523,-0.7861,4.910e-01
1.98,0.90,2.0528,-0.7874,4.931e-01
2.00,0.90,2.0532,-0.7886,4.951e-01
2.02,0.90,2.0537,-0.7899,4.971e-01
2.04,0.90,2.0542,-0.7911,4.991e-01
2.06,0.90,2.0546,-0.7924,5.011e-01
2.08,0.90,2.0551,-0.7936,5.031e-01
2.10,0.90,2.0555,-0.7948,5.051e-01
2.12,0.90,2.0559,-0.7960,5.070e-01
2.14,0.90,2.0564,-0.7972,5.089e-01
2.16,0.90,2.0568,-0.7984,5.108e-01
2.18,0.90,2.0572,-0.7995,5.127e-01
2.20,0.90,2.0576,-0.8007,5.146e-01
2.22,0.90,2.0580,-0.8018,5.164e-01
2.24,0.90,2.0584,-0.8028,5.181e-01
2.26,0.90,2.0588,-0.8039,5.199e-01
2.28,0.90,2.0591,-0.8049,5.215e-01
2.30,0.90,2.0594,-0.8058,5.231e-01
2.32,0.90,2.0598,-0.8067,5.246e-01
2.34,0.90,2.0600,-0.8075,5.259e-01
2.36,0.90,2.0603,-0.8082,5.271e-01
2.38,0.90,2.0605,-0.8088,5.281e-01
2.40,0.90,2.0606,-0.8091,5.286e-01
2.42,0.90,2.0605,-0.8089,5.282e-01
0.92,0.92,2.0342,-0.7412,4.119e-01
0.94,0.92,2.0342,-0.7412,4.119e-01
0.96,0.92,2.0342,-0.7412,4.119e-01
0.98,0.92,2.0342,-0.7412,4.119e-01
1.00,0.92,2.0342,-0.7412,4.119e-01
1.02,0.92,2.0342,-0.7412,4.119e-01
1.04,0.92,2.0342,-0.7412,4.119e-01
1.06,0.92,2.0342,-0.7412,4.119e-01
1.08,0.92,2.0342,-0.7412,4.119e-01
1.10,0.92,2.0342,-0.7412,4.119e-01
1.12,0.92,2.0342,-0.7412,4.119e-01
1.14,0.92,2.0342,-0.7412,4.119e-01
1.16,0.92,2.0342,-0.7412,4.119e-01
1.18,0.92,2.0342,-0.7412,4.119e-01
1.20,0.92,2.0342,-0.7412,4.119e-01
1.22,0.92,2.0342,-0.7412,4.119e-01
1.24,0.92,2.0342,-0.7412,4.119e-01
1.26,0.92,1.9957,-0.5894,4.129e-01
1.28,0.92,1.9429,-0.4544,4.144e-01
1.30,0.92,1.8950,-0.3697,4.160e-01
1.32,0.92,1.8420,-0.2732,4.176e-01
1.34,0.92,1.7739,-0.3560,4.192e-01
1.36,0.92,1.7479,-0.1274,4.208e-01
1.38,0.92,1.6800,-1.0850,4.224e-01
1.40,0.92,2.0379,-0.7498,4.241e-01
1.42,0.92,2.0384,-0.7510,4.258e-01
