M1,M2,SrDy,ThDy,total_mass
0.90,0.90,0.1385,-0.9522,8.390e-01
0.92,0.90,0.4491,0.0361,7.968e-01
0.94,0.90,0.5378,0.0202,7.598e-01
0.96,0.90,0.5805,0.0190,7.272e-01
0.98,0.90,0.6219,0.0177,6.986e-01
1.00,0.90,0.6619,0.0163,6.734e-01
1.02,0.90,0.7006,0.0148,6.511e-01
1.04,0.90,0.7379,0.0132,6.315e-01
1.06,0.90,0.7739,0.0116,6.140e-01
1.08,0.90,0.8085,0.0099,5.986e-01
1.10,0.90,0.8417,0.0081,5.849e-01
1.12,0.90,0.8736,0.0062,5.727e-01
1.14,0.90,0.9041,0.0043,5.618e-01
1.16,0.90,0.9333,0.0023,5.520e-01
1.18,0.90,0.9612,0.0002,5.433e-01
1.20,0.90,0.9879,-0.0018,5.355e-01
1.22,0.90,1.0133,-0.0040,5.285e-01
1.24,0.90,1.0376,-0.0061,5.222e-01
1.26,0.90,1.0607,-0.0083,5.165e-01
1.28,0.90,1.0826,-0.0105,5.114e-01
1.30,0.90,1.1035,-0.0127,5.067e-01
1.32,0.90,1.0954,0.0134,5.025e-01
1.34,0.90,1.1505,-0.0856,4.986e-01
1.36,0.90,0.9631,-0.4021,4.951e-01
1.38,0.90,1.6122,-1.1850,4.919e-01
1.40,0.90,2.0518,-0.7848,4.890e-01
1.42,0.90,2.0512,-0.7831,4.863e-01
1.44,0.90,2.0506,-0.7815,4.839e-01
1.46,0.90,2.0500,-0.7801,4.816e-01
1.48,0.90,2.0495,-0.7787,4.795e-01
1.50,0.90,2.0490,-0.7775,4.775e-01
1.52,0.90,2.0486,-0.7763,4.757e-01
1.54,0.90,2.0482,-0.7753,4.741e-01
1.56,0.90,2.0478,-0.7743,4.725e-01
1.58,0.90,2.0474,-0.7733,4.711e-01
1.60,0.90,2.0471,-0.7724,4.697e-01
1.62,0.90,2.0468,-0.7716,4.684e-01
1.64,0.90,2.0465,-0.7708,4.673e-01
1.66,0.90,2.0462,-0.7701,4.661e-01
1.68,0.90,2.0459,-0.7694,4.651e-01
1.70,0.90,2.0456,-0.7688,4.641e-01
1.72,0.90,2.0454,-0.7682,4.632e-01
1.74,0.90,2.0452,-0.7676,4.623e-01
1.76,0.90,2.0450,-0.7671,4.615e-01
1.78,0.90,2.0448,-0.7666,4.607e-01
1.80,0.90,2.0446,-0.7661,4.600e-01
1.82,0.90,2.0444,-0.7656,4.593e-01
1.84,0.90,2.0442,-0.7652,4.586e-01
1.86,0.90,2.0441,-0.7648,4.580e-01
1.88,0.90,2.0439,-0.7644,4.574e-01
1.90,0.90,2.0438,-0.7640,4.569e-01
1.92,0.90,2.0436,-0.7637,4.564e-01
1.94,0.90,2.0435,-0.7634,4.559e-01
1.96,0.90,2.0434,-0.7630,4.554e-01
1.98,0.90,2.0432,-0.7628,4.550e-01
2.00,0.90,2.0431,-0.7625,4.546e-01
2.02,0.90,2.0430,-0.7622,4.542e-01
2.04,0.90,2.0429,-0.7620,4.538e-01
2.06,0.90,2.0428,-0.7618,4.535e-01
2.08,0.90,2.0428,-0.7616,4.532e-01
2.10,0.90,2.0427,-0.7614,4.529e-01
2.12,0.90,2.0426,-0.7612,4.526e-01
2.14,0.90,2.0425,-0.7610,4.524e-01
2.16,0.90,2.0425,-0.7609,4.522e-01
2.18,0.90,2.0424,-0.7607,4.520e-01
2.20,0.90,2.0424,-0.7606,4.518e-01
2.22,0.90,2.0423,-0.7605,4.516e-01
2.24,0.90,2.0423,-0.7604,4.515e-01
2.26,0.90,2.0423,-0.7603,4.513e-01
2.28,0.90,2.0422,-0.7603,4.512e-01
2.30,0.90,2.0422,-0.7602,4.511e-01
2.32,0.90,2.0422,-0.7601,4.511e-01
2.34,0.90,2.0422,-0.7601,4.510e-01
2.36,0.90,2.0422,-0.7601,4.510e-01
2.38,0.90,2.0421,-0.7600,4.509e-01
2.40,0.90,2.0421,-0.7600,4.509e-01
2.42,0.90,2.0421,-0.7600,4.509e-01
0.92,0.92,0.4806,0.0999,7.354e-01
0.94,0.92,0.6258,0.1484,7.031e-01
0.96,0.92,0.6298,0.0174,6.748e-01
0.98,0.92,0.6713,0.0159,6.498e-01
1.00,0.92,0.7114,0.0144,6.279e-01
1.02,0.92,0.7501,0.0127,6.086e-01
1.04,0.92,0.7873,0.0109,5.915e-01
1.06,0.92,0.8232,0.0091,5.764e-01
1.08,0.92,0.8577,0.0071,5.630e-01
1.10,0.92,0.8908,0.0051,5.512e-01
1.12,0.92,0.9225,0.0030,5.406e-01
1.14,0.92,0.9528,0.0009,5.312e-01
1.16,0.92,0.9818,-0.0013,5.228e-01
1.18,0.92,1.0094,-0.0036,5.153e-01
1.20,0.92,1.0357,-0.0059,5.086e-01
1.22,0.92,1.0608,-0.0083,5.026e-01
1.24,0.92,1.0846,-0.0107,4.971e-01
1.26,0.92,1.1073,-0.0131,4.923e-01
1.28,0.92,1.1288,-0.0155,4.879e-01
1.30,0.92,1.1493,-0.0179,4.839e-01
1.32,0.92,1.1459,0.0159,4.803e-01
1.34,0.92,1.1119,-0.1628,4.770e-01
1.36,0.92,1.1577,0.0774,4.740e-01
1.38,0.92,1.1305,-1.5900,4.712e-01
1.40,0.92,2.0501,-0.7802,4.687e-01
1.42,0.92,2.0495,-0.7787,4.665e-01
1.44,0.92,2.0490,-0.7773,4.644e-01
1.46,0.92,2.0485,-0.7760,4.624e-01
1.48,0.92,2.0480,-0.7748,4.606e-01
1.50,0.92,2.0476,-0.7737,4.590e-01
1.52,0.92,2.0472,-0.7727,4.574e-01
1.54,0.92,2.0468,-0.7717,4.560e-01
1.56,0.92,2.0465,-0.7708,4.547e-01
1.58,0.92,2.0461,-0.7700,4.534e-01
1.60,0.92,2.0458,-0.7692,4.523e-01
1.62,0.92,2.0455,-0.7685,4.512e-01
1.64,0.92,2.0453,-0.7678,4.502e-01
1.66,0.92,2.0450,-0.7672,4.492e-01
1.68,0.92,2.0448,-0.7666,4.483e-01
1.70,0.92,2.0445,-0.7660,4.475e-01
1.72,0.92,2.0443,-0.7655,4.467e-01
1.74,0.92,2.0441,-0.7649,4.459e-01
1.76,0.92,2.0439,-0.7645,4.452e-01
1.78,0.92,2.0437,-0.7640,4.446e-01
1.80,0.92,2.0436,-0.7636,4.439e-01
1.82,0.92,2.0434,-0.7632,4.433e-01
1.84,0.92,2.0433,-0.7628,4.428e-01
1.86,0.92,2.0431,-0.7624,4.422e-01
1.88,0.92,2.0430,-0.7621,4.417e-01
1.90,0.92,2.0428,-0.7617,4.412e-01
1.92,0.92,2.0427,-0.7614,4.408e-01
1.94,0.92,2.0426,-0.7611,4.403e-01
1.96,0.92,2.0425,-0.7608,4.399e-01
1.98,0.92,2.0424,-0.7606,4.396e-01
2.00,0.92,2.0423,-0.7603,4.392e-01
2.02,0.92,2.0422,-0.7601,4.389e-01
2.04,0.92,2.0421,-0.7599,4.385e-01
2.06,0.92,2.0420,-0.7597,4.382e-01
2.08,0.92,2.0419,-0.7595,4.380e-01
2.10,0.92,2.0419,-0.7593,4.377e-01
2.12,0.92,2.0418,-0.7592,4.375e-01
2.14,0.92,2.0417,-0.7590,4.373e-01
2.16,0.92,2.0417,-0.7589,4.371e-01
2.18,0.92,2.0416,-0.7587,4.369e-01
2.20,0.92,2.0416,-0.7586,4.367e-01
2.22,0.92,2.0415,-0.7585,4.366e-01
2.24,0.92,2.0415,-0.7584,4.364e-01
2.26,0.92,2.0415,-0.7584,4.363e-01
2.28,0.92,2.0414,-0.7583,4.362e-01
2.30,0.92,2.0414,-0.7582,4.362e-01
2.32,0.92,2.0414,-0.7582,4.361e-01
2.34,0.92,2.0414,-0.7582,4.360e-01
2.36,0.92,2.0414,-0.7581,4.360e-01
2.38,0.92,2.0414,-0.7581,4.360e-01
2.40,0.92,2.0414,-0.7581,4.360e-01
2.42,0.92,2.0413,-0.7581,4.359e-01
0.94,0.94,0.8933,0.5636,6.517e-01
0.96,0.94,0.6890,0.0786,6.271e-01
0.98,0.94,0.7204,0.0140,6.054e-01
1.00,0.94,0.7606,0.0122,5.863e-01
1.02,0.94,0.7993,0.0103,5.695e-01
1.04,0.94,0.8366,0.0084,5.547e-01
1.06,0.94,0.8724,0.0063,5.417e-01
1.08,0.94,0.9068,0.0041,5.301e-01
1.10,0.94,0.9398,0.0018,5.198e-01
1.12,0.94,0.9712,-0.0005,5.107e-01
