M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4772,-0.9557,1.749e-03
0.92,0.90,-4.6036,0.0457,1.821e-03
0.94,0.90,-7.3177,0.0319,1.940e-03
0.96,0.90,-7.3177,0.0319,2.107e-03
0.98,0.90,-7.3177,0.0319,2.318e-03
1.00,0.90,-7.3177,0.0319,2.576e-03
1.02,0.90,-7.3177,0.0319,2.878e-03
1.04,0.90,-7.3177,0.0319,3.224e-03
1.06,0.90,-7.3177,0.0319,3.615e-03
1.08,0.90,-7.3177,0.0319,4.051e-03
1.10,0.90,-7.3177,0.0319,4.532e-03
1.12,0.90,-7.3177,0.0319,5.058e-03
1.14,0.90,-7.3177,0.0319,5.629e-03
1.16,0.90,-7.3177,0.0319,6.246e-03
1.18,0.90,-7.3177,0.0319,6.910e-03
1.20,0.90,-7.3177,0.0319,7.621e-03
1.22,0.90,-7.3177,0.0319,8.380e-03
1.24,0.90,-7.3177,0.0319,9.188e-03
1.26,0.90,-7.3177,0.0319,1.005e-02
1.28,0.90,-7.3177,0.0319,1.095e-02
1.30,0.90,-7.3177,0.0319,1.191e-02
1.32,0.90,-5.2061,0.0577,1.292e-02
1.34,0.90,-4.3003,-0.0375,1.399e-02
1.36,0.90,-2.8076,-0.3808,1.511e-02
1.38,0.90,0.5043,-3.9635,1.628e-02
1.40,0.90,2.1901,-5.3264,1.751e-02
1.42,0.90,2.1901,-5.3264,1.880e-02
1.44,0.90,2.1901,-5.3264,2.015e-02
1.46,0.90,2.1901,-5.3264,2.156e-02
1.48,0.90,2.1901,-5.3264,2.303e-02
1.50,0.90,2.1901,-5.3264,2.456e-02
1.52,0.90,2.1901,-5.3264,2.616e-02
1.54,0.90,2.1901,-5.3264,2.782e-02
1.56,0.90,2.1901,-5.3264,2.955e-02
1.58,0.90,2.1901,-5.3264,3.135e-02
1.60,0.90,2.1901,-5.3264,3.321e-02
1.62,0.90,2.1901,-5.3264,3.515e-02
1.64,0.90,2.1901,-5.3264,3.716e-02
1.66,0.90,2.1901,-5.3264,3.925e-02
1.68,0.90,2.1901,-5.3264,4.141e-02
1.70,0.90,2.1901,-5.3264,4.365e-02
1.72,0.90,2.1901,-5.3264,4.596e-02
1.74,0.90,2.1901,-5.3264,4.836e-02
1.76,0.90,2.1901,-5.3264,5.084e-02
1.78,0.90,2.1901,-5.3264,5.340e-02
1.80,0.90,2.1901,-5.3264,5.605e-02
1.82,0.90,2.1901,-5.3264,5.878e-02
1.84,0.90,2.1901,-5.3264,6.161e-02
1.86,0.90,2.1901,-5.3264,6.452e-02
1.88,0.90,2.1901,-5.3264,6.753e-02
1.90,0.90,2.1901,-5.3264,7.063e-02
1.92,0.90,2.1901,-5.3264,7.383e-02
1.94,0.90,2.1901,-5.3264,7.713e-02
1.96,0.90,2.1901,-5.3264,8.052e-02
1.98,0.90,2.1901,-5.3264,8.402e-02
2.00,0.90,2.1901,-5.3264,8.762e-02
2.02,0.90,2.1901,-5.3264,9.133e-02
2.04,0.90,2.1901,-5.3264,9.514e-02
2.06,0.90,2.1901,-5.3264,9.907e-02
2.08,0.90,2.1901,-5.3264,1.031e-01
2.10,0.90,2.1901,-5.3264,1.073e-01
2.12,0.90,2.1901,-5.3264,1.115e-01
2.14,0.90,2.1901,-5.3264,1.159e-01
2.16,0.90,2.1901,-5.3264,1.204e-01
2.18,0.90,2.1901,-5.3264,1.251e-01
2.20,0.90,2.1901,-5.3264,1.298e-01
2.22,0.90,2.1901,-5.3264,1.347e-01
2.24,0.90,2.1901,-5.3264,1.397e-01
2.26,0.90,2.1901,-5.3264,1.449e-01
2.28,0.90,2.1901,-5.3264,1.502e-01
2.30,0.90,2.1901,-5.3264,1.557e-01
2.32,0.90,2.1901,-5.3264,1.613e-01
2.34,0.90,2.1901,-5.3264,1.670e-01
2.36,0.90,2.1901,-5.3264,1.729e-01
2.38,0.90,2.1901,-5.3264,1.790e-01
2.40,0.90,2.1901,-5.3264,1.853e-01
2.42,0.90,2.1901,-5.3264,1.919e-01
0.92,0.92,-2.9901,0.1104,1.842e-03
0.94,0.92,-4.6533,0.1635,1.911e-03
0.96,0.92,-7.3177,0.0319,2.026e-03
0.98,0.92,-7.3177,0.0319,2.187e-03
1.00,0.92,-7.3177,0.0319,2.394e-03
1.02,0.92,-7.3177,0.0319,2.644e-03
1.04,0.92,-7.3177,0.0319,2.939e-03
1.06,0.92,-7.3177,0.0319,3.277e-03
1.08,0.92,-7.3177,0.0319,3.659e-03
1.10,0.92,-7.3177,0.0319,4.085e-03
1.12,0.92,-7.3177,0.0319,4.555e-03
1.14,0.92,-7.3177,0.0319,5.069e-03
1.16,0.92,-7.3177,0.0319,5.627e-03
1.18,0.92,-7.3177,0.0319,6.231e-03
1.20,0.92,-7.3177,0.0319,6.880e-03
1.22,0.92,-7.3177,0.0319,7.574e-03
1.24,0.92,-7.3177,0.0319,8.316e-03
1.26,0.92,-7.3177,0.0319,9.105e-03
1.28,0.92,-7.3177,0.0319,9.943e-03
1.30,0.92,-7.3177,0.0319,1.083e-02
1.32,0.92,-5.2813,0.0661,1.177e-02
1.34,0.92,-4.5110,-0.1214,1.275e-02
1.36,0.92,-2.9964,0.1304,1.379e-02
1.38,0.92,-0.6040,-2.4092,1.488e-02
1.40,0.92,2.1901,-5.3264,1.603e-02
1.42,0.92,2.1901,-5.3264,1.723e-02
1.44,0.92,2.1901,-5.3264,1.849e-02
1.46,0.92,2.1901,-5.3264,1.980e-02
1.48,0.92,2.1901,-5.3264,2.117e-02
1.50,0.92,2.1901,-5.3264,2.261e-02
1.52,0.92,2.1901,-5.3264,2.410e-02
1.54,0.92,2.1901,-5.3264,2.565e-02
1.56,0.92,2.1901,-5.3264,2.727e-02
1.58,0.92,2.1901,-5.3264,2.896e-02
1.60,0.92,2.1901,-5.3264,3.070e-02
1.62,0.92,2.1901,-5.3264,3.252e-02
1.64,0.92,2.1901,-5.3264,3.441e-02
1.66,0.92,2.1901,-5.3264,3.636e-02
1.68,0.92,2.1901,-5.3264,3.839e-02
