M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4772,-0.9557,4.157e-01
0.92,0.90,-4.6036,0.0457,3.735e-01
0.94,0.90,-7.3177,0.0319,3.364e-01
0.96,0.90,-7.3177,0.0319,3.039e-01
0.98,0.90,-7.3177,0.0319,2.753e-01
1.00,0.90,-7.3177,0.0319,2.501e-01
1.02,0.90,-7.3177,0.0319,2.278e-01
1.04,0.90,-7.3177,0.0319,2.081e-01
1.06,0.90,-7.3177,0.0319,1.907e-01
1.08,0.90,-7.3177,0.0319,1.753e-01
1.10,0.90,-7.3177,0.0319,1.616e-01
1.12,0.90,-7.3177,0.0319,1.493e-01
1.14,0.90,-7.3177,0.0319,1.385e-01
1.16,0.90,-7.3177,0.0319,1.287e-01
1.18,0.90,-7.3177,0.0319,1.200e-01
1.20,0.90,-7.3177,0.0319,1.122e-01
1.22,0.90,-7.3177,0.0319,1.052e-01
1.24,0.90,-7.3177,0.0319,9.888e-02
1.26,0.90,-7.3177,0.0319,9.319e-02
1.28,0.90,-7.3177,0.0319,8.805e-02
1.30,0.90,-7.3177,0.0319,8.339e-02
1.32,0.90,-5.2061,0.0577,7.916e-02
1.34,0.90,-4.3003,-0.0375,7.532e-02
1.36,0.90,-2.8076,-0.3808,7.181e-02
1.38,0.90,0.5043,-3.9635,6.862e-02
1.40,0.90,2.1901,-5.3264,6.569e-02
1.42,0.90,2.1901,-5.3264,6.300e-02
1.44,0.90,2.1901,-5.3264,6.053e-02
1.46,0.90,2.1901,-5.3264,5.826e-02
1.48,0.90,2.1901,-5.3264,5.616e-02
1.50,0.90,2.1901,-5.3264,5.422e-02
1.52,0.90,2.1901,-5.3264,5.242e-02
1.54,0.90,2.1901,-5.3264,5.075e-02
1.56,0.90,2.1901,-5.3264,4.920e-02
1.58,0.90,2.1901,-5.3264,4.775e-02
1.60,0.90,2.1901,-5.3264,4.640e-02
1.62,0.90,2.1901,-5.3264,4.513e-02
1.64,0.90,2.1901,-5.3264,4.394e-02
1.66,0.90,2.1901,-5.3264,4.283e-02
1.68,0.90,2.1901,-5.3264,4.178e-02
1.70,0.90,2.1901,-5.3264,4.080e-02
1.72,0.90,2.1901,-5.3264,3.988e-02
1.74,0.90,2.1901,-5.3264,3.901e-02
1.76,0.90,2.1901,-5.3264,3.818e-02
1.78,0.90,2.1901,-5.3264,3.741e-02
1.80,0.90,2.1901,-5.3264,3.668e-02
1.82,0.90,2.1901,-5.3264,3.598e-02
