M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-2.4772,-0.9557,2.148e-03
0.92,0.90,-4.6036,0.0457,2.111e-03
0.94,0.90,-7.3177,0.0319,2.075e-03
0.96,0.90,-7.3177,0.0319,2.040e-03
0.98,0.90,-7.3177,0.0319,2.006e-03
1.00,0.90,-7.3177,0.0319,1.973e-03
1.02,0.90,-7.3177,0.0319,1.941e-03
1.04,0.90,-7.3177,0.0319,1.910e-03
1.06,0.90,-7.3177,0.0319,1.880e-03
1.08,0.90,-7.3177,0.0319,1.851e-03
1.10,0.90,-7.3177,0.0319,1.823e-03
1.12,0.90,-7.3177,0.0319,1.796e-03
1.14,0.90,-7.3177,0.0319,1.770e-03
1.16,0.90,-7.3177,0.0319,1.744e-03
1.18,0.90,-7.3177,0.0319,1.720e-03
1.20,0.90,-7.3177,0.0319,1.697e-03
1.22,0.90,-7.3177,0.0319,1.674e-03
1.24,0.90,-7.3177,0.0319,1.652e-03
1.26,0.90,-7.3177,0.0319,1.632e-03
1.28,0.90,-7.3177,0.0319,1.612e-03
1.30,0.90,-7.3177,0.0319,1.593e-03
1.32,0.90,-5.2061,0.0577,1.575e-03
1.34,0.90,-4.3003,-0.0375,1.558e-03
1.36,0.90,-2.8076,-0.3808,1.542e-03
1.38,0.90,0.5043,-3.9635,1.527e-03
1.40,0.90,2.1901,-5.3264,1.512e-03
1.42,0.90,2.1901,-5.3264,1.499e-03
1.44,0.90,2.1901,-5.3264,1.486e-03
1.46,0.90,2.1901,-5.3264,1.475e-03
1.48,0.90,2.1901,-5.3264,1.464e-03
1.50,0.90,2.1901,-5.3264,1.454e-03
1.52,0.90,2.1901,-5.3264,1.445e-03
1.54,0.90,2.1901,-5.3264,1.437e-03
1.56,0.90,2.1901,-5.3264,1.430e-03
1.58,0.90,2.1901,-5.3264,1.423e-03
1.60,0.90,2.1901,-5.3264,1.418e-03
1.62,0.90,2.1901,-5.3264,1.413e-03
1.64,0.90,2.1901,-5.3264,1.410e-03
1.66,0.90,2.1901,-5.3264,1.407e-03
1.68,0.90,2.1901,-5.3264,1.406e-03
1.70,0.90,2.1901,-5.3264,1.405e-03
1.72,0.90,2.1901,-5.3264,1.405e-03
1.74,0.90,2.1901,-5.3264,1.406e-03
1.76,0.90,2.1901,-5.3264,1.408e-03
1.78,0.90,2.1901,-5.3264,1.411e-03
1.80,0.90,2.1901,-5.3264,1.415e-03
1.82,0.90,2.1901,-5.3264,1.420e-03
1.84,0.90,2.1901,-5.3264,1.426e-03
1.86,0.90,2.1901,-5.3264,1.433e-03
1.88,0.90,2.1901,-5.3264,1.441e-03
1.90,0.90,2.1901,-5.3264,1.450e-03
1.92,0.90,2.1901,-5.3264,1.460e-03
1.94,0.90,2.1901,-5.3264,1.471e-03
1.96,0.90,2.1901,-5.3264,1.483e-03
1.98,0.90,2.1901,-5.3264,1.497e-03
2.00,0.90,2.1901,-5.3264,1.511e-03
2.02,0.90,2.1901,-5.3264,1.527e-03
2.04,0.90,2.1901,-5.3264,1.544e-03
2.06,0.90,2.1901,-5.3264,1.562e-03
2.08,0.90,2.1901,-5.3264,1.582e-03
2.10,0.90,2.1901,-5.3264,1.603e-03
2.12,0.90,2.1901,-5.3264,1.625e-03
2.14,0.90,2.1901,-5.3264,1.649e-03
2.16,0.90,2.1901,-5.3264,1.675e-03
2.18,0.90,2.1901,-5.3264,1.702e-03
2.20,0.90,2.1901,-5.3264,1.731e-03
2.22,0.90,2.1901,-5.3264,1.762e-03
2.24,0.90,2.1901,-5.3264,1.795e-03
2.26,0.90,2.1901,-5.3264,1.830e-03
2.28,0.90,2.1901,-5.3264,1.869e-03
2.30,0.90,2.1901,-5.3264,1.910e-03
2.32,0.90,2.1901,-5.3264,1.955e-03
2.34,0.90,2.1901,-5.3264,2.004e-03
2.36,0.90,2.1901,-5.3264,2.059e-03
2.38,0.90,2.1901,-5.3264,2.122e-03
2.40,0.90,2.1901,-5.3264,2.197e-03
2.42,0.90,2.1901,-5.3264,2.300e-03
0.92,0.92,-2.9901,0.1104,2.073e-03
0.94,0.92,-4.6533,0.1635,2.037e-03
0.96,0.92,-7.3177,0.0319,2.001e-03
0.98,0.92,-7.3177,0.0319,1.967e-03
1.00,0.92,-7.3177,0.0319,1.933e-03
1.02,0.92,-7.3177,0.0319,1.901e-03
1.04,0.92,-7.3177,0.0319,1.869e-03
1.06,0.92,-7.3177,0.0319,1.839e-03
1.08,0.92,-7.3177,0.0319,1.809e-03
1.10,0.92,-7.3177,0.0319,1.780e-03
1.12,0.92,-7.3177,0.0319,1.752e-03
1.14,0.92,-7.3177,0.0319,1.726e-03
1.16,0.92,-7.3177,0.0319,1.700e-03
1.18,0.92,-7.3177,0.0319,1.675e-03
1.20,0.92,-7.3177,0.0319,1.651e-03
1.22,0.92,-7.3177,0.0319,1.628e-03
1.24,0.92,-7.3177,0.0319,1.605e-03
1.26,0.92,-7.3177,0.0319,1.584e-03
1.28,0.92,-7.3177,0.0319,1.564e-03
