M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8149,-0.8141,2.127e-01
0.92,0.90,1.8986,-0.3657,2.128e-01
0.94,0.90,1.9035,-0.3829,2.129e-01
0.96,0.90,1.8939,-0.3680,2.131e-01
0.98,0.90,1.8820,-0.3507,2.133e-01
1.00,0.90,1.8680,-0.3316,2.136e-01
1.02,0.90,1.8521,-0.3116,2.139e-01
1.04,0.90,1.8346,-0.2914,2.142e-01
1.06,0.90,1.8156,-0.2713,2.146e-01
1.08,0.90,1.7953,-0.2518,2.151e-01
1.10,0.90,1.7741,-0.2331,2.155e-01
1.12,0.90,1.7519,-0.2153,2.161e-01
1.14,0.90,1.7291,-0.1986,2.166e-01
1.16,0.90,1.7057,-0.1829,2.172e-01
1.18,0.90,1.6819,-0.1683,2.179e-01
1.20,0.90,1.6577,-0.1548,2.186e-01
1.22,0.90,1.6333,-0.1422,2.194e-01
1.24,0.90,1.6088,-0.1306,2.202e-01
1.26,0.90,1.5842,-0.1199,2.210e-01
1.28,0.90,1.5596,-0.1100,2.220e-01
1.30,0.90,1.5350,-0.1009,2.229e-01
1.32,0.90,1.4880,-0.0610,2.239e-01
1.34,0.90,1.4929,-0.1514,2.250e-01
1.36,0.90,1.2899,-0.4273,2.261e-01
1.38,0.90,1.7782,-1.0077,2.272e-01
1.40,0.90,2.0442,-0.7651,2.284e-01
1.42,0.90,2.0449,-0.7668,2.297e-01
1.44,0.90,2.0456,-0.7686,2.310e-01
1.46,0.90,2.0463,-0.7704,2.323e-01
1.48,0.90,2.0471,-0.7724,2.337e-01
1.50,0.90,2.0478,-0.7744,2.351e-01
1.52,0.90,2.0486,-0.7765,2.365e-01
1.54,0.90,2.0495,-0.7787,2.379e-01
1.56,0.90,2.0504,-0.7810,2.393e-01
1.58,0.90,2.0513,-0.7833,2.407e-01
1.60,0.90,2.0522,-0.7858,2.421e-01
1.62,0.90,2.0532,-0.7885,2.433e-01
1.64,0.90,2.0542,-0.7912,2.445e-01
1.66,0.90,2.0552,-0.7941,2.456e-01
1.68,0.90,2.0563,-0.7971,2.466e-01
1.70,0.90,2.0575,-0.8003,2.474e-01
1.72,0.90,2.0587,-0.8037,2.481e-01
1.74,0.90,2.0600,-0.8073,2.486e-01
1.76,0.90,2.0613,-0.8112,2.489e-01
1.78,0.90,2.0627,-0.8153,2.489e-01
1.80,0.90,2.0642,-0.8197,2.487e-01
1.82,0.90,2.0658,-0.8244,2.483e-01
1.84,0.90,2.0675,-0.8295,2.477e-01
1.86,0.90,2.0692,-0.8350,2.468e-01
1.88,0.90,2.0711,-0.8409,2.457e-01
1.90,0.90,2.0731,-0.8473,2.444e-01
1.92,0.90,2.0752,-0.8542,2.429e-01
1.94,0.90,2.0775,-0.8617,2.413e-01
1.96,0.90,2.0799,-0.8699,2.395e-01
1.98,0.90,2.0824,-0.8786,2.377e-01
2.00,0.90,2.0850,-0.8881,2.358e-01
2.02,0.90,2.0878,-0.8984,2.339e-01
2.04,0.90,2.0907,-0.9094,2.321e-01
2.06,0.90,2.0937,-0.9214,2.303e-01
2.08,0.90,2.0968,-0.9342,2.286e-01
2.10,0.90,2.1000,-0.9479,2.271e-01
2.12,0.90,2.1034,-0.9627,2.257e-01
2.14,0.90,2.1068,-0.9785,2.245e-01
2.16,0.90,2.1103,-0.9953,2.236e-01
2.18,0.90,2.1138,-1.0133,2.228e-01
2.20,0.90,2.1174,-1.0323,2.224e-01
2.22,0.90,2.1210,-1.0526,2.222e-01
2.24,0.90,2.1245,-1.0739,2.224e-01
2.26,0.90,2.1281,-1.0965,2.228e-01
2.28,0.90,2.1317,-1.1204,2.236e-01
2.30,0.90,2.1352,-1.1454,2.247e-01
2.32,0.90,2.1386,-1.1717,2.260e-01
2.34,0.90,2.1420,-1.1994,2.278e-01
2.36,0.90,2.1452,-1.2284,2.298e-01
2.38,0.90,2.1484,-1.2589,2.322e-01
2.40,0.90,2.1515,-1.2911,2.349e-01
2.42,0.90,2.1546,-1.3256,2.379e-01
0.92,0.92,1.8922,-0.3094,2.128e-01
0.94,0.92,1.9152,-0.3123,2.129e-01
0.96,0.92,1.8985,-0.3751,2.130e-01
0.98,0.92,1.8894,-0.3612,2.132e-01
1.00,0.92,1.8779,-0.3449,2.134e-01
1.02,0.92,1.8644,-0.3268,2.136e-01
1.04,0.92,1.8490,-0.3079,2.139e-01
1.06,0.92,1.8319,-0.2885,2.143e-01
1.08,0.92,1.8135,-0.2692,2.147e-01
1.10,0.92,1.7938,-0.2504,2.151e-01
1.12,0.92,1.7731,-0.2322,2.156e-01
1.14,0.92,1.7515,-0.2149,2.161e-01
1.16,0.92,1.7292,-0.1986,2.166e-01
1.18,0.92,1.7063,-0.1833,2.172e-01
1.20,0.92,1.6829,-0.1689,2.179e-01
1.22,0.92,1.6592,-0.1556,2.186e-01
1.24,0.92,1.6353,-0.1432,2.193e-01
1.26,0.92,1.6112,-0.1317,2.201e-01
1.28,0.92,1.5871,-0.1211,2.209e-01
1.30,0.92,1.5628,-0.1113,2.218e-01
1.32,0.92,1.5206,-0.0639,2.227e-01
1.34,0.92,1.4524,-0.2178,2.237e-01
1.36,0.92,1.4509,0.0192,2.247e-01
1.38,0.92,1.3845,-1.3629,2.258e-01
1.40,0.92,2.0434,-0.7631,2.269e-01
1.42,0.92,2.0440,-0.7647,2.281e-01
1.44,0.92,2.0447,-0.7664,2.292e-01
1.46,0.92,2.0454,-0.7681,2.304e-01
1.48,0.92,2.0461,-0.7700,2.317e-01
1.50,0.92,2.0469,-0.7719,2.329e-01
1.52,0.92,2.0476,-0.7739,2.341e-01
1.54,0.92,2.0484,-0.7759,2.353e-01
1.56,0.92,2.0493,-0.7781,2.365e-01
1.58,0.92,2.0502,-0.7804,2.376e-01
1.60,0.92,2.0511,-0.7828,2.386e-01
1.62,0.92,2.0520,-0.7853,2.395e-01
1.64,0.92,2.0530,-0.7880,2.403e-01
1.66,0.92,2.0540,-0.7908,2.410e-01
1.68,0.92,2.0551,-0.7938,2.415e-01
1.70,0.92,2.0563,-0.7969,2.418e-01
1.72,0.92,2.0575,-0.8003,2.419e-01
1.74,0.92,2.0588,-0.8039,2.417e-01
1.76,0.92,2.0601,-0.8078,2.414e-01
1.78,0.92,2.0616,-0.8119,2.407e-01
1.80,0.92,2.0631,-0.8164,2.399e-01
1.82,0.92,2.0647,-0.8212,2.388e-01
1.84,0.92,2.0665,-0.8265,2.374e-01
1.86,0.92,2.0683,-0.8321,2.358e-01
1.88,0.92,2.0703,-0.8383,2.340e-01
1.90,0.92,2.0724,-0.8449,2.320e-01
1.92,0.92,2.0746,-0.8521,2.299e-01
1.94,0.92,2.0770,-0.8600,2.277e-01
1.96,0.92,2.0795,-0.8685,2.254e-01
1.98,0.92,2.0821,-0.8777,2.230e-01
2.00,0.92,2.0849,-0.8877,2.207e-01
2.02,0.92,2.0878,-0.8985,2.184e-01
2.04,0.92,2.0908,-0.9101,2.162e-01
2.06,0.92,2.0940,-0.9227,2.141e-01
2.08,0.92,2.0973,-0.9362,2.122e-01
2.10,0.92,2.1007,-0.9508,2.104e-01
2.12,0.92,2.1042,-0.9663,2.089e-01
2.14,0.92,2.1077,-0.9830,2.076e-01
2.16,0.92,2.1114,-1.0008,2.065e-01
2.18,0.92,2.1150,-1.0197,2.058e-01
2.20,0.92,2.1187,-1.0398,2.053e-01
2.22,0.92,2.1224,-1.0611,2.051e-01
2.24,0.92,2.1261,-1.0836,2.052e-01
2.26,0.92,2.1298,-1.1074,2.056e-01
2.28,0.92,2.1334,-1.1325,2.063e-01
2.30,0.92,2.1370,-1.1589,2.073e-01
2.32,0.92,2.1404,-1.1867,2.087e-01
2.34,0.92,2.1438,-1.2158,2.103e-01
2.36,0.92,2.1472,-1.2464,2.123e-01
2.38,0.92,2.1504,-1.2785,2.146e-01
2.40,0.92,2.1535,-1.3125,2.172e-01
2.42,0.92,2.1566,-1.3490,2.201e-01
0.94,0.94,1.9599,-0.1127,2.129e-01
0.96,0.94,1.9031,-0.3381,2.130e-01
0.98,0.94,1.8939,-0.3680,2.131e-01
1.00,0.94,1.8851,-0.3550,2.133e-01
1.02,0.94,1.8740,-0.3396,2.135e-01
1.04,0.94,1.8609,-0.3225,2.137e-01
1.06,0.94,1.8460,-0.3044,2.140e-01
1.08,0.94,1.8295,-0.2858,2.143e-01
1.10,0.94,1.8116,-0.2673,2.147e-01
1.12,0.94,1.7924,-0.2491,2.151e-01
1.14,0.94,1.7722,-0.2315,2.156e-01
1.16,0.94,1.7511,-0.2147,2.161e-01
1.18,0.94,1.7293,-0.1987,2.166e-01
1.20,0.94,1.7069,-0.1837,2.172e-01
1.22,0.94,1.6840,-0.1696,2.178e-01
1.24,0.94,1.6608,-0.1564,2.185e-01
1.26,0.94,1.6373,-0.1442,2.192e-01
1.28,0.94,1.6136,-0.1328,2.200e-01
1.30,0.94,1.5899,-0.1223,2.208e-01
1.32,0.94,1.5497,-0.0725,2.217e-01
1.34,0.94,1.4813,-0.1675,2.226e-01
1.36,0.94,1.6281,0.2841,2.235e-01
1.38,0.94,1.2470,-1.1817,2.245e-01
1.40,0.94,2.0240,-0.7761,2.255e-01
1.42,0.94,2.0433,-0.7628,2.265e-01
1.44,0.94,2.0439,-0.7644,2.276e-01
1.46,0.94,2.0445,-0.7660,2.286e-01
1.48,0.94,2.0452,-0.7677,2.297e-01
1.50,0.94,2.0459,-0.7696,2.307e-01
1.52,0.94,2.0467,-0.7714,2.317e-01
1.54,0.94,2.0475,-0.7734,2.326e-01
1.56,0.94,2.0483,-0.7755,2.335e-01
1.58,0.94,2.0491,-0.7777,2.343e-01
1.60,0.94,2.0500,-0.7800,2.350e-01
1.62,0.94,2.0509,-0.7825,2.355e-01
1.64,0.94,2.0519,-0.7851,2.359e-01
1.66,0.94,2.0529,-0.7878,2.360e-01
1.68,0.94,2.0540,-0.7908,2.360e-01
1.70,0.94,2.0552,-0.7939,2.357e-01
1.72,0.94,2.0564,-0.7973,2.352e-01
1.74,0.94,2.0577,-0.8009,2.344e-01
1.76,0.94,2.0591,-0.8048,2.334e-01
1.78,0.94,2.0606,-0.8091,2.321e-01
1.80,0.94,2.0621,-0.8136,2.305e-01
1.82,0.94,2.0638,-0.8186,2.287e-01
1.84,0.94,2.0656,-0.8240,2.266e-01
1.86,0.94,2.0676,-0.8299,2.244e-01
1.88,0.94,2.0696,-0.8362,2.220e-01
1.90,0.94,2.0718,-0.8432,2.194e-01
1.92,0.94,2.0742,-0.8507,2.167e-01
1.94,0.94,2.0767,-0.8590,2.140e-01
1.96,0.94,2.0793,-0.8679,2.112e-01
1.98,0.94,2.0821,-0.8776,2.085e-01
2.00,0.94,2.0850,-0.8881,2.058e-01
2.02,0.94,2.0881,-0.8995,2.032e-01
2.04,0.94,2.0913,-0.9118,2.008e-01
2.06,0.94,2.0946,-0.9251,1.985e-01
2.08,0.94,2.0980,-0.9393,1.964e-01
2.10,0.94,2.1016,-0.9547,1.945e-01
2.12,0.94,2.1052,-0.9711,1.929e-01
2.14,0.94,2.1089,-0.9887,1.916e-01
2.16,0.94,2.1127,-1.0075,1.905e-01
2.18,0.94,2.1165,-1.0274,1.897e-01
