M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,2.110e-01
0.92,0.90,2.0342,-0.7412,2.110e-01
0.94,0.90,2.0342,-0.7412,2.110e-01
0.96,0.90,2.0342,-0.7412,2.110e-01
0.98,0.90,2.0342,-0.7412,2.110e-01
1.00,0.90,2.0342,-0.7412,2.110e-01
1.02,0.90,2.0342,-0.7412,2.110e-01
1.04,0.90,2.0342,-0.7412,2.110e-01
1.06,0.90,2.0342,-0.7412,2.110e-01
1.08,0.90,2.0342,-0.7412,2.110e-01
1.10,0.90,2.0342,-0.7412,2.110e-01
1.12,0.90,2.0342,-0.7412,2.110e-01
1.14,0.90,2.0342,-0.7412,2.110e-01
1.16,0.90,2.0342,-0.7412,2.110e-01
1.18,0.90,2.0342,-0.7412,2.110e-01
1.20,0.90,2.0342,-0.7412,2.110e-01
1.22,0.90,2.0342,-0.7412,2.110e-01
1.24,0.90,2.0342,-0.7412,2.110e-01
1.26,0.90,1.9282,-0.4256,2.125e-01
1.28,0.90,1.8393,-0.2967,2.141e-01
1.30,0.90,1.7645,-0.2252,2.158e-01
1.32,0.90,1.6823,-0.1458,2.174e-01
1.34,0.90,1.6482,-0.2113,2.191e-01
1.36,0.90,1.4379,-0.4477,2.208e-01
1.38,0.90,1.8378,-0.9450,2.225e-01
1.40,0.90,2.0419,-0.7594,2.242e-01
1.42,0.90,2.0428,-0.7617,2.259e-01
1.44,0.90,2.0438,-0.7641,2.277e-01
1.46,0.90,2.0448,-0.7665,2.294e-01
1.48,0.90,2.0457,-0.7690,2.311e-01
1.50,0.90,2.0467,-0.7714,2.328e-01
1.52,0.90,2.0476,-0.7739,2.345e-01
1.54,0.90,2.0486,-0.7763,2.361e-01
1.56,0.90,2.0496,-0.7788,2.377e-01
1.58,0.90,2.0505,-0.7814,2.392e-01
1.60,0.90,2.0515,-0.7839,2.406e-01
1.62,0.90,2.0525,-0.7865,2.418e-01
1.64,0.90,2.0534,-0.7892,2.430e-01
1.66,0.90,2.0545,-0.7919,2.440e-01
1.68,0.90,2.0555,-0.7947,2.447e-01
1.70,0.90,2.0565,-0.7976,2.453e-01
1.72,0.90,2.0576,-0.8006,2.456e-01
1.74,0.90,2.0587,-0.8037,2.457e-01
1.76,0.90,2.0598,-0.8069,2.455e-01
1.78,0.90,2.0610,-0.8103,2.450e-01
1.80,0.90,2.0622,-0.8138,2.442e-01
1.82,0.90,2.0635,-0.8176,2.431e-01
1.84,0.90,2.0648,-0.8216,2.416e-01
1.86,0.90,2.0662,-0.8258,2.399e-01
1.88,0.90,2.0677,-0.8303,2.378e-01
1.90,0.90,2.0693,-0.8352,2.354e-01
1.92,0.90,2.0709,-0.8403,2.328e-01
1.94,0.90,2.0727,-0.8459,2.299e-01
1.96,0.90,2.0745,-0.8518,2.268e-01
1.98,0.90,2.0764,-0.8582,2.234e-01
2.00,0.90,2.0784,-0.8650,2.200e-01
2.02,0.90,2.0806,-0.8723,2.164e-01
2.04,0.90,2.0828,-0.8801,2.127e-01
2.06,0.90,2.0851,-0.8885,2.090e-01
2.08,0.90,2.0875,-0.8974,2.053e-01
2.10,0.90,2.0900,-0.9069,2.015e-01
2.12,0.90,2.0926,-0.9171,1.978e-01
2.14,0.90,2.0953,-0.9279,1.942e-01
2.16,0.90,2.0980,-0.9393,1.906e-01
2.18,0.90,2.1008,-0.9514,1.872e-01
2.20,0.90,2.1037,-0.9642,1.838e-01
2.22,0.90,2.1066,-0.9777,1.806e-01
2.24,0.90,2.1096,-0.9920,1.775e-01
2.26,0.90,2.1126,-1.0069,1.745e-01
