M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7773,-0.8242,2.131e-01
0.92,0.90,1.8804,-0.3385,2.131e-01
0.94,0.90,1.8957,-0.3708,2.131e-01
0.96,0.90,1.8977,-0.3739,2.130e-01
0.98,0.90,1.8997,-0.3769,2.130e-01
1.00,0.90,1.9016,-0.3799,2.130e-01
1.02,0.90,1.9034,-0.3828,2.129e-01
1.04,0.90,1.9052,-0.3857,2.129e-01
1.06,0.90,1.9070,-0.3886,2.129e-01
1.08,0.90,1.9087,-0.3914,2.129e-01
1.10,0.90,1.9104,-0.3941,2.128e-01
1.12,0.90,1.9120,-0.3968,2.128e-01
1.14,0.90,1.9135,-0.3995,2.128e-01
1.16,0.90,1.9150,-0.4021,2.127e-01
1.18,0.90,1.9165,-0.4046,2.127e-01
1.20,0.90,1.9179,-0.4070,2.127e-01
1.22,0.90,1.9193,-0.4094,2.127e-01
1.24,0.90,1.9206,-0.4117,2.127e-01
1.26,0.90,1.9218,-0.4139,2.126e-01
1.28,0.90,1.9230,-0.4161,2.126e-01
1.30,0.90,1.9242,-0.4182,2.126e-01
1.32,0.90,1.9180,-0.3904,2.126e-01
1.34,0.90,1.9284,-0.4677,2.125e-01
1.36,0.90,1.8686,-0.5920,2.125e-01
1.38,0.90,2.0020,-0.7744,2.125e-01
1.40,0.90,2.0352,-0.7433,2.124e-01
1.42,0.90,2.0351,-0.7433,2.124e-01
1.44,0.90,2.0351,-0.7433,2.123e-01
1.46,0.90,2.0351,-0.7432,2.122e-01
1.48,0.90,2.0351,-0.7432,2.121e-01
1.50,0.90,2.0351,-0.7432,2.120e-01
1.52,0.90,2.0351,-0.7432,2.118e-01
1.54,0.90,2.0351,-0.7432,2.115e-01
1.56,0.90,2.0351,-0.7432,2.112e-01
1.58,0.90,2.0351,-0.7432,2.108e-01
1.60,0.90,2.0351,-0.7432,2.103e-01
1.62,0.90,2.0351,-0.7432,2.096e-01
1.64,0.90,2.0351,-0.7432,2.088e-01
1.66,0.90,2.0351,-0.7432,2.078e-01
1.68,0.90,2.0351,-0.7432,2.066e-01
1.70,0.90,2.0351,-0.7432,2.052e-01
1.72,0.90,2.0351,-0.7432,2.036e-01
1.74,0.90,2.0351,-0.7432,2.016e-01
1.76,0.90,2.0351,-0.7433,1.994e-01
1.78,0.90,2.0352,-0.7433,1.969e-01
1.80,0.90,2.0352,-0.7433,1.941e-01
1.82,0.90,2.0352,-0.7434,1.910e-01
1.84,0.90,2.0352,-0.7434,1.875e-01
1.86,0.90,2.0352,-0.7435,1.837e-01
1.88,0.90,2.0353,-0.7436,1.796e-01
1.90,0.90,2.0353,-0.7436,1.752e-01
1.92,0.90,2.0353,-0.7437,1.706e-01
1.94,0.90,2.0354,-0.7438,1.656e-01
1.96,0.90,2.0354,-0.7439,1.605e-01
1.98,0.90,2.0355,-0.7440,1.552e-01
2.00,0.90,2.0355,-0.7442,1.497e-01
2.02,0.90,2.0356,-0.7443,1.441e-01
2.04,0.90,2.0357,-0.7445,1.385e-01
2.06,0.90,2.0358,-0.7447,1.328e-01
2.08,0.90,2.0358,-0.7449,1.271e-01
2.10,0.90,2.0359,-0.7451,1.214e-01
2.12,0.90,2.0360,-0.7454,1.158e-01
2.14,0.90,2.0362,-0.7456,1.102e-01
2.16,0.90,2.0363,-0.7460,1.048e-01
2.18,0.90,2.0364,-0.7463,9.949e-02
2.20,0.90,2.0366,-0.7467,9.431e-02
