M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.770e-01
0.92,0.90,2.0342,-0.7412,1.770e-01
0.94,0.90,2.0342,-0.7412,1.770e-01
0.96,0.90,2.0342,-0.7412,1.770e-01
0.98,0.90,2.0342,-0.7412,1.770e-01
1.00,0.90,2.0342,-0.7412,1.770e-01
1.02,0.90,2.0342,-0.7412,1.770e-01
1.04,0.90,2.0342,-0.7412,1.770e-01
1.06,0.90,2.0342,-0.7412,1.770e-01
1.08,0.90,2.0342,-0.7412,1.770e-01
1.10,0.90,2.0342,-0.7412,1.770e-01
1.12,0.90,2.0342,-0.7412,1.770e-01
1.14,0.90,2.0342,-0.7412,1.769e-01
1.16,0.90,2.0342,-0.7412,1.769e-01
1.18,0.90,2.0342,-0.7412,1.769e-01
1.20,0.90,2.0342,-0.7412,1.769e-01
1.22,0.90,2.0342,-0.7412,1.769e-01
1.24,0.90,1.9152,-0.4024,1.783e-01
1.26,0.90,1.8171,-0.2729,1.798e-01
1.28,0.90,1.7361,-0.2035,1.813e-01
1.30,0.90,1.6668,-0.1598,1.828e-01
1.32,0.90,1.5969,-0.1046,1.844e-01
1.34,0.90,1.7499,0.2219,1.859e-01
1.36,0.90,1.2475,-0.9978,1.874e-01
1.38,0.90,2.0265,-0.7748,1.889e-01
1.40,0.90,2.0440,-0.7646,1.904e-01
1.42,0.90,2.0451,-0.7673,1.919e-01
1.44,0.90,2.0462,-0.7701,1.933e-01
1.46,0.90,2.0472,-0.7728,1.947e-01
1.48,0.90,2.0483,-0.7756,1.960e-01
1.50,0.90,2.0494,-0.7784,1.972e-01
1.52,0.90,2.0504,-0.7812,1.982e-01
1.54,0.90,2.0515,-0.7841,1.992e-01
1.56,0.90,2.0526,-0.7870,1.999e-01
1.58,0.90,2.0537,-0.7900,2.004e-01
1.60,0.90,2.0549,-0.7931,2.007e-01
1.62,0.90,2.0561,-0.7964,2.005e-01
1.64,0.90,2.0573,-0.7998,2.000e-01
1.66,0.90,2.0586,-0.8034,1.989e-01
1.68,0.90,2.0600,-0.8074,1.972e-01
1.70,0.90,2.0615,-0.8118,1.948e-01
1.72,0.90,2.0632,-0.8168,1.916e-01
1.74,0.90,2.0651,-0.8225,1.873e-01
1.76,0.90,2.0674,-0.8292,1.819e-01
1.78,0.90,2.1148,-0.8155,1.410e-01
1.80,0.90,2.1762,-0.8009,1.082e-01
1.82,0.90,2.2013,-0.8420,8.917e-02
1.84,0.90,2.2032,-0.9255,7.760e-02
1.86,0.90,2.1935,-1.0401,7.042e-02
1.88,0.90,2.1807,-1.1783,6.594e-02
1.90,0.90,2.1697,-1.3369,6.322e-02
1.92,0.90,2.1631,-1.5162,6.167e-02
1.94,0.90,2.1617,-1.7194,6.090e-02
1.96,0.90,2.1648,-1.9522,6.064e-02
1.98,0.90,2.1709,-2.2228,6.067e-02
2.00,0.90,2.1777,-2.5417,6.076e-02
2.02,0.90,2.1834,-2.9197,6.059e-02
2.04,0.90,2.1871,-3.3570,5.947e-02
0.92,0.92,2.0342,-0.7412,1.770e-01
0.94,0.92,2.0342,-0.7412,1.770e-01
0.96,0.92,2.0342,-0.7412,1.770e-01
0.98,0.92,2.0342,-0.7412,1.770e-01
1.00,0.92,2.0342,-0.7412,1.770e-01
1.02,0.92,2.0342,-0.7412,1.770e-01
1.04,0.92,2.0342,-0.7412,1.770e-01
1.06,0.92,2.0342,-0.7412,1.770e-01
1.08,0.92,2.0342,-0.7412,1.770e-01
1.10,0.92,2.0342,-0.7412,1.770e-01
1.12,0.92,2.0342,-0.7412,1.769e-01
1.14,0.92,2.0342,-0.7412,1.769e-01
1.16,0.92,2.0342,-0.7412,1.769e-01
1.18,0.92,2.0342,-0.7412,1.769e-01
1.20,0.92,2.0342,-0.7412,1.769e-01
1.22,0.92,2.0342,-0.7412,1.768e-01
1.24,0.92,1.9489,-0.4671,1.778e-01
1.26,0.92,1.8484,-0.3072,1.792e-01
1.28,0.92,1.7656,-0.2261,1.806e-01
1.30,0.92,1.6952,-0.1763,1.821e-01
1.32,0.92,1.6353,-0.0979,1.835e-01
1.34,0.92,1.7381,0.0974,1.849e-01
1.36,0.92,1.3297,-0.6496,1.864e-01
1.38,0.92,1.8208,-0.9640,1.878e-01
1.40,0.92,2.0433,-0.7630,1.891e-01
1.42,0.92,2.0444,-0.7656,1.905e-01
1.44,0.92,2.0454,-0.7682,1.918e-01
1.46,0.92,2.0465,-0.7708,1.930e-01
1.48,0.92,2.0475,-0.7735,1.941e-01
1.50,0.92,2.0486,-0.7762,1.951e-01
1.52,0.92,2.0496,-0.7790,1.959e-01
1.54,0.92,2.0507,-0.7818,1.966e-01
1.56,0.92,2.0518,-0.7847,1.970e-01
1.58,0.92,2.0529,-0.7877,1.972e-01
1.60,0.92,2.0540,-0.7908,1.970e-01
1.62,0.92,2.0552,-0.7941,1.964e-01
1.64,0.92,2.0565,-0.7976,1.952e-01
1.66,0.92,2.0579,-0.8014,1.935e-01
1.68,0.92,2.0594,-0.8056,1.910e-01
1.70,0.92,2.0610,-0.8103,1.877e-01
1.72,0.92,2.0629,-0.8157,1.833e-01
1.74,0.92,2.1051,-0.7994,1.442e-01
1.76,0.92,2.1730,-0.7681,1.085e-01
1.78,0.92,2.2023,-0.7936,8.778e-02
1.80,0.92,2.2052,-0.8629,7.527e-02
1.82,0.92,2.1939,-0.9636,6.747e-02
1.84,0.92,2.1776,-1.0871,6.255e-02
1.86,0.92,2.1622,-1.2285,5.949e-02
1.88,0.92,2.1513,-1.3864,5.766e-02
1.90,0.92,2.1464,-1.5621,5.668e-02
1.92,0.92,2.1478,-1.7596,5.630e-02
1.94,0.92,2.1544,-1.9856,5.631e-02
1.96,0.92,2.1640,-2.2494,5.657e-02
1.98,0.92,2.1738,-2.5622,5.691e-02
2.00,0.92,2.1816,-2.9365,5.716e-02
2.02,0.92,2.1864,-3.3753,5.706e-02
2.04,0.92,2.1859,-3.3920,5.597e-02
0.94,0.94,2.0342,-0.7412,1.770e-01
0.96,0.94,2.0342,-0.7412,1.770e-01
0.98,0.94,2.0342,-0.7412,1.770e-01
1.00,0.94,2.0342,-0.7412,1.770e-01
1.02,0.94,2.0342,-0.7412,1.770e-01
1.04,0.94,2.0342,-0.7412,1.770e-01
1.06,0.94,2.0342,-0.7412,1.770e-01
1.08,0.94,2.0342,-0.7412,1.770e-01
1.10,0.94,2.0342,-0.7412,1.769e-01
1.12,0.94,2.0342,-0.7412,1.769e-01
1.14,0.94,2.0342,-0.7412,1.769e-01
1.16,0.94,2.0342,-0.7412,1.769e-01
1.18,0.94,2.0342,-0.7412,1.769e-01
1.20,0.94,2.0342,-0.7412,1.768e-01
1.22,0.94,2.0342,-0.7412,1.768e-01
1.24,0.94,1.9793,-0.5408,1.774e-01
1.26,0.94,1.8772,-0.3439,1.787e-01
1.28,0.94,1.7933,-0.2499,1.800e-01
1.30,0.94,1.7211,-0.1935,1.814e-01
1.32,0.94,1.6690,-0.0944,1.827e-01
1.34,0.94,1.7073,-0.0290,1.840e-01
1.36,0.94,1.4207,-0.3200,1.854e-01
1.38,0.94,1.5068,-1.2626,1.866e-01
1.40,0.94,2.0427,-0.7614,1.879e-01
1.42,0.94,2.0437,-0.7639,1.891e-01
1.44,0.94,2.0447,-0.7665,1.902e-01
1.46,0.94,2.0457,-0.7690,1.912e-01
1.48,0.94,2.0468,-0.7716,1.922e-01
1.50,0.94,2.0478,-0.7743,1.929e-01
1.52,0.94,2.0488,-0.7770,1.935e-01
1.54,0.94,2.0499,-0.7797,1.939e-01
1.56,0.94,2.0510,-0.7826,1.940e-01
