M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8832,-0.8605,1.645e-01
0.92,0.90,1.9301,-0.5000,1.667e-01
0.94,0.90,1.9482,-0.4657,1.701e-01
0.96,0.90,1.9481,-0.4654,1.746e-01
0.98,0.90,1.9481,-0.4653,1.803e-01
1.00,0.90,1.9480,-0.4653,1.871e-01
1.02,0.90,1.9480,-0.4652,1.950e-01
1.04,0.90,1.9478,-0.4648,2.038e-01
1.06,0.90,1.9475,-0.4641,2.135e-01
1.08,0.90,1.9469,-0.4628,2.239e-01
1.10,0.90,1.9459,-0.4608,2.349e-01
1.12,0.90,1.9446,-0.4580,2.464e-01
1.14,0.90,1.9428,-0.4542,2.582e-01
1.16,0.90,1.9404,-0.4493,2.703e-01
1.18,0.90,1.9374,-0.4434,2.824e-01
1.20,0.90,1.9338,-0.4362,2.946e-01
1.22,0.90,1.9293,-0.4277,3.067e-01
1.24,0.90,1.9240,-0.4179,3.186e-01
1.26,0.90,1.9178,-0.4068,3.303e-01
1.28,0.90,1.9104,-0.3942,3.417e-01
1.30,0.90,1.9018,-0.3802,3.529e-01
1.32,0.90,1.8875,-0.3424,3.636e-01
1.34,0.90,1.9572,-0.1650,3.741e-01
1.36,0.90,1.7310,-0.8767,3.842e-01
1.38,0.90,2.0327,-0.7478,3.940e-01
1.40,0.90,2.0362,-0.7457,4.035e-01
1.42,0.90,2.0364,-0.7463,4.127e-01
1.44,0.90,2.0367,-0.7470,4.216e-01
1.46,0.90,2.0371,-0.7479,4.304e-01
1.48,0.90,2.0375,-0.7489,4.391e-01
1.50,0.90,2.0381,-0.7502,4.478e-01
1.52,0.90,2.0387,-0.7518,4.566e-01
1.54,0.90,2.0395,-0.7537,4.656e-01
1.56,0.90,2.0405,-0.7561,4.751e-01
1.58,0.90,2.0418,-0.7591,4.852e-01
1.60,0.90,2.0433,-0.7628,4.963e-01
1.62,0.90,2.0452,-0.7676,5.087e-01
1.64,0.90,2.0475,-0.7736,5.231e-01
1.66,0.90,2.0505,-0.7813,5.401e-01
1.68,0.90,2.0542,-0.7912,5.607e-01
1.70,0.90,2.0588,-0.8039,5.863e-01
1.72,0.90,2.0644,-0.8203,6.189e-01
1.74,0.90,2.0713,-0.8415,6.611e-01
1.76,0.90,2.0796,-0.8688,7.168e-01
1.78,0.90,2.1297,-0.9037,6.653e-01
1.80,0.90,2.1808,-0.9761,6.605e-01
1.82,0.90,2.1960,-1.1206,7.403e-01
1.84,0.90,2.1956,-1.3081,9.035e-01
1.86,0.90,2.1913,-1.5185,1.167e+00
1.88,0.90,2.1876,-1.7410,1.566e+00
1.90,0.90,2.1855,-1.9702,2.157e+00
1.92,0.90,2.1847,-2.2032,3.032e+00
1.94,0.90,2.1848,-2.4382,4.331e+00
1.96,0.90,2.1854,-2.6737,6.280e+00
1.98,0.90,2.1862,-2.9086,9.235e+00
2.00,0.90,2.1871,-3.1421,1.378e+01
2.02,0.90,2.1878,-3.3741,2.088e+01
2.04,0.90,2.1884,-3.6065,3.232e+01
0.92,0.92,1.9066,-0.5411,1.645e-01
0.94,0.92,1.9506,-0.3967,1.667e-01
0.96,0.92,1.9456,-0.4601,1.699e-01
0.98,0.92,1.9454,-0.4597,1.743e-01
1.00,0.92,1.9453,-0.4595,1.798e-01
1.02,0.92,1.9452,-0.4593,1.863e-01
1.04,0.92,1.9451,-0.4591,1.939e-01
1.06,0.92,1.9449,-0.4586,2.024e-01
1.08,0.92,1.9445,-0.4577,2.118e-01
1.10,0.92,1.9438,-0.4564,2.218e-01
1.12,0.92,1.9428,-0.4543,2.325e-01
1.14,0.92,1.9414,-0.4515,2.437e-01
1.16,0.92,1.9396,-0.4477,2.552e-01
1.18,0.92,1.9372,-0.4429,2.669e-01
1.20,0.92,1.9342,-0.4371,2.788e-01
1.22,0.92,1.9305,-0.4300,2.907e-01
1.24,0.92,1.9261,-0.4218,3.026e-01
1.26,0.92,1.9208,-0.4122,3.144e-01
1.28,0.92,1.9146,-0.4013,3.259e-01
1.30,0.92,1.9073,-0.3891,3.372e-01
1.32,0.92,1.8994,-0.3417,3.482e-01
1.34,0.92,1.9515,-0.2540,3.590e-01
1.36,0.92,1.7773,-0.6878,3.694e-01
1.38,0.92,1.9842,-0.7930,3.795e-01
1.40,0.92,2.0360,-0.7453,3.892e-01
1.42,0.92,2.0362,-0.7458,3.987e-01
1.44,0.92,2.0365,-0.7463,4.079e-01
1.46,0.92,2.0368,-0.7470,4.169e-01
1.48,0.92,2.0371,-0.7479,4.257e-01
1.50,0.92,2.0375,-0.7489,4.344e-01
1.52,0.92,2.0381,-0.7501,4.430e-01
1.54,0.92,2.0387,-0.7516,4.516e-01
1.56,0.92,2.0395,-0.7535,4.605e-01
1.58,0.92,2.0404,-0.7558,4.696e-01
1.60,0.92,2.0416,-0.7586,4.793e-01
1.62,0.92,2.0430,-0.7622,4.897e-01
1.64,0.92,2.0448,-0.7667,5.011e-01
1.66,0.92,2.0470,-0.7724,5.141e-01
1.68,0.92,2.0498,-0.7796,5.292e-01
1.70,0.92,2.0533,-0.7889,5.472e-01
1.72,0.92,2.0577,-0.8008,5.691e-01
1.74,0.92,2.1034,-0.7916,4.817e-01
1.76,0.92,2.1735,-0.7805,4.048e-01
1.78,0.92,2.2009,-0.8465,3.860e-01
1.80,0.92,2.2019,-0.9714,4.095e-01
1.82,0.92,2.1927,-1.1343,4.723e-01
1.84,0.92,2.1828,-1.3196,5.789e-01
1.86,0.92,2.1760,-1.5176,7.412e-01
1.88,0.92,2.1727,-1.7230,9.787e-01
1.90,0.92,2.1720,-1.9328,1.323e+00
1.92,0.92,2.1732,-2.1448,1.820e+00
1.94,0.92,2.1753,-2.3575,2.544e+00
1.96,0.92,2.1778,-2.5697,3.605e+00
1.98,0.92,2.1803,-2.7807,5.179e+00
2.00,0.92,2.1826,-2.9902,7.543e+00
2.02,0.92,2.1845,-3.1988,1.115e+01
2.04,0.92,2.1861,-3.4090,1.684e+01
0.94,0.94,1.9720,-0.2411,1.645e-01
0.96,0.94,1.9474,-0.4128,1.666e-01
0.98,0.94,1.9429,-0.4545,1.698e-01
1.00,0.94,1.9427,-0.4540,1.740e-01
1.02,0.94,1.9425,-0.4536,1.793e-01
1.04,0.94,1.9423,-0.4533,1.856e-01
1.06,0.94,1.9422,-0.4529,1.929e-01
1.08,0.94,1.9419,-0.4523,2.012e-01
1.10,0.94,1.9414,-0.4514,2.102e-01
1.12,0.94,1.9407,-0.4499,2.199e-01
1.14,0.94,1.9396,-0.4478,2.302e-01
1.16,0.94,1.9382,-0.4449,2.411e-01
1.18,0.94,1.9363,-0.4412,2.523e-01
1.20,0.94,1.9339,-0.4364,2.637e-01
1.22,0.94,1.9309,-0.4307,2.753e-01
1.24,0.94,1.9272,-0.4238,2.870e-01
1.26,0.94,1.9228,-0.4157,2.987e-01
1.28,0.94,1.9175,-0.4063,3.102e-01
1.30,0.94,1.9109,-0.3954,3.216e-01
1.32,0.94,1.9081,-0.3396,3.328e-01
1.34,0.94,1.9373,-0.3311,3.437e-01
1.36,0.94,1.8224,-0.4774,3.544e-01
1.38,0.94,1.8719,-0.9024,3.648e-01
1.40,0.94,2.0359,-0.7449,3.748e-01
1.42,0.94,2.0360,-0.7453,3.846e-01
1.44,0.94,2.0362,-0.7458,3.940e-01
1.46,0.94,2.0365,-0.7464,4.032e-01
1.48,0.94,2.0368,-0.7471,4.121e-01
1.50,0.94,2.0371,-0.7479,4.209e-01
1.52,0.94,2.0375,-0.7489,4.294e-01
1.54,0.94,2.0380,-0.7501,4.379e-01
1.56,0.94,2.0386,-0.7515,4.464e-01
1.58,0.94,2.0394,-0.7533,4.549e-01
1.60,0.94,2.0403,-0.7555,4.636e-01
1.62,0.94,2.0414,-0.7583,4.726e-01
1.64,0.94,2.0428,-0.7617,4.820e-01
1.66,0.94,2.0445,-0.7660,4.922e-01
