M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7369,-0.9670,1.657e-01
0.92,0.90,1.8251,-0.3736,1.679e-01
0.94,0.90,1.8638,-0.3261,1.712e-01
0.96,0.90,1.8697,-0.3338,1.757e-01
0.98,0.90,1.8761,-0.3424,1.813e-01
1.00,0.90,1.8829,-0.3520,1.881e-01
1.02,0.90,1.8900,-0.3622,1.958e-01
1.04,0.90,1.8971,-0.3729,2.046e-01
1.06,0.90,1.9041,-0.3839,2.142e-01
1.08,0.90,1.9109,-0.3950,2.245e-01
1.10,0.90,1.9173,-0.4060,2.354e-01
1.12,0.90,1.9234,-0.4169,2.468e-01
1.14,0.90,1.9292,-0.4274,2.585e-01
1.16,0.90,1.9344,-0.4375,2.704e-01
1.18,0.90,1.9393,-0.4471,2.824e-01
1.20,0.90,1.9438,-0.4563,2.944e-01
1.22,0.90,1.9479,-0.4649,3.063e-01
1.24,0.90,1.9516,-0.4729,3.180e-01
1.26,0.90,1.9550,-0.4805,3.294e-01
1.28,0.90,1.9580,-0.4874,3.405e-01
1.30,0.90,1.9608,-0.4939,3.513e-01
1.32,0.90,1.9610,-0.4824,3.617e-01
1.34,0.90,2.0016,-0.3923,3.716e-01
1.36,0.90,1.9021,-0.8066,3.812e-01
1.38,0.90,2.0338,-0.7432,3.903e-01
1.40,0.90,2.0348,-0.7424,3.990e-01
1.42,0.90,2.0348,-0.7424,4.072e-01
1.44,0.90,2.0347,-0.7423,4.150e-01
1.46,0.90,2.0347,-0.7423,4.224e-01
1.48,0.90,2.0347,-0.7423,4.294e-01
1.50,0.90,2.0347,-0.7423,4.360e-01
1.52,0.90,2.0347,-0.7422,4.423e-01
1.54,0.90,2.0347,-0.7422,4.481e-01
1.56,0.90,2.0347,-0.7422,4.535e-01
1.58,0.90,2.0347,-0.7422,4.586e-01
1.60,0.90,2.0347,-0.7422,4.632e-01
1.62,0.90,2.0347,-0.7422,4.674e-01
1.64,0.90,2.0347,-0.7422,4.712e-01
1.66,0.90,2.0347,-0.7422,4.744e-01
1.68,0.90,2.0347,-0.7422,4.771e-01
1.70,0.90,2.0347,-0.7422,4.790e-01
1.72,0.90,2.0347,-0.7422,4.801e-01
1.74,0.90,2.0347,-0.7422,4.802e-01
1.76,0.90,2.0347,-0.7422,4.790e-01
1.78,0.90,2.0839,-0.6811,3.499e-01
1.80,0.90,2.1664,-0.5763,2.384e-01
1.82,0.90,2.2137,-0.5117,1.700e-01
1.84,0.90,2.2250,-0.4869,1.256e-01
1.86,0.90,2.2018,-0.5000,9.531e-02
1.88,0.90,2.1482,-0.5461,7.398e-02
1.90,0.90,2.0708,-0.6182,5.852e-02
1.92,0.90,1.9772,-0.7084,4.711e-02
1.94,0.90,1.8746,-0.8088,3.861e-02
1.96,0.90,1.7692,-0.9126,3.223e-02
1.98,0.90,1.6650,-1.0148,2.744e-02
2.00,0.90,1.5645,-1.1115,2.386e-02
2.02,0.90,1.4691,-1.2006,2.118e-02
2.04,0.90,1.3799,-1.2810,1.921e-02
0.92,0.92,1.7896,-0.4425,1.657e-01
0.94,0.92,1.8718,-0.2419,1.678e-01
0.96,0.92,1.8684,-0.3321,1.710e-01
0.98,0.92,1.8741,-0.3397,1.753e-01
1.00,0.92,1.8803,-0.3482,1.807e-01
1.02,0.92,1.8868,-0.3576,1.872e-01
1.04,0.92,1.8936,-0.3676,1.947e-01
1.06,0.92,1.9004,-0.3781,2.031e-01
1.08,0.92,1.9072,-0.3889,2.124e-01
1.10,0.92,1.9137,-0.3998,2.223e-01
1.12,0.92,1.9200,-0.4106,2.329e-01
1.14,0.92,1.9259,-0.4213,2.439e-01
1.16,0.92,1.9314,-0.4317,2.553e-01
1.18,0.92,1.9366,-0.4417,2.669e-01
1.20,0.92,1.9414,-0.4513,2.787e-01
1.22,0.92,1.9457,-0.4603,2.904e-01
1.24,0.92,1.9497,-0.4689,3.021e-01
1.26,0.92,1.9534,-0.4769,3.136e-01
1.28,0.92,1.9567,-0.4844,3.249e-01
1.30,0.92,1.9597,-0.4913,3.359e-01
1.32,0.92,1.9628,-0.4722,3.466e-01
1.34,0.92,1.9962,-0.4403,3.569e-01
1.36,0.92,1.9170,-0.7121,3.668e-01
1.38,0.92,2.0167,-0.7593,3.763e-01
1.40,0.92,2.0348,-0.7424,3.855e-01
1.42,0.92,2.0348,-0.7424,3.942e-01
1.44,0.92,2.0347,-0.7423,4.024e-01
1.46,0.92,2.0347,-0.7423,4.103e-01
1.48,0.92,2.0347,-0.7423,4.177e-01
1.50,0.92,2.0347,-0.7423,4.248e-01
