M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9673,-0.7952,4.089e-01
0.92,0.90,1.9889,-0.6123,4.089e-01
0.94,0.90,1.9965,-0.5919,4.090e-01
0.96,0.90,1.9955,-0.5886,4.090e-01
0.98,0.90,1.9943,-0.5847,4.090e-01
1.00,0.90,1.9928,-0.5802,4.091e-01
1.02,0.90,1.9911,-0.5750,4.091e-01
1.04,0.90,1.9892,-0.5692,4.091e-01
1.06,0.90,1.9870,-0.5626,4.092e-01
1.08,0.90,1.9844,-0.5553,4.093e-01
1.10,0.90,1.9815,-0.5471,4.094e-01
1.12,0.90,1.9782,-0.5380,4.095e-01
1.14,0.90,1.9745,-0.5280,4.096e-01
1.16,0.90,1.9702,-0.5170,4.097e-01
1.18,0.90,1.9654,-0.5050,4.098e-01
1.20,0.90,1.9599,-0.4918,4.100e-01
1.22,0.90,1.9536,-0.4775,4.102e-01
1.24,0.90,1.9465,-0.4620,4.104e-01
1.26,0.90,1.9384,-0.4452,4.106e-01
1.28,0.90,1.9291,-0.4272,4.109e-01
1.30,0.90,1.9184,-0.4079,4.112e-01
1.32,0.90,1.9024,-0.3656,4.116e-01
1.34,0.90,1.9639,-0.1910,4.121e-01
1.36,0.90,1.7465,-0.8710,4.127e-01
1.38,0.90,2.0328,-0.7475,4.133e-01
1.40,0.90,2.0361,-0.7456,4.141e-01
1.42,0.90,2.0364,-0.7463,4.150e-01
1.44,0.90,2.0368,-0.7471,4.162e-01
1.46,0.90,2.0372,-0.7481,4.176e-01
1.48,0.90,2.0377,-0.7493,4.193e-01
1.50,0.90,2.0383,-0.7508,4.214e-01
1.52,0.90,2.0391,-0.7526,4.239e-01
1.54,0.90,2.0400,-0.7549,4.271e-01
1.56,0.90,2.0412,-0.7577,4.312e-01
1.58,0.90,2.0426,-0.7612,4.362e-01
1.60,0.90,2.0444,-0.7656,4.427e-01
1.62,0.90,2.0466,-0.7712,4.509e-01
1.64,0.90,2.0494,-0.7783,4.615e-01
1.66,0.90,2.0528,-0.7874,4.752e-01
1.68,0.90,2.0570,-0.7989,4.932e-01
1.70,0.90,2.0622,-0.8137,5.169e-01
1.72,0.90,2.0685,-0.8326,5.483e-01
1.74,0.90,2.0760,-0.8567,5.905e-01
1.76,0.90,2.0847,-0.8872,6.474e-01
1.78,0.90,2.1337,-0.9313,6.164e-01
1.80,0.90,2.1816,-1.0141,6.294e-01
1.82,0.90,2.1955,-1.1627,7.203e-01
1.84,0.90,2.1951,-1.3474,8.911e-01
1.86,0.90,2.1912,-1.5494,1.160e+00
1.88,0.90,2.1877,-1.7590,1.563e+00
1.90,0.90,2.1855,-1.9718,2.157e+00
1.92,0.90,2.1845,-2.1856,3.034e+00
1.94,0.90,2.1843,-2.3996,4.335e+00
1.96,0.90,2.1847,-2.6138,6.285e+00
1.98,0.90,2.1854,-2.8281,9.240e+00
2.00,0.90,2.1863,-3.0430,1.378e+01
2.02,0.90,2.1871,-3.2592,2.088e+01
2.04,0.90,2.1878,-3.4793,3.232e+01
0.92,0.92,1.9769,-0.6326,3.968e-01
0.94,0.92,1.9973,-0.5469,3.968e-01
0.96,0.92,1.9942,-0.5845,3.969e-01
0.98,0.92,1.9931,-0.5812,3.969e-01
1.00,0.92,1.9918,-0.5772,3.969e-01
1.02,0.92,1.9903,-0.5726,3.970e-01
1.04,0.92,1.9886,-0.5673,3.970e-01
1.06,0.92,1.9865,-0.5614,3.971e-01
1.08,0.92,1.9842,-0.5547,3.971e-01
1.10,0.92,1.9816,-0.5472,3.972e-01
1.12,0.92,1.9786,-0.5389,3.973e-01
1.14,0.92,1.9752,-0.5298,3.974e-01
1.16,0.92,1.9713,-0.5197,3.975e-01
1.18,0.92,1.9669,-0.5086,3.976e-01
1.20,0.92,1.9619,-0.4966,3.977e-01
1.22,0.92,1.9563,-0.4834,3.979e-01
1.24,0.92,1.9498,-0.4692,3.981e-01
1.26,0.92,1.9425,-0.4537,3.983e-01
1.28,0.92,1.9342,-0.4371,3.986e-01
1.30,0.92,1.9248,-0.4193,3.988e-01
1.32,0.92,1.9146,-0.3680,3.992e-01
1.34,0.92,1.9593,-0.2801,3.996e-01
1.36,0.92,1.7926,-0.6901,4.000e-01
1.38,0.92,1.9867,-0.7904,4.006e-01
1.40,0.92,2.0360,-0.7452,4.012e-01
1.42,0.92,2.0362,-0.7457,4.020e-01
1.44,0.92,2.0365,-0.7464,4.029e-01
1.46,0.92,2.0368,-0.7472,4.040e-01
1.48,0.92,2.0373,-0.7482,4.054e-01
1.50,0.92,2.0378,-0.7494,4.070e-01
1.52,0.92,2.0384,-0.7509,4.090e-01
1.54,0.92,2.0391,-0.7527,4.115e-01
1.56,0.92,2.0400,-0.7549,4.145e-01
1.58,0.92,2.0412,-0.7576,4.183e-01
1.60,0.92,2.0426,-0.7610,4.231e-01
1.62,0.92,2.0443,-0.7653,4.291e-01
1.64,0.92,2.0464,-0.7707,4.367e-01
1.66,0.92,2.0490,-0.7775,4.465e-01
1.68,0.92,2.0523,-0.7861,4.591e-01
1.70,0.92,2.0563,-0.7970,4.755e-01
1.72,0.92,2.0612,-0.8108,4.970e-01
1.74,0.92,2.1069,-0.8079,4.279e-01
1.76,0.92,2.1746,-0.8078,3.696e-01
1.78,0.92,2.2000,-0.8831,3.623e-01
1.80,0.92,2.2008,-1.0123,3.937e-01
1.82,0.92,2.1924,-1.1736,4.620e-01
1.84,0.92,2.1834,-1.3518,5.728e-01
1.86,0.92,2.1767,-1.5383,7.381e-01
1.88,0.92,2.1729,-1.7283,9.781e-01
1.90,0.92,2.1715,-1.9197,1.324e+00
1.92,0.92,2.1718,-2.1113,1.823e+00
1.94,0.92,2.1733,-2.3029,2.548e+00
1.96,0.92,2.1755,-2.4945,3.610e+00
1.98,0.92,2.1779,-2.6866,5.184e+00
2.00,0.92,2.1804,-2.8798,7.548e+00
2.02,0.92,2.1826,-3.0753,1.116e+01
2.04,0.92,2.1846,-3.2754,1.684e+01
0.94,0.94,2.0066,-0.4403,3.843e-01
0.96,0.94,1.9946,-0.5524,3.843e-01
0.98,0.94,1.9917,-0.5767,3.843e-01
1.00,0.94,1.9905,-0.5732,3.844e-01
1.02,0.94,1.9892,-0.5691,3.844e-01
1.04,0.94,1.9876,-0.5644,3.844e-01
1.06,0.94,1.9857,-0.5591,3.845e-01
1.08,0.94,1.9836,-0.5530,3.845e-01
1.10,0.94,1.9812,-0.5462,3.846e-01
1.12,0.94,1.9785,-0.5386,3.847e-01
1.14,0.94,1.9753,-0.5302,3.848e-01
1.16,0.94,1.9718,-0.5210,3.849e-01
1.18,0.94,1.9678,-0.5108,3.850e-01
1.20,0.94,1.9632,-0.4997,3.851e-01
1.22,0.94,1.9581,-0.4876,3.852e-01
1.24,0.94,1.9523,-0.4745,3.854e-01
1.26,0.94,1.9457,-0.4602,3.856e-01
1.28,0.94,1.9382,-0.4449,3.858e-01
1.30,0.94,1.9294,-0.4281,3.860e-01
1.32,0.94,1.9237,-0.3689,3.863e-01
1.34,0.94,1.9471,-0.3561,3.867e-01
1.36,0.94,1.8369,-0.4882,3.870e-01
1.38,0.94,1.8800,-0.8943,3.875e-01
1.40,0.94,2.0358,-0.7448,3.880e-01
1.42,0.94,2.0360,-0.7453,3.887e-01
1.44,0.94,2.0363,-0.7459,3.894e-01
1.46,0.94,2.0366,-0.7466,3.903e-01
1.48,0.94,2.0369,-0.7474,3.914e-01
1.50,0.94,2.0373,-0.7484,3.927e-01
1.52,0.94,2.0378,-0.7496,3.943e-01
1.54,0.94,2.0384,-0.7510,3.962e-01
1.56,0.94,2.0392,-0.7528,3.986e-01
1.58,0.94,2.0401,-0.7550,4.015e-01
1.60,0.94,2.0412,-0.7577,4.051e-01
1.62,0.94,2.0425,-0.7610,4.096e-01
1.64,0.94,2.0442,-0.7652,4.153e-01
1.66,0.94,2.0463,-0.7704,4.224e-01
1.68,0.94,2.0488,-0.7769,4.315e-01
1.70,0.94,2.0784,-0.7648,3.681e-01
1.72,0.94,2.1628,-0.7050,2.806e-01
1.74,0.94,2.2025,-0.7158,2.397e-01
1.76,0.94,2.2082,-0.7874,2.274e-01
1.78,0.94,2.1955,-0.9029,2.361e-01
1.80,0.94,2.1773,-1.0456,2.639e-01
1.82,0.94,2.1611,-1.2035,3.120e-01
1.84,0.94,2.1496,-1.3690,3.848e-01
1.86,0.94,2.1432,-1.5376,4.897e-01
1.88,0.94,2.1412,-1.7070,6.383e-01
1.90,0.94,2.1425,-1.8760,8.479e-01
1.92,0.94,2.1464,-2.0446,1.144e+00
1.94,0.94,2.1517,-2.2129,1.567e+00
1.96,0.94,2.1577,-2.3816,2.173e+00
1.98,0.94,2.1637,-2.5515,3.054e+00
2.00,0.94,2.1694,-2.7234,4.349e+00
2.02,0.94,2.1744,-2.8977,6.283e+00
2.04,0.94,2.1786,-3.0760,9.265e+00
0.96,0.96,2.0147,-0.4588,3.714e-01
0.98,0.96,1.9891,-0.5551,3.714e-01
1.00,0.96,1.9889,-0.5683,3.714e-01
1.02,0.96,1.9877,-0.5647,3.714e-01
1.04,0.96,1.9862,-0.5605,3.715e-01
1.06,0.96,1.9846,-0.5557,3.715e-01
1.08,0.96,1.9826,-0.5502,3.716e-01
1.10,0.96,1.9804,-0.5440,3.716e-01
1.12,0.96,1.9779,-0.5371,3.717e-01
1.14,0.96,1.9750,-0.5294,3.717e-01
1.16,0.96,1.9718,-0.5209,3.718e-01
1.18,0.96,1.9681,-0.5116,3.719e-01
1.20,0.96,1.9639,-0.5013,3.720e-01
1.22,0.96,1.9592,-0.4902,3.722e-01
1.24,0.96,1.9539,-0.4780,3.723e-01
1.26,0.96,1.9479,-0.4649,3.725e-01
1.28,0.96,1.9411,-0.4507,3.726e-01
1.30,0.96,1.9272,-0.4249,3.729e-01
1.32,0.96,1.9307,-0.3682,3.731e-01
1.34,0.96,1.9349,-0.4122,3.734e-01
1.36,0.96,1.8798,-0.3244,3.737e-01
1.38,0.96,1.8224,-0.9294,3.741e-01
1.40,0.96,2.0357,-0.7446,3.746e-01
1.42,0.96,2.0359,-0.7450,3.751e-01
1.44,0.96,2.0361,-0.7455,3.757e-01
1.46,0.96,2.0363,-0.7461,3.765e-01
1.48,0.96,2.0366,-0.7468,3.774e-01
1.50,0.96,2.0370,-0.7476,3.784e-01
1.52,0.96,2.0374,-0.7486,3.797e-01
1.54,0.96,2.0379,-0.7498,3.812e-01
1.56,0.96,2.0385,-0.7512,3.831e-01
1.58,0.96,2.0393,-0.7530,3.854e-01
1.60,0.96,2.0402,-0.7552,3.881e-01
1.62,0.96,2.0412,-0.7578,3.916e-01
1.64,0.96,2.0426,-0.7611,3.959e-01
1.66,0.96,2.0453,-0.7680,3.616e-01
1.68,0.96,2.1442,-0.6688,2.530e-01
1.70,0.96,2.1995,-0.6316,1.955e-01
1.72,0.96,2.2146,-0.6545,1.657e-01
1.74,0.96,2.2013,-0.7273,1.533e-01
1.76,0.96,2.1737,-0.8355,1.533e-01
1.78,0.96,2.1434,-0.9659,1.641e-01
1.80,0.96,2.1174,-1.1084,1.857e-01
1.82,0.96,2.0986,-1.2564,2.196e-01
1.84,0.96,2.0879,-1.4058,2.686e-01
1.86,0.96,2.0843,-1.5542,3.373e-01
1.88,0.96,2.0869,-1.7009,4.326e-01
1.90,0.96,2.0941,-1.8459,5.645e-01
1.92,0.96,2.1044,-1.9898,7.479e-01
1.94,0.96,2.1163,-2.1339,1.004e+00
1.96,0.96,2.1288,-2.2789,1.366e+00
1.98,0.96,2.1407,-2.4254,1.880e+00
2.00,0.96,2.1515,-2.5729,2.623e+00
2.02,0.96,2.1608,-2.7204,3.710e+00
2.04,0.96,2.1686,-2.8675,5.354e+00
0.98,0.98,2.0062,-0.5338,3.580e-01
1.00,0.98,1.9859,-0.5461,3.580e-01
1.02,0.98,1.9858,-0.5592,3.581e-01
1.04,0.98,1.9845,-0.5556,3.581e-01
1.06,0.98,1.9830,-0.5513,3.581e-01
1.08,0.98,1.9813,-0.5463,3.582e-01
1.10,0.98,1.9792,-0.5407,3.582e-01
1.12,0.98,1.9769,-0.5344,3.583e-01
1.14,0.98,1.9743,-0.5274,3.583e-01
1.16,0.98,1.9712,-0.5196,3.584e-01
1.18,0.98,1.9678,-0.5110,3.585e-01
1.20,0.98,1.9640,-0.5015,3.586e-01
1.22,0.98,1.9596,-0.4912,3.587e-01
1.24,0.98,1.9547,-0.4800,3.588e-01
1.26,0.98,1.9492,-0.4678,3.590e-01
1.28,0.98,1.9430,-0.4547,3.591e-01
1.30,0.98,1.9275,-0.4247,3.593e-01
1.32,0.98,1.9363,-0.3655,3.595e-01
1.34,0.98,1.9240,-0.4519,3.598e-01
1.36,0.98,1.9184,-0.2164,3.601e-01
1.38,0.98,1.7811,-0.9090,3.604e-01
1.40,0.98,2.0107,-0.7666,3.608e-01
1.42,0.98,2.0358,-0.7447,3.612e-01
1.44,0.98,2.0360,-0.7452,3.618e-01
1.46,0.98,2.0362,-0.7457,3.624e-01
1.48,0.98,2.0364,-0.7463,3.631e-01
1.50,0.98,2.0367,-0.7470,3.640e-01
1.52,0.98,2.0371,-0.7478,3.650e-01
1.54,0.98,2.0375,-0.7488,3.663e-01
1.56,0.98,2.0380,-0.7500,3.678e-01
1.58,0.98,2.0386,-0.7515,3.696e-01
1.60,0.98,2.0394,-0.7533,3.718e-01
1.62,0.98,2.0403,-0.7554,3.744e-01
1.64,0.98,2.1165,-0.6739,2.544e-01
1.66,0.98,2.1887,-0.6004,1.830e-01
1.68,0.98,2.2174,-0.5851,1.430e-01
1.70,0.98,2.2095,-0.6222,1.207e-01
1.72,0.98,2.1770,-0.7007,1.096e-01
1.74,0.98,2.1332,-0.8077,1.064e-01
1.76,0.98,2.0887,-0.9318,1.099e-01
1.78,0.98,2.0505,-1.0643,1.196e-01
1.80,0.98,2.0221,-1.1992,1.360e-01
1.82,0.98,2.0047,-1.3325,1.601e-01
