M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8981,-0.8492,4.100e-01
0.92,0.90,1.9383,-0.5131,4.101e-01
0.94,0.90,1.9512,-0.4722,4.102e-01
0.96,0.90,1.9456,-0.4601,4.104e-01
0.98,0.90,1.9385,-0.4456,4.106e-01
1.00,0.90,1.9301,-0.4292,4.109e-01
1.02,0.90,1.9204,-0.4115,4.112e-01
1.04,0.90,1.9096,-0.3929,4.115e-01
1.06,0.90,1.8977,-0.3738,4.119e-01
1.08,0.90,1.8848,-0.3546,4.124e-01
1.10,0.90,1.8711,-0.3356,4.129e-01
1.12,0.90,1.8565,-0.3170,4.134e-01
1.14,0.90,1.8412,-0.2988,4.140e-01
1.16,0.90,1.8253,-0.2813,4.146e-01
1.18,0.90,1.8088,-0.2645,4.152e-01
1.20,0.90,1.7918,-0.2485,4.160e-01
1.22,0.90,1.7743,-0.2333,4.167e-01
1.24,0.90,1.7565,-0.2189,4.175e-01
1.26,0.90,1.7384,-0.2052,4.184e-01
1.28,0.90,1.7200,-0.1923,4.193e-01
1.30,0.90,1.7014,-0.1802,4.203e-01
1.32,0.90,1.6741,-0.1438,4.213e-01
1.34,0.90,1.8264,0.1327,4.224e-01
1.36,0.90,1.4197,-0.9657,4.235e-01
1.38,0.90,2.0297,-0.7606,4.247e-01
1.40,0.90,2.0397,-0.7540,4.259e-01
1.42,0.90,2.0400,-0.7549,4.272e-01
1.44,0.90,2.0404,-0.7559,4.286e-01
1.46,0.90,2.0408,-0.7568,4.300e-01
1.48,0.90,2.0413,-0.7579,4.315e-01
1.50,0.90,2.0417,-0.7590,4.330e-01
1.52,0.90,2.0422,-0.7601,4.346e-01
1.54,0.90,2.0426,-0.7612,4.363e-01
1.56,0.90,2.0431,-0.7624,4.380e-01
1.58,0.90,2.0436,-0.7637,4.398e-01
1.60,0.90,2.0441,-0.7650,4.417e-01
1.62,0.90,2.0447,-0.7663,4.437e-01
1.64,0.90,2.0452,-0.7677,4.457e-01
1.66,0.90,2.0458,-0.7691,4.478e-01
1.68,0.90,2.0464,-0.7706,4.500e-01
1.70,0.90,2.0470,-0.7721,4.522e-01
1.72,0.90,2.0476,-0.7737,4.546e-01
1.74,0.90,2.0482,-0.7753,4.570e-01
1.76,0.90,2.0488,-0.7770,4.595e-01
1.78,0.90,2.0975,-0.7342,3.535e-01
1.80,0.90,2.1709,-0.6655,2.623e-01
1.82,0.90,2.2077,-0.6432,2.079e-01
1.84,0.90,2.2139,-0.6598,1.739e-01
1.86,0.90,2.1974,-0.7060,1.519e-01
1.88,0.90,2.1657,-0.7729,1.375e-01
1.90,0.90,2.1247,-0.8531,1.281e-01
1.92,0.90,2.0784,-0.9411,1.221e-01
1.94,0.90,2.0300,-1.0327,1.184e-01
1.96,0.90,1.9816,-1.1242,1.166e-01
1.98,0.90,1.9349,-1.2131,1.160e-01
2.00,0.90,1.8911,-1.2972,1.165e-01
2.02,0.90,1.8511,-1.3751,1.178e-01
2.04,0.90,1.8157,-1.4461,1.199e-01
0.92,0.92,1.9149,-0.5503,3.980e-01
0.94,0.92,1.9544,-0.4066,3.981e-01
0.96,0.92,1.9458,-0.4606,3.982e-01
0.98,0.92,1.9402,-0.4490,3.984e-01
1.00,0.92,1.9332,-0.4351,3.986e-01
1.02,0.92,1.9249,-0.4194,3.988e-01
1.04,0.92,1.9152,-0.4024,3.991e-01
1.06,0.92,1.9045,-0.3845,3.995e-01
1.08,0.92,1.8926,-0.3661,3.999e-01
1.10,0.92,1.8798,-0.3475,4.003e-01
1.12,0.92,1.8661,-0.3291,4.008e-01
1.14,0.92,1.8516,-0.3110,4.013e-01
1.16,0.92,1.8363,-0.2933,4.019e-01
1.18,0.92,1.8205,-0.2763,4.025e-01
1.20,0.92,1.8040,-0.2599,4.031e-01
1.22,0.92,1.7871,-0.2443,4.038e-01
1.24,0.92,1.7697,-0.2294,4.046e-01
1.26,0.92,1.7520,-0.2153,4.054e-01
1.28,0.92,1.7339,-0.2020,4.062e-01
1.30,0.92,1.7156,-0.1893,4.071e-01
1.32,0.92,1.6984,-0.1342,4.080e-01
1.34,0.92,1.8114,0.0213,4.090e-01
1.36,0.92,1.4851,-0.6584,4.101e-01
1.38,0.92,1.8966,-0.8842,4.112e-01
1.40,0.92,2.0394,-0.7533,4.123e-01
1.42,0.92,2.0397,-0.7542,4.135e-01
1.44,0.92,2.0401,-0.7551,4.148e-01
1.46,0.92,2.0405,-0.7560,4.161e-01
1.48,0.92,2.0409,-0.7570,4.175e-01
1.50,0.92,2.0413,-0.7581,4.189e-01
1.52,0.92,2.0418,-0.7592,4.204e-01
1.54,0.92,2.0422,-0.7603,4.220e-01
1.56,0.92,2.0427,-0.7614,4.236e-01
1.58,0.92,2.0432,-0.7626,4.253e-01
1.60,0.92,2.0437,-0.7639,4.271e-01
1.62,0.92,2.0442,-0.7652,4.289e-01
1.64,0.92,2.0448,-0.7665,4.308e-01
1.66,0.92,2.0453,-0.7679,4.328e-01
1.68,0.92,2.0459,-0.7693,4.348e-01
1.70,0.92,2.0465,-0.7708,4.369e-01
1.72,0.92,2.0470,-0.7724,4.391e-01
1.74,0.92,2.0896,-0.7340,3.440e-01
1.76,0.92,2.1679,-0.6569,2.505e-01
1.78,0.92,2.2078,-0.6282,1.952e-01
1.80,0.92,2.2149,-0.6407,1.610e-01
