M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-1.5061,-1.4806,9.298e-04
0.92,0.90,-4.5668,-0.0896,9.471e-04
0.94,0.90,-7.3177,0.0319,9.695e-04
0.96,0.90,-7.3177,0.0319,9.970e-04
0.98,0.90,-7.3177,0.0319,1.030e-03
1.00,0.90,-7.3177,0.0319,1.069e-03
1.02,0.90,-7.3177,0.0319,1.115e-03
1.04,0.90,-7.3177,0.0319,1.168e-03
1.06,0.90,-7.3177,0.0319,1.228e-03
1.08,0.90,-7.3177,0.0319,1.298e-03
1.10,0.90,-7.3177,0.0319,1.378e-03
1.12,0.90,-7.3177,0.0319,1.470e-03
1.14,0.90,-7.3177,0.0319,1.575e-03
1.16,0.90,-7.3177,0.0319,1.696e-03
1.18,0.90,-7.3177,0.0319,1.834e-03
1.20,0.90,-7.3177,0.0319,1.994e-03
1.22,0.90,-7.3177,0.0319,2.178e-03
1.24,0.90,-7.3177,0.0319,2.391e-03
1.26,0.90,-7.3177,0.0319,2.639e-03
1.28,0.90,-7.3177,0.0319,2.927e-03
1.30,0.90,-7.3177,0.0319,3.264e-03
1.32,0.90,-4.8567,0.0545,3.660e-03
1.34,0.90,-3.6107,0.5150,4.127e-03
1.36,0.90,-2.3635,-1.0721,4.679e-03
1.38,0.90,1.9170,-5.0223,5.337e-03
1.40,0.90,2.1901,-5.3264,6.124e-03
1.42,0.90,2.1901,-5.3264,7.069e-03
1.44,0.90,2.1901,-5.3264,8.211e-03
1.46,0.90,2.1901,-5.3264,9.599e-03
1.48,0.90,2.1901,-5.3264,1.129e-02
1.50,0.90,2.1901,-5.3264,1.338e-02
1.52,0.90,2.1901,-5.3264,1.596e-02
1.54,0.90,2.1901,-5.3264,1.916e-02
1.56,0.90,2.1901,-5.3264,2.318e-02
1.58,0.90,2.1901,-5.3264,2.825e-02
1.60,0.90,2.1901,-5.3264,3.468e-02
1.62,0.90,2.1901,-5.3264,4.290e-02
1.64,0.90,2.1901,-5.3264,5.349e-02
1.66,0.90,2.1901,-5.3264,6.724e-02
1.68,0.90,2.1901,-5.3264,8.521e-02
1.70,0.90,2.1901,-5.3264,1.089e-01
1.72,0.90,2.1901,-5.3264,1.403e-01
1.74,0.90,2.1901,-5.3264,1.825e-01
1.76,0.90,2.1901,-5.3264,2.394e-01
1.78,0.90,2.1901,-5.3264,3.171e-01
1.80,0.90,2.1901,-5.3264,4.238e-01
1.82,0.90,2.1901,-5.3264,5.720e-01
1.84,0.90,2.1901,-5.3264,7.797e-01
1.86,0.90,2.1901,-5.3264,1.074e+00
1.88,0.90,2.1901,-5.3264,1.494e+00
1.90,0.90,2.1901,-5.3264,2.100e+00
1.92,0.90,2.1901,-5.3264,2.986e+00
1.94,0.90,2.1901,-5.3264,4.295e+00
1.96,0.90,2.1901,-5.3264,6.250e+00
1.98,0.90,2.1901,-5.3264,9.209e+00
2.00,0.90,2.1901,-5.3264,1.375e+01
2.02,0.90,2.1901,-5.3264,2.086e+01
2.04,0.90,2.1901,-5.3264,3.230e+01
0.92,0.92,-2.8730,-0.2231,9.601e-04
0.94,0.92,-4.6159,0.1571,9.781e-04
0.96,0.92,-7.3177,0.0319,1.001e-03
0.98,0.92,-7.3177,0.0319,1.029e-03
1.00,0.92,-7.3177,0.0319,1.063e-03
1.02,0.92,-7.3177,0.0319,1.103e-03
1.04,0.92,-7.3177,0.0319,1.150e-03
1.06,0.92,-7.3177,0.0319,1.203e-03
1.08,0.92,-7.3177,0.0319,1.265e-03
1.10,0.92,-7.3177,0.0319,1.336e-03
1.12,0.92,-7.3177,0.0319,1.417e-03
1.14,0.92,-7.3177,0.0319,1.510e-03
1.16,0.92,-7.3177,0.0319,1.616e-03
1.18,0.92,-7.3177,0.0319,1.738e-03
1.20,0.92,-7.3177,0.0319,1.878e-03
1.22,0.92,-7.3177,0.0319,2.038e-03
1.24,0.92,-7.3177,0.0319,2.223e-03
1.26,0.92,-7.3177,0.0319,2.436e-03
1.28,0.92,-7.3177,0.0319,2.683e-03
1.30,0.92,-7.3177,0.0319,2.971e-03
1.32,0.92,-4.8045,0.0820,3.306e-03
1.34,0.92,-3.8003,0.3703,3.698e-03
1.36,0.92,-2.6943,-0.6297,4.159e-03
1.38,0.92,0.5521,-4.0171,4.704e-03
1.40,0.92,2.1901,-5.3264,5.350e-03
1.42,0.92,2.1901,-5.3264,6.120e-03
1.44,0.92,2.1901,-5.3264,7.042e-03
1.46,0.92,2.1901,-5.3264,8.152e-03
1.48,0.92,2.1901,-5.3264,9.495e-03
1.50,0.92,2.1901,-5.3264,1.113e-02
1.52,0.92,2.1901,-5.3264,1.313e-02
1.54,0.92,2.1901,-5.3264,1.559e-02
1.56,0.92,2.1901,-5.3264,1.864e-02
1.58,0.92,2.1901,-5.3264,2.244e-02
1.60,0.92,2.1901,-5.3264,2.720e-02
1.62,0.92,2.1901,-5.3264,3.322e-02
1.64,0.92,2.1901,-5.3264,4.087e-02
1.66,0.92,2.1901,-5.3264,5.065e-02
1.68,0.92,2.1901,-5.3264,6.327e-02
1.70,0.92,2.1901,-5.3264,7.966e-02
1.72,0.92,2.1901,-5.3264,1.011e-01
1.74,0.92,2.1901,-5.3264,1.294e-01
1.76,0.92,2.1901,-5.3264,1.670e-01
1.78,0.92,2.1901,-5.3264,2.174e-01
1.80,0.92,2.1901,-5.3264,2.856e-01
1.82,0.92,2.1901,-5.3264,3.785e-01
1.84,0.92,2.1901,-5.3264,5.064e-01
1.86,0.92,2.1901,-5.3264,6.840e-01
1.88,0.92,2.1901,-5.3264,9.330e-01
1.90,0.92,2.1901,-5.3264,1.285e+00
1.92,0.92,2.1901,-5.3264,1.790e+00
1.94,0.92,2.1901,-5.3264,2.518e+00
1.96,0.92,2.1901,-5.3264,3.584e+00
1.98,0.92,2.1901,-5.3264,5.160e+00
2.00,0.92,2.1901,-5.3264,7.526e+00
2.02,0.92,2.1901,-5.3264,1.114e+01
2.04,0.92,2.1901,-5.3264,1.682e+01
0.94,0.94,-3.1153,0.4946,9.916e-04
0.96,0.94,-4.7423,0.1183,1.010e-03
0.98,0.94,-7.3177,0.0319,1.034e-03
1.00,0.94,-7.3177,0.0319,1.063e-03
1.02,0.94,-7.3177,0.0319,1.097e-03
1.04,0.94,-7.3177,0.0319,1.138e-03
1.06,0.94,-7.3177,0.0319,1.186e-03
1.08,0.94,-7.3177,0.0319,1.240e-03
1.10,0.94,-7.3177,0.0319,1.303e-03
1.12,0.94,-7.3177,0.0319,1.375e-03
1.14,0.94,-7.3177,0.0319,1.458e-03
1.16,0.94,-7.3177,0.0319,1.552e-03
1.18,0.94,-7.3177,0.0319,1.659e-03
1.20,0.94,-7.3177,0.0319,1.782e-03
1.22,0.94,-7.3177,0.0319,1.923e-03
1.24,0.94,-7.3177,0.0319,2.085e-03
1.26,0.94,-7.3177,0.0319,2.270e-03
1.28,0.94,-7.3177,0.0319,2.484e-03
1.30,0.94,-7.2818,0.0314,2.731e-03
1.32,0.94,-4.7624,0.1062,3.018e-03
1.34,0.94,-3.9940,0.2059,3.352e-03
1.36,0.94,-2.8665,-0.2408,3.741e-03
1.38,0.94,-0.3163,-2.7275,4.198e-03
1.40,0.94,2.1901,-5.3264,4.736e-03
1.42,0.94,2.1901,-5.3264,5.372e-03
1.44,0.94,2.1901,-5.3264,6.127e-03
1.46,0.94,2.1901,-5.3264,7.029e-03
1.48,0.94,2.1901,-5.3264,8.111e-03
1.50,0.94,2.1901,-5.3264,9.415e-03
1.52,0.94,2.1901,-5.3264,1.100e-02
1.54,0.94,2.1901,-5.3264,1.292e-02
1.56,0.94,2.1901,-5.3264,1.528e-02
1.58,0.94,2.1901,-5.3264,1.819e-02
1.60,0.94,2.1901,-5.3264,2.180e-02
1.62,0.94,2.1901,-5.3264,2.630e-02
1.64,0.94,2.1901,-5.3264,3.196e-02
1.66,0.94,2.1901,-5.3264,3.911e-02
1.68,0.94,2.1901,-5.3264,4.821e-02
1.70,0.94,2.1901,-5.3264,5.987e-02
1.72,0.94,2.1901,-5.3264,7.492e-02
1.74,0.94,2.1901,-5.3264,9.449e-02
1.76,0.94,2.1901,-5.3264,1.201e-01
1.78,0.94,2.1901,-5.3264,1.540e-01
1.80,0.94,2.1901,-5.3264,1.990e-01
1.82,0.94,2.1901,-5.3264,2.594e-01
1.84,0.94,2.1901,-5.3264,3.411e-01
1.86,0.94,2.1901,-5.3264,4.527e-01
1.88,0.94,2.1901,-5.3264,6.063e-01
1.90,0.94,2.1901,-5.3264,8.198e-01
1.92,0.94,2.1901,-5.3264,1.119e+00
1.94,0.94,2.1901,-5.3264,1.544e+00
1.96,0.94,2.1901,-5.3264,2.152e+00
1.98,0.94,2.1901,-5.3264,3.035e+00
2.00,0.94,2.1901,-5.3264,4.330e+00
2.02,0.94,2.1901,-5.3264,6.266e+00
2.04,0.94,2.1901,-5.3264,9.248e+00
0.96,0.96,-3.4603,0.5984,1.024e-03
0.98,0.96,-4.8343,0.0663,1.043e-03
1.00,0.96,-7.3177,0.0319,1.068e-03
1.02,0.96,-7.3177,0.0319,1.097e-03
1.04,0.96,-7.3177,0.0319,1.133e-03
1.06,0.96,-7.3177,0.0319,1.175e-03
1.08,0.96,-7.3177,0.0319,1.223e-03
1.10,0.96,-7.3177,0.0319,1.279e-03
1.12,0.96,-7.3177,0.0319,1.343e-03
1.14,0.96,-7.3177,0.0319,1.416e-03
1.16,0.96,-7.3177,0.0319,1.500e-03
1.18,0.96,-7.3177,0.0319,1.595e-03
1.20,0.96,-7.3177,0.0319,1.704e-03
1.22,0.96,-7.3177,0.0319,1.829e-03
1.24,0.96,-7.3177,0.0319,1.971e-03
1.26,0.96,-7.3177,0.0319,2.133e-03
1.28,0.96,-7.3177,0.0319,2.320e-03
1.30,0.96,-6.4880,0.0302,2.535e-03
1.32,0.96,-4.7252,0.1286,2.782e-03
