M1,M2,SrDy,ThDy,total_mass
0.90,0.90,nan,nan,0.000e+00
0.92,0.90,nan,nan,0.000e+00
0.94,0.90,nan,nan,0.000e+00
0.96,0.90,nan,nan,0.000e+00
0.98,0.90,nan,nan,0.000e+00
1.00,0.90,nan,nan,0.000e+00
1.02,0.90,nan,nan,0.000e+00
1.04,0.90,nan,nan,0.000e+00
1.06,0.90,nan,nan,0.000e+00
1.08,0.90,nan,nan,0.000e+00
1.10,0.90,nan,nan,0.000e+00
1.12,0.90,nan,nan,0.000e+00
1.14,0.90,nan,nan,0.000e+00
1.16,0.90,nan,nan,0.000e+00
1.18,0.90,nan,nan,0.000e+00
1.20,0.90,nan,nan,0.000e+00
1.22,0.90,nan,nan,0.000e+00
1.24,0.90,-7.3177,0.0319,1.459e-03
1.26,0.90,-7.3177,0.0319,3.002e-03
1.28,0.90,-7.3177,0.0319,4.566e-03
1.30,0.90,-7.3177,0.0319,6.152e-03
1.32,0.90,-4.8567,0.0545,7.758e-03
1.34,0.90,-3.6107,0.5150,9.382e-03
1.36,0.90,-2.3635,-1.0721,1.102e-02
1.38,0.90,1.9170,-5.0223,1.268e-02
1.40,0.90,2.1901,-5.3264,1.435e-02
1.42,0.90,2.1901,-5.3264,1.603e-02
1.44,0.90,2.1901,-5.3264,1.773e-02
1.46,0.90,2.1901,-5.3264,1.944e-02
1.48,0.90,2.1901,-5.3264,2.115e-02
1.50,0.90,2.1901,-5.3264,2.287e-02
1.52,0.90,2.1901,-5.3264,2.460e-02
1.54,0.90,2.1901,-5.3264,2.633e-02
1.56,0.90,2.1901,-5.3264,2.807e-02
1.58,0.90,2.1901,-5.3264,2.980e-02
1.60,0.90,2.1901,-5.3264,3.154e-02
1.62,0.90,2.1901,-5.3264,3.327e-02
1.64,0.90,2.1901,-5.3264,3.500e-02
1.66,0.90,2.1901,-5.3264,3.672e-02
1.68,0.90,2.1901,-5.3264,3.843e-02
1.70,0.90,2.1901,-5.3264,4.013e-02
1.72,0.90,2.1901,-5.3264,4.181e-02
1.74,0.90,2.1901,-5.3264,4.348e-02
1.76,0.90,2.1901,-5.3264,4.513e-02
1.78,0.90,2.1901,-5.3264,4.675e-02
1.80,0.90,2.1901,-5.3264,4.834e-02
1.82,0.90,2.1901,-5.3264,4.990e-02
1.84,0.90,2.1901,-5.3264,5.141e-02
1.86,0.90,2.1901,-5.3264,5.288e-02
1.88,0.90,2.1901,-5.3264,5.429e-02
1.90,0.90,2.1901,-5.3264,5.562e-02
1.92,0.90,2.1901,-5.3264,5.687e-02
1.94,0.90,2.1901,-5.3264,5.801e-02
1.96,0.90,2.1901,-5.3264,5.902e-02
1.98,0.90,2.1901,-5.3264,5.983e-02
2.00,0.90,2.1901,-5.3264,6.036e-02
2.02,0.90,2.1901,-5.3264,6.043e-02
2.04,0.90,2.1901,-5.3264,5.942e-02
0.92,0.92,nan,nan,0.000e+00
0.94,0.92,nan,nan,0.000e+00
0.96,0.92,nan,nan,0.000e+00
0.98,0.92,nan,nan,0.000e+00
1.00,0.92,nan,nan,0.000e+00
1.02,0.92,nan,nan,0.000e+00
1.04,0.92,nan,nan,0.000e+00
1.06,0.92,nan,nan,0.000e+00
1.08,0.92,nan,nan,0.000e+00
1.10,0.92,nan,nan,0.000e+00
1.12,0.92,nan,nan,0.000e+00
1.14,0.92,nan,nan,0.000e+00
1.16,0.92,nan,nan,0.000e+00
1.18,0.92,nan,nan,0.000e+00
1.20,0.92,nan,nan,0.000e+00
1.22,0.92,nan,nan,0.000e+00
1.24,0.92,-7.3177,0.0319,1.005e-03
1.26,0.92,-7.3177,0.0319,2.471e-03
1.28,0.92,-7.3177,0.0319,3.959e-03
1.30,0.92,-7.3177,0.0319,5.469e-03
1.32,0.92,-4.8045,0.0820,6.999e-03
1.34,0.92,-3.8003,0.3703,8.547e-03
1.36,0.92,-2.6943,-0.6297,1.011e-02
1.38,0.92,0.5521,-4.0171,1.169e-02
1.40,0.92,2.1901,-5.3264,1.329e-02
1.42,0.92,2.1901,-5.3264,1.490e-02
1.44,0.92,2.1901,-5.3264,1.652e-02
1.46,0.92,2.1901,-5.3264,1.815e-02
1.48,0.92,2.1901,-5.3264,1.979e-02
1.50,0.92,2.1901,-5.3264,2.143e-02
1.52,0.92,2.1901,-5.3264,2.309e-02
1.54,0.92,2.1901,-5.3264,2.474e-02
1.56,0.92,2.1901,-5.3264,2.640e-02
1.58,0.92,2.1901,-5.3264,2.806e-02
1.60,0.92,2.1901,-5.3264,2.972e-02
1.62,0.92,2.1901,-5.3264,3.138e-02
1.64,0.92,2.1901,-5.3264,3.303e-02
1.66,0.92,2.1901,-5.3264,3.468e-02
1.68,0.92,2.1901,-5.3264,3.631e-02
1.70,0.92,2.1901,-5.3264,3.794e-02
1.72,0.92,2.1901,-5.3264,3.954e-02
1.74,0.92,2.1901,-5.3264,4.114e-02
1.76,0.92,2.1901,-5.3264,4.271e-02
1.78,0.92,2.1901,-5.3264,4.425e-02
1.80,0.92,2.1901,-5.3264,4.577e-02
1.82,0.92,2.1901,-5.3264,4.725e-02
1.84,0.92,2.1901,-5.3264,4.869e-02
1.86,0.92,2.1901,-5.3264,5.007e-02
1.88,0.92,2.1901,-5.3264,5.141e-02
1.90,0.92,2.1901,-5.3264,5.267e-02
1.92,0.92,2.1901,-5.3264,5.384e-02
1.94,0.92,2.1901,-5.3264,5.490e-02
1.96,0.92,2.1901,-5.3264,5.583e-02
1.98,0.92,2.1901,-5.3264,5.656e-02
2.00,0.92,2.1901,-5.3264,5.702e-02
2.02,0.92,2.1901,-5.3264,5.701e-02
2.04,0.92,2.1901,-5.3264,5.592e-02
0.94,0.94,nan,nan,0.000e+00
0.96,0.94,nan,nan,0.000e+00
0.98,0.94,nan,nan,0.000e+00
1.00,0.94,nan,nan,0.000e+00
1.02,0.94,nan,nan,0.000e+00
1.04,0.94,nan,nan,0.000e+00
1.06,0.94,nan,nan,0.000e+00
1.08,0.94,nan,nan,0.000e+00
1.10,0.94,nan,nan,0.000e+00
1.12,0.94,nan,nan,0.000e+00
1.14,0.94,nan,nan,0.000e+00
1.16,0.94,nan,nan,0.000e+00
1.18,0.94,nan,nan,0.000e+00
1.20,0.94,nan,nan,0.000e+00
1.22,0.94,nan,nan,0.000e+00
1.24,0.94,-7.3177,0.0319,6.243e-04
1.26,0.94,-7.3177,0.0319,2.015e-03
1.28,0.94,-7.3177,0.0319,3.429e-03
1.30,0.94,-7.2818,0.0314,4.864e-03
1.32,0.94,-4.7624,0.1062,6.319e-03
1.34,0.94,-3.9940,0.2059,7.793e-03
1.36,0.94,-2.8665,-0.2408,9.284e-03
1.38,0.94,-0.3163,-2.7275,1.079e-02
1.40,0.94,2.1901,-5.3264,1.231e-02
1.42,0.94,2.1901,-5.3264,1.385e-02
1.44,0.94,2.1901,-5.3264,1.539e-02
1.46,0.94,2.1901,-5.3264,1.695e-02
1.48,0.94,2.1901,-5.3264,1.852e-02
1.50,0.94,2.1901,-5.3264,2.009e-02
1.52,0.94,2.1901,-5.3264,2.167e-02
1.54,0.94,2.1901,-5.3264,2.325e-02
1.56,0.94,2.1901,-5.3264,2.484e-02
1.58,0.94,2.1901,-5.3264,2.642e-02
1.60,0.94,2.1901,-5.3264,2.801e-02
1.62,0.94,2.1901,-5.3264,2.959e-02
1.64,0.94,2.1901,-5.3264,3.117e-02
1.66,0.94,2.1901,-5.3264,3.274e-02
1.68,0.94,2.1901,-5.3264,3.430e-02
1.70,0.94,2.1901,-5.3264,3.585e-02
1.72,0.94,2.1901,-5.3264,3.739e-02
1.74,0.94,2.1901,-5.3264,3.890e-02
1.76,0.94,2.1901,-5.3264,4.040e-02
1.78,0.94,2.1901,-5.3264,4.187e-02
1.80,0.94,2.1901,-5.3264,4.331e-02
1.82,0.94,2.1901,-5.3264,4.472e-02
1.84,0.94,2.1901,-5.3264,4.608e-02
1.86,0.94,2.1901,-5.3264,4.740e-02
1.88,0.94,2.1901,-5.3264,4.865e-02
1.90,0.94,2.1901,-5.3264,4.984e-02
1.92,0.94,2.1901,-5.3264,5.093e-02
1.94,0.94,2.1901,-5.3264,5.192e-02
1.96,0.94,2.1901,-5.3264,5.277e-02
1.98,0.94,2.1901,-5.3264,5.343e-02
2.00,0.94,2.1901,-5.3264,5.381e-02
2.02,0.94,2.1901,-5.3264,5.373e-02
2.04,0.94,2.1901,-5.3264,5.256e-02
0.96,0.96,nan,nan,0.000e+00
0.98,0.96,nan,nan,0.000e+00
1.00,0.96,nan,nan,0.000e+00
1.02,0.96,nan,nan,0.000e+00
1.04,0.96,nan,nan,0.000e+00
1.06,0.96,nan,nan,0.000e+00
1.08,0.96,nan,nan,0.000e+00
1.10,0.96,nan,nan,0.000e+00
1.12,0.96,nan,nan,0.000e+00
1.14,0.96,nan,nan,0.000e+00
1.16,0.96,nan,nan,0.000e+00
1.18,0.96,nan,nan,0.000e+00
1.20,0.96,nan,nan,0.000e+00
1.22,0.96,nan,nan,0.000e+00
1.24,0.96,-7.3177,0.0319,3.129e-04
1.26,0.96,-7.3177,0.0319,1.630e-03
1.28,0.96,-7.3177,0.0319,2.970e-03
1.30,0.96,-6.4880,0.0302,4.332e-03
1.32,0.96,-4.7252,0.1286,5.714e-03
1.34,0.96,-4.1528,0.0742,7.115e-03
1.36,0.96,-2.9750,0.0638,8.533e-03
1.38,0.96,-1.0551,-1.7879,9.968e-03
1.40,0.96,2.1901,-5.3264,1.142e-02
1.42,0.96,2.1901,-5.3264,1.288e-02
1.44,0.96,2.1901,-5.3264,1.435e-02
1.46,0.96,2.1901,-5.3264,1.584e-02
1.48,0.96,2.1901,-5.3264,1.733e-02
1.50,0.96,2.1901,-5.3264,1.883e-02
1.52,0.96,2.1901,-5.3264,2.034e-02
1.54,0.96,2.1901,-5.3264,2.185e-02
1.56,0.96,2.1901,-5.3264,2.336e-02
1.58,0.96,2.1901,-5.3264,2.488e-02
1.60,0.96,2.1901,-5.3264,2.639e-02
1.62,0.96,2.1901,-5.3264,2.790e-02
1.64,0.96,2.1520,-1.2962,3.714e-02
1.66,0.96,2.1250,-1.0766,4.898e-02
1.68,0.96,2.1699,-1.0126,4.972e-02
1.70,0.96,2.1941,-1.0111,4.865e-02
1.72,0.96,2.2001,-1.0508,4.738e-02
1.74,0.96,2.1947,-1.1190,4.638e-02
1.76,0.96,2.1832,-1.2078,4.572e-02
1.78,0.96,2.1697,-1.3127,4.539e-02
