M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9129,-0.8378,2.119e-01
0.92,0.90,1.9504,-0.5340,2.119e-01
0.94,0.90,1.9640,-0.5016,2.120e-01
0.96,0.90,1.9622,-0.4972,2.120e-01
0.98,0.90,1.9600,-0.4920,2.120e-01
1.00,0.90,1.9574,-0.4860,2.121e-01
1.02,0.90,1.9544,-0.4792,2.121e-01
1.04,0.90,1.9510,-0.4716,2.122e-01
1.06,0.90,1.9470,-0.4631,2.122e-01
1.08,0.90,1.9426,-0.4538,2.123e-01
1.10,0.90,1.9375,-0.4435,2.124e-01
1.12,0.90,1.9318,-0.4323,2.125e-01
1.14,0.90,1.9253,-0.4202,2.126e-01
1.16,0.90,1.9180,-0.4071,2.127e-01
1.18,0.90,1.9097,-0.3930,2.128e-01
1.20,0.90,1.9004,-0.3780,2.130e-01
1.22,0.90,1.8899,-0.3620,2.132e-01
1.24,0.90,1.8780,-0.3451,2.134e-01
1.26,0.90,1.8647,-0.3272,2.136e-01
1.28,0.90,1.8496,-0.3086,2.139e-01
1.30,0.90,1.8326,-0.2892,2.143e-01
1.32,0.90,1.8073,-0.2449,2.146e-01
1.34,0.90,1.9071,-0.0148,2.151e-01
1.36,0.90,1.5844,-0.9243,2.156e-01
1.38,0.90,2.0314,-0.7533,2.163e-01
1.40,0.90,2.0379,-0.7497,2.170e-01
1.42,0.90,2.0384,-0.7510,2.179e-01
1.44,0.90,2.0391,-0.7525,2.190e-01
1.46,0.90,2.0399,-0.7544,2.203e-01
1.48,0.90,2.0408,-0.7568,2.219e-01
1.50,0.90,2.0420,-0.7596,2.238e-01
1.52,0.90,2.0434,-0.7631,2.261e-01
1.54,0.90,2.0451,-0.7674,2.290e-01
1.56,0.90,2.0472,-0.7727,2.326e-01
1.58,0.90,2.0498,-0.7794,2.371e-01
1.60,0.90,2.0529,-0.7879,2.429e-01
1.62,0.90,2.0568,-0.7984,2.503e-01
1.64,0.90,2.0615,-0.8118,2.598e-01
1.66,0.90,2.0672,-0.8287,2.724e-01
1.68,0.90,2.0740,-0.8501,2.889e-01
1.70,0.90,2.0819,-0.8770,3.109e-01
1.72,0.90,2.0910,-0.9108,3.404e-01
1.74,0.90,2.1012,-0.9530,3.802e-01
1.76,0.90,2.1122,-1.0049,4.346e-01
1.78,0.90,2.1531,-1.1055,4.582e-01
1.80,0.90,2.1853,-1.2541,5.191e-01
1.82,0.90,2.1929,-1.4489,6.395e-01
1.84,0.90,2.1925,-1.6644,8.293e-01
1.86,0.90,2.1906,-1.8884,1.111e+00
