M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-0.1597,-1.4688,6.799e-01
0.92,0.90,0.0581,-0.0932,6.277e-01
0.94,0.90,0.2002,0.0266,5.824e-01
0.96,0.90,0.2481,0.0259,5.430e-01
0.98,0.90,0.2947,0.0253,5.087e-01
1.00,0.90,0.3398,0.0245,4.788e-01
1.02,0.90,0.3835,0.0237,4.526e-01
1.04,0.90,0.4257,0.0229,4.297e-01
1.06,0.90,0.4664,0.0220,4.097e-01
1.08,0.90,0.5056,0.0211,3.920e-01
1.10,0.90,0.5434,0.0201,3.765e-01
1.12,0.90,0.5796,0.0190,3.628e-01
1.14,0.90,0.6143,0.0179,3.507e-01
1.16,0.90,0.6476,0.0168,3.400e-01
1.18,0.90,0.6794,0.0156,3.305e-01
1.20,0.90,0.7098,0.0144,3.221e-01
1.22,0.90,0.7387,0.0132,3.146e-01
1.24,0.90,0.7663,0.0120,3.078e-01
1.26,0.90,0.7926,0.0107,3.018e-01
1.28,0.90,0.8176,0.0094,2.964e-01
1.30,0.90,0.8413,0.0081,2.916e-01
1.32,0.90,0.8498,0.0300,2.872e-01
1.34,0.90,1.1916,0.4517,2.833e-01
1.36,0.90,0.5922,-1.0545,2.797e-01
1.38,0.90,2.0069,-0.8708,2.764e-01
1.40,0.90,2.0647,-0.8211,2.735e-01
1.42,0.90,2.0636,-0.8180,2.707e-01
1.44,0.90,2.0626,-0.8151,2.682e-01
1.46,0.90,2.0617,-0.8125,2.659e-01
1.48,0.90,2.0609,-0.8100,2.637e-01
1.50,0.90,2.0601,-0.8078,2.616e-01
1.52,0.90,2.0594,-0.8058,2.596e-01
1.54,0.90,2.0588,-0.8039,2.577e-01
1.56,0.90,2.0582,-0.8022,2.558e-01
1.58,0.90,2.0576,-0.8006,2.539e-01
1.60,0.90,2.0571,-0.7992,2.519e-01
1.62,0.90,2.0566,-0.7980,2.499e-01
1.64,0.90,2.0562,-0.7968,2.477e-01
1.66,0.90,2.0559,-0.7958,2.455e-01
1.68,0.90,2.0555,-0.7949,2.431e-01
1.70,0.90,2.0553,-0.7942,2.405e-01
1.72,0.90,2.0550,-0.7935,2.376e-01
1.74,0.90,2.0549,-0.7930,2.346e-01
1.76,0.90,2.0547,-0.7927,2.312e-01
1.78,0.90,2.1020,-0.7535,1.765e-01
1.80,0.90,2.1721,-0.6910,1.300e-01
1.82,0.90,2.2065,-0.6722,1.015e-01
1.84,0.90,2.2124,-0.6887,8.312e-02
1.86,0.90,2.1970,-0.7316,7.059e-02
1.88,0.90,2.1669,-0.7933,6.172e-02
1.90,0.90,2.1270,-0.8676,5.524e-02
1.92,0.90,2.0810,-0.9499,5.037e-02
1.94,0.90,2.0317,-1.0364,4.663e-02
1.96,0.90,1.9814,-1.1238,4.369e-02
1.98,0.90,1.9320,-1.2095,4.134e-02
2.00,0.90,1.8852,-1.2913,3.941e-02
2.02,0.90,1.8421,-1.3677,3.781e-02
2.04,0.90,1.8036,-1.4376,3.642e-02
0.92,0.92,0.0364,-0.2261,5.685e-01
0.94,0.92,0.2921,0.1502,5.292e-01
0.96,0.92,0.3147,0.0249,4.951e-01
0.98,0.92,0.3616,0.0241,4.654e-01
