M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.7883,-0.9308,2.132e-01
0.92,0.90,1.8622,-0.4109,2.132e-01
0.94,0.90,1.8927,-0.3663,2.131e-01
0.96,0.90,1.8947,-0.3692,2.131e-01
0.98,0.90,1.8965,-0.3720,2.131e-01
1.00,0.90,1.8983,-0.3748,2.130e-01
1.02,0.90,1.9001,-0.3775,2.130e-01
1.04,0.90,1.9018,-0.3802,2.130e-01
1.06,0.90,1.9034,-0.3828,2.129e-01
1.08,0.90,1.9050,-0.3854,2.129e-01
1.10,0.90,1.9065,-0.3878,2.129e-01
1.12,0.90,1.9080,-0.3902,2.129e-01
1.14,0.90,1.9094,-0.3926,2.128e-01
1.16,0.90,1.9108,-0.3948,2.128e-01
1.18,0.90,1.9121,-0.3970,2.128e-01
1.20,0.90,1.9133,-0.3991,2.128e-01
1.22,0.90,1.9145,-0.4011,2.128e-01
1.24,0.90,1.9156,-0.4030,2.127e-01
1.26,0.90,1.9166,-0.4048,2.127e-01
1.28,0.90,1.9176,-0.4065,2.127e-01
1.30,0.90,1.9185,-0.4081,2.127e-01
1.32,0.90,1.9158,-0.3885,2.127e-01
1.34,0.90,1.9786,-0.2569,2.126e-01
1.36,0.90,1.8195,-0.8425,2.126e-01
1.38,0.90,2.0334,-0.7449,2.126e-01
1.40,0.90,2.0352,-0.7435,2.125e-01
1.42,0.90,2.0352,-0.7434,2.125e-01
1.44,0.90,2.0352,-0.7434,2.124e-01
1.46,0.90,2.0352,-0.7434,2.123e-01
1.48,0.90,2.0352,-0.7434,2.122e-01
1.50,0.90,2.0352,-0.7434,2.120e-01
1.52,0.90,2.0352,-0.7434,2.117e-01
1.54,0.90,2.0352,-0.7434,2.114e-01
1.56,0.90,2.0352,-0.7434,2.110e-01
1.58,0.90,2.0352,-0.7434,2.104e-01
1.60,0.90,2.0352,-0.7434,2.098e-01
1.62,0.90,2.0352,-0.7434,2.089e-01
1.64,0.90,2.0352,-0.7435,2.079e-01
1.66,0.90,2.0352,-0.7435,2.067e-01
1.68,0.90,2.0353,-0.7435,2.053e-01
1.70,0.90,2.0353,-0.7436,2.036e-01
1.72,0.90,2.0353,-0.7436,2.016e-01
1.74,0.90,2.0353,-0.7436,1.994e-01
1.76,0.90,2.0353,-0.7437,1.968e-01
1.78,0.90,2.0845,-0.6833,1.428e-01
1.80,0.90,2.1666,-0.5802,9.697e-02
1.82,0.90,2.2134,-0.5176,6.920e-02
1.84,0.90,2.2244,-0.4950,5.138e-02
1.86,0.90,2.2015,-0.5099,3.943e-02
1.88,0.90,2.1493,-0.5571,3.111e-02
1.90,0.90,2.0743,-0.6297,2.516e-02
1.92,0.90,1.9841,-0.7196,2.079e-02
1.94,0.90,1.8858,-0.8194,1.752e-02
1.96,0.90,1.7850,-0.9226,1.503e-02
1.98,0.90,1.6861,-1.0241,1.312e-02
2.00,0.90,1.5917,-1.1203,1.163e-02
2.02,0.90,1.5035,-1.2091,1.046e-02
2.04,0.90,1.4234,-1.2894,9.554e-03
0.92,0.92,1.8338,-0.4742,2.131e-01
0.94,0.92,1.9019,-0.2916,2.131e-01
0.96,0.92,1.8968,-0.3725,2.131e-01
0.98,0.92,1.8987,-0.3754,2.130e-01
1.00,0.92,1.9006,-0.3783,2.130e-01
1.02,0.92,1.9024,-0.3811,2.130e-01
1.04,0.92,1.9041,-0.3839,2.129e-01
1.06,0.92,1.9058,-0.3866,2.129e-01
1.08,0.92,1.9074,-0.3893,2.129e-01
1.10,0.92,1.9090,-0.3919,2.128e-01
1.12,0.92,1.9105,-0.3944,2.128e-01
1.14,0.92,1.9120,-0.3968,2.128e-01
1.16,0.92,1.9134,-0.3992,2.128e-01
1.18,0.92,1.9147,-0.4015,2.128e-01
1.20,0.92,1.9160,-0.4036,2.127e-01
1.22,0.92,1.9172,-0.4057,2.127e-01
1.24,0.92,1.9183,-0.4078,2.127e-01
1.26,0.92,1.9194,-0.4097,2.127e-01
1.28,0.92,1.9205,-0.4115,2.126e-01
1.30,0.92,1.9214,-0.4132,2.126e-01
1.32,0.92,1.9229,-0.3834,2.126e-01
1.34,0.92,1.9720,-0.3276,2.126e-01
1.36,0.92,1.8477,-0.6989,2.125e-01
1.38,0.92,2.0035,-0.7730,2.125e-01
1.40,0.92,2.0352,-0.7434,2.124e-01
1.42,0.92,2.0352,-0.7434,2.123e-01
1.44,0.92,2.0352,-0.7434,2.122e-01
1.46,0.92,2.0352,-0.7434,2.120e-01
1.48,0.92,2.0352,-0.7433,2.118e-01
1.50,0.92,2.0352,-0.7433,2.115e-01
1.52,0.92,2.0352,-0.7433,2.111e-01
1.54,0.92,2.0352,-0.7433,2.106e-01
1.56,0.92,2.0352,-0.7433,2.100e-01
1.58,0.92,2.0352,-0.7434,2.092e-01
1.60,0.92,2.0352,-0.7434,2.082e-01
1.62,0.92,2.0352,-0.7434,2.070e-01
1.64,0.92,2.0352,-0.7434,2.056e-01
1.66,0.92,2.0352,-0.7434,2.040e-01
1.68,0.92,2.0352,-0.7435,2.020e-01
1.70,0.92,2.0353,-0.7435,1.998e-01
1.72,0.92,2.0353,-0.7436,1.972e-01
1.74,0.92,2.0778,-0.6915,1.469e-01
1.76,0.92,2.1637,-0.5836,9.859e-02
1.78,0.92,2.2128,-0.5180,6.970e-02
1.80,0.92,2.2245,-0.4942,5.137e-02
1.82,0.92,2.2007,-0.5096,3.918e-02
1.84,0.92,2.1463,-0.5586,3.075e-02
1.86,0.92,2.0683,-0.6339,2.475e-02
1.88,0.92,1.9747,-0.7268,2.037e-02
1.90,0.92,1.8731,-0.8294,1.711e-02
1.92,0.92,1.7693,-0.9349,1.464e-02
1.94,0.92,1.6678,-1.0381,1.273e-02
1.96,0.92,1.5709,-1.1352,1.125e-02
1.98,0.92,1.4802,-1.2243,1.009e-02
2.00,0.92,1.3969,-1.3041,9.164e-03
