M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,6.542e-02
0.92,0.90,2.0342,-0.7412,6.630e-02
0.94,0.90,2.0342,-0.7412,6.763e-02
0.96,0.90,2.0342,-0.7412,6.944e-02
0.98,0.90,2.0342,-0.7412,7.170e-02
1.00,0.90,2.0342,-0.7412,7.441e-02
1.02,0.90,2.0342,-0.7412,7.754e-02
1.04,0.90,2.0342,-0.7412,8.105e-02
1.06,0.90,2.0342,-0.7412,8.489e-02
1.08,0.90,2.0342,-0.7412,8.903e-02
1.10,0.90,2.0342,-0.7412,9.340e-02
1.12,0.90,2.0342,-0.7412,9.796e-02
1.14,0.90,2.0342,-0.7412,1.027e-01
1.16,0.90,2.0342,-0.7412,1.074e-01
1.18,0.90,1.9440,-0.4567,1.129e-01
1.20,0.90,1.8129,-0.2686,1.191e-01
1.22,0.90,1.7176,-0.1907,1.252e-01
1.24,0.90,1.6433,-0.1472,1.313e-01
1.26,0.90,1.5828,-0.1193,1.373e-01
1.28,0.90,1.5320,-0.0998,1.433e-01
1.30,0.90,1.4881,-0.0852,1.491e-01
1.32,0.90,1.4496,-0.0740,1.547e-01
1.34,0.90,1.4152,-0.0649,1.602e-01
1.36,0.90,1.3841,-0.0575,1.656e-01
1.38,0.90,1.3557,-0.0513,1.708e-01
1.40,0.90,1.3295,-0.0459,1.759e-01
1.42,0.90,1.3051,-0.0413,1.808e-01
1.44,0.90,1.2823,-0.0373,1.855e-01
1.46,0.90,1.2608,-0.0337,1.901e-01
1.48,0.90,1.2405,-0.0304,1.946e-01
1.50,0.90,1.2212,-0.0275,1.989e-01
1.52,0.90,1.2029,-0.0249,2.031e-01
1.54,0.90,1.1853,-0.0225,2.071e-01
1.56,0.90,1.1684,-0.0203,2.111e-01
1.58,0.90,1.1522,-0.0183,2.148e-01
1.60,0.90,1.1366,-0.0164,2.185e-01
1.62,0.90,1.1216,-0.0147,2.221e-01
1.64,0.90,1.1070,-0.0131,2.255e-01
1.66,0.90,1.0929,-0.0115,2.288e-01
1.68,0.90,1.0791,-0.0101,2.320e-01
1.70,0.90,1.0657,-0.0088,2.350e-01
1.72,0.90,1.0526,-0.0075,2.379e-01
1.74,0.90,1.0398,-0.0063,2.407e-01
1.76,0.90,1.0271,-0.0052,2.432e-01
1.78,0.90,1.0145,-0.0041,2.455e-01
1.80,0.90,1.0018,-0.0030,2.476e-01
1.82,0.90,0.9890,-0.0019,2.493e-01
1.84,0.90,0.9758,-0.0009,2.506e-01
1.86,0.90,0.9621,0.0002,2.514e-01
1.88,0.90,0.9476,0.0013,2.515e-01
1.90,0.90,0.9320,0.0024,2.510e-01
1.92,0.90,0.9150,0.0035,2.495e-01
