M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9604,-0.4527,1.781e-01
0.92,0.90,1.9328,-0.4360,1.781e-01
0.94,0.90,1.9372,-0.4429,1.781e-01
0.96,0.90,1.9347,-0.4379,1.782e-01
0.98,0.90,1.9317,-0.4321,1.782e-01
1.00,0.90,1.9282,-0.4255,1.783e-01
1.02,0.90,1.9241,-0.4181,1.783e-01
1.04,0.90,1.9195,-0.4098,1.784e-01
1.06,0.90,1.9143,-0.4007,1.784e-01
1.08,0.90,1.9083,-0.3907,1.785e-01
1.10,0.90,1.9016,-0.3799,1.786e-01
1.12,0.90,1.8940,-0.3682,1.787e-01
1.14,0.90,1.8855,-0.3556,1.788e-01
1.16,0.90,1.8760,-0.3422,1.789e-01
1.18,0.90,1.8529,-0.3114,1.790e-01
1.20,0.90,1.8636,-0.2465,1.792e-01
1.22,0.90,1.8446,-0.3510,1.793e-01
1.24,0.90,1.8333,-0.0897,1.795e-01
1.26,0.90,1.6524,-1.0014,1.797e-01
1.28,0.90,2.0159,-0.7646,1.799e-01
1.30,0.90,2.0370,-0.7477,1.802e-01
1.32,0.90,2.0374,-0.7485,1.805e-01
1.34,0.90,2.0378,-0.7494,1.808e-01
1.36,0.90,2.0382,-0.7505,1.812e-01
1.38,0.90,2.0388,-0.7518,1.816e-01
1.40,0.90,2.0394,-0.7534,1.822e-01
1.42,0.90,2.0402,-0.7553,1.827e-01
1.44,0.90,2.0411,-0.7576,1.834e-01
1.46,0.90,2.0423,-0.7604,1.842e-01
1.48,0.90,2.0437,-0.7638,1.852e-01
1.50,0.90,2.0453,-0.7680,1.864e-01
1.52,0.90,2.0474,-0.7733,1.878e-01
1.54,0.90,2.0499,-0.7799,1.896e-01
1.56,0.90,2.0531,-0.7882,1.919e-01
1.58,0.90,2.0569,-0.7988,1.949e-01
1.60,0.90,2.0617,-0.8123,1.987e-01
1.62,0.90,2.0676,-0.8299,2.039e-01
1.64,0.90,2.0748,-0.8527,2.109e-01
1.66,0.90,2.0835,-0.8826,2.205e-01
1.68,0.90,2.0938,-0.9218,2.338e-01
1.70,0.90,2.1057,-0.9735,2.525e-01
1.72,0.90,2.1190,-1.0413,2.789e-01
1.74,0.90,2.1330,-1.1297,3.163e-01
1.76,0.90,2.1469,-1.2435,3.698e-01
1.78,0.90,2.1595,-1.3877,4.465e-01
1.80,0.90,2.1734,-1.6168,5.486e-01
1.82,0.90,2.1878,-1.9460,6.963e-01
1.84,0.90,2.1903,-2.3216,9.248e-01
1.86,0.90,2.1903,-2.7355,1.259e+00
1.88,0.90,2.1902,-3.1912,1.742e+00
1.90,0.90,2.1901,-3.6947,2.441e+00
1.92,0.90,2.1901,-4.2438,3.461e+00
1.94,0.90,2.1901,-4.7894,4.963e+00
1.96,0.90,2.1901,-4.9541,7.198e+00
1.98,0.90,2.1901,-5.0682,1.057e+01
2.00,0.90,2.1901,-5.1543,1.571e+01
2.02,0.90,2.1901,-5.2156,2.366e+01
2.04,0.90,2.1901,-5.2570,3.619e+01
2.06,0.90,2.1901,-5.2842,5.662e+01
0.92,0.92,1.9453,-0.4785,1.781e-01
0.94,0.92,1.9376,-0.4095,1.782e-01
0.96,0.92,1.9281,-0.4259,1.782e-01
0.98,0.92,1.9317,-0.4322,1.782e-01
1.00,0.92,1.9286,-0.4264,1.782e-01
1.02,0.92,1.9251,-0.4198,1.783e-01
1.04,0.92,1.9210,-0.4125,1.783e-01
1.06,0.92,1.9163,-0.4043,1.784e-01
1.08,0.92,1.9110,-0.3952,1.784e-01
1.10,0.92,1.9050,-0.3854,1.785e-01
1.12,0.92,1.8982,-0.3747,1.786e-01
1.14,0.92,1.8906,-0.3631,1.787e-01
1.16,0.92,1.8821,-0.3507,1.788e-01
1.18,0.92,1.8611,-0.3152,1.789e-01
1.20,0.92,1.8733,-0.2533,1.790e-01
1.22,0.92,1.8309,-0.3915,1.791e-01
1.24,0.92,1.8995,0.0073,1.792e-01
1.26,0.92,1.6749,-0.8192,1.794e-01
1.28,0.92,1.8536,-0.9224,1.795e-01
1.30,0.92,2.0368,-0.7471,1.797e-01
1.32,0.92,2.0371,-0.7478,1.799e-01
1.34,0.92,2.0374,-0.7486,1.800e-01
1.36,0.92,2.0378,-0.7495,1.802e-01
1.38,0.92,2.0383,-0.7506,1.805e-01
1.40,0.92,2.0388,-0.7519,1.807e-01
1.42,0.92,2.0395,-0.7535,1.809e-01
1.44,0.92,2.0402,-0.7554,1.812e-01
1.46,0.92,2.0412,-0.7576,1.815e-01
1.48,0.92,2.0423,-0.7604,1.818e-01
1.50,0.92,2.0437,-0.7639,1.821e-01
1.52,0.92,2.0454,-0.7681,1.825e-01
1.54,0.92,2.0475,-0.7734,1.829e-01
1.56,0.92,2.0500,-0.7801,1.835e-01
1.58,0.92,2.0532,-0.7886,1.843e-01
1.60,0.92,2.0572,-0.7996,1.854e-01
1.62,0.92,2.0622,-0.8138,1.870e-01
1.64,0.92,2.0685,-0.8326,1.894e-01
1.66,0.92,2.0762,-0.8575,1.931e-01
1.68,0.92,2.0858,-0.8909,1.988e-01
1.70,0.92,2.0973,-0.9361,2.074e-01
1.72,0.92,2.1106,-0.9972,2.207e-01
1.74,0.92,2.1255,-1.0797,2.406e-01
1.76,0.92,2.1457,-1.2246,2.618e-01
1.78,0.92,2.1826,-1.4543,2.906e-01
1.80,0.92,2.1906,-1.7597,3.541e-01
1.82,0.92,2.1910,-2.1123,4.535e-01
1.84,0.92,2.1904,-2.5053,5.974e-01
1.86,0.92,2.1901,-2.9419,8.010e-01
1.88,0.92,2.1900,-3.4294,1.088e+00
