M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8491,-0.2505,1.802e-01
0.92,0.90,1.7894,-0.2486,1.802e-01
0.94,0.90,1.7963,-0.2527,1.804e-01
0.96,0.90,1.7875,-0.2447,1.805e-01
0.98,0.90,1.7764,-0.2350,1.807e-01
1.00,0.90,1.7633,-0.2242,1.810e-01
1.02,0.90,1.7485,-0.2126,1.813e-01
1.04,0.90,1.7320,-0.2006,1.816e-01
1.06,0.90,1.7141,-0.1884,1.820e-01
1.08,0.90,1.6950,-0.1762,1.824e-01
1.10,0.90,1.6749,-0.1643,1.829e-01
1.12,0.90,1.6538,-0.1527,1.834e-01
1.14,0.90,1.6321,-0.1416,1.839e-01
1.16,0.90,1.6097,-0.1310,1.845e-01
1.18,0.90,1.5626,-0.1097,1.851e-01
1.20,0.90,1.5841,-0.0237,1.858e-01
1.22,0.90,1.5494,-0.1651,1.865e-01
1.24,0.90,1.5323,0.1305,1.872e-01
1.26,0.90,1.2486,-1.1902,1.880e-01
1.28,0.90,1.9744,-0.8186,1.888e-01
1.30,0.90,2.0433,-0.7630,1.896e-01
1.32,0.90,2.0440,-0.7646,1.905e-01
1.34,0.90,2.0447,-0.7664,1.913e-01
1.36,0.90,2.0454,-0.7682,1.922e-01
1.38,0.90,2.0462,-0.7701,1.930e-01
1.40,0.90,2.0470,-0.7721,1.938e-01
1.42,0.90,2.0478,-0.7742,1.945e-01
1.44,0.90,2.0487,-0.7765,1.952e-01
1.46,0.90,2.0496,-0.7789,1.958e-01
1.48,0.90,2.0505,-0.7814,1.962e-01
1.50,0.90,2.0516,-0.7842,1.964e-01
1.52,0.90,2.0527,-0.7871,1.964e-01
1.54,0.90,2.0538,-0.7903,1.961e-01
1.56,0.90,2.0551,-0.7937,1.954e-01
1.58,0.90,2.0565,-0.7976,1.941e-01
1.60,0.90,2.0581,-0.8019,1.923e-01
1.62,0.90,2.0598,-0.8069,1.897e-01
1.64,0.90,2.0618,-0.8126,1.862e-01
1.66,0.90,2.0641,-0.8194,1.817e-01
1.68,0.90,2.0668,-0.8276,1.761e-01
1.70,0.90,2.0701,-0.8377,1.691e-01
1.72,0.90,2.0741,-0.8505,1.609e-01
1.74,0.90,2.0791,-0.8671,1.513e-01
1.76,0.90,2.0853,-0.8893,1.406e-01
1.78,0.90,2.0932,-0.9195,1.291e-01
1.80,0.90,2.1128,-0.9814,1.092e-01
1.82,0.90,2.1722,-1.0687,8.702e-02
1.84,0.90,2.1917,-1.2497,7.686e-02
1.86,0.90,2.1936,-1.5028,7.295e-02
1.88,0.90,2.1914,-1.8157,7.245e-02
