M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,1.770e-01
0.92,0.90,2.0342,-0.7412,1.770e-01
0.94,0.90,2.0342,-0.7412,1.770e-01
0.96,0.90,2.0342,-0.7412,1.770e-01
0.98,0.90,2.0342,-0.7412,1.770e-01
1.00,0.90,2.0342,-0.7412,1.770e-01
1.02,0.90,2.0342,-0.7412,1.770e-01
1.04,0.90,2.0342,-0.7412,1.770e-01
1.06,0.90,2.0342,-0.7412,1.769e-01
1.08,0.90,2.0342,-0.7412,1.769e-01
1.10,0.90,2.0342,-0.7412,1.769e-01
1.12,0.90,2.0342,-0.7412,1.769e-01
1.14,0.90,2.0342,-0.7412,1.769e-01
1.16,0.90,2.0211,-0.6816,1.770e-01
1.18,0.90,1.9067,-0.3871,1.783e-01
1.20,0.90,1.8412,-0.2167,1.795e-01
1.22,0.90,1.7631,-0.2771,1.808e-01
1.24,0.90,1.7055,0.0363,1.822e-01
1.26,0.90,1.4236,-1.1197,1.835e-01
1.28,0.90,1.9925,-0.7948,1.848e-01
1.30,0.90,2.0410,-0.7573,1.861e-01
1.32,0.90,2.0420,-0.7597,1.873e-01
1.34,0.90,2.0430,-0.7620,1.886e-01
1.36,0.90,2.0439,-0.7645,1.898e-01
1.38,0.90,2.0449,-0.7669,1.910e-01
1.40,0.90,2.0459,-0.7694,1.920e-01
1.42,0.90,2.0469,-0.7719,1.930e-01
1.44,0.90,2.0479,-0.7744,1.939e-01
1.46,0.90,2.0489,-0.7770,1.946e-01
1.48,0.90,2.0499,-0.7797,1.951e-01
1.50,0.90,2.0509,-0.7824,1.954e-01
1.52,0.90,2.0520,-0.7853,1.953e-01
1.54,0.90,2.0531,-0.7883,1.949e-01
1.56,0.90,2.0543,-0.7915,1.940e-01
1.58,0.90,2.0556,-0.7950,1.925e-01
1.60,0.90,2.0569,-0.7987,1.903e-01
1.62,0.90,2.0584,-0.8030,1.874e-01
1.64,0.90,2.0601,-0.8078,1.834e-01
1.66,0.90,2.0621,-0.8135,1.784e-01
1.68,0.90,2.0644,-0.8203,1.721e-01
1.70,0.90,2.0672,-0.8286,1.645e-01
1.72,0.90,2.0706,-0.8392,1.554e-01
1.74,0.90,2.0748,-0.8529,1.449e-01
1.76,0.90,2.0803,-0.8712,1.332e-01
1.78,0.90,2.0872,-0.8963,1.205e-01
1.80,0.90,2.1060,-0.9482,9.947e-02
1.82,0.90,2.1697,-1.0136,7.592e-02
1.84,0.90,2.1920,-1.1739,6.429e-02
1.86,0.90,2.1944,-1.4097,5.876e-02
1.88,0.90,2.1918,-1.7085,5.652e-02
1.90,0.90,2.1898,-2.0682,5.602e-02
1.92,0.90,2.1893,-2.4947,5.643e-02
1.94,0.90,2.1895,-2.9991,5.722e-02
1.96,0.90,2.1892,-3.1000,5.819e-02
1.98,0.90,2.1889,-3.1624,5.904e-02
2.00,0.90,2.1886,-3.2178,5.970e-02
2.02,0.90,2.1882,-3.2659,6.009e-02
2.04,0.90,2.1878,-3.3056,5.999e-02
2.06,0.90,2.1873,-3.3308,5.854e-02
0.92,0.92,2.0342,-0.7412,1.770e-01
0.94,0.92,2.0342,-0.7412,1.770e-01
0.96,0.92,2.0342,-0.7412,1.770e-01
0.98,0.92,2.0342,-0.7412,1.770e-01
1.00,0.92,2.0342,-0.7412,1.770e-01
1.02,0.92,2.0342,-0.7412,1.770e-01
1.04,0.92,2.0342,-0.7412,1.769e-01
1.06,0.92,2.0342,-0.7412,1.769e-01
1.08,0.92,2.0342,-0.7412,1.769e-01
1.10,0.92,2.0342,-0.7412,1.769e-01
1.12,0.92,2.0342,-0.7412,1.769e-01
1.14,0.92,2.0342,-0.7412,1.768e-01
1.16,0.92,2.0342,-0.7412,1.768e-01
1.18,0.92,1.9299,-0.4226,1.779e-01
1.20,0.92,1.8639,-0.2397,1.791e-01
1.22,0.92,1.7553,-0.3315,1.803e-01
1.24,0.92,1.8087,0.1615,1.815e-01
1.26,0.92,1.4566,-0.8463,1.827e-01
1.28,0.92,1.6878,-1.0890,1.840e-01
1.30,0.92,2.0405,-0.7561,1.851e-01
1.32,0.92,2.0415,-0.7583,1.863e-01
1.34,0.92,2.0424,-0.7606,1.874e-01
1.36,0.92,2.0433,-0.7629,1.885e-01
1.38,0.92,2.0443,-0.7653,1.895e-01
1.40,0.92,2.0452,-0.7676,1.904e-01
1.42,0.92,2.0462,-0.7701,1.911e-01
1.44,0.92,2.0471,-0.7725,1.918e-01
1.46,0.92,2.0481,-0.7751,1.922e-01
1.48,0.92,2.0491,-0.7777,1.924e-01
1.50,0.92,2.0501,-0.7804,1.922e-01
1.52,0.92,2.0512,-0.7833,1.917e-01
1.54,0.92,2.0524,-0.7863,1.907e-01
1.56,0.92,2.0536,-0.7896,1.892e-01
1.58,0.92,2.0549,-0.7931,1.870e-01
1.60,0.92,2.0564,-0.7971,1.839e-01
1.62,0.92,2.0580,-0.8017,1.799e-01
1.64,0.92,2.0599,-0.8071,1.748e-01
1.66,0.92,2.0621,-0.8134,1.684e-01
1.68,0.92,2.0647,-0.8213,1.607e-01
1.70,0.92,2.0680,-0.8312,1.516e-01
1.72,0.92,2.0721,-0.8441,1.410e-01
1.74,0.92,2.0774,-0.8614,1.293e-01
1.76,0.92,2.0901,-0.8989,1.078e-01
1.78,0.92,2.1637,-0.9196,7.901e-02
1.80,0.92,2.1927,-1.0305,6.423e-02
1.82,0.92,2.1969,-1.2152,5.666e-02
1.84,0.92,2.1929,-1.4597,5.305e-02
1.86,0.92,2.1892,-1.7587,5.168e-02
1.88,0.92,2.1878,-2.1148,5.158e-02
1.90,0.92,2.1882,-2.5365,5.213e-02
1.92,0.92,2.1890,-3.0358,5.299e-02
1.94,0.92,2.1887,-3.1322,5.400e-02
1.96,0.92,2.1883,-3.1903,5.491e-02
1.98,0.92,2.1879,-3.2417,5.568e-02
2.00,0.92,2.1875,-3.2866,5.627e-02
2.02,0.92,2.1871,-3.3244,5.659e-02
2.04,0.92,2.1866,-3.3542,5.641e-02
2.06,0.92,2.1861,-3.3693,5.488e-02
0.94,0.94,2.0342,-0.7412,1.770e-01
0.96,0.94,2.0342,-0.7412,1.770e-01
0.98,0.94,2.0342,-0.7412,1.770e-01
1.00,0.94,2.0342,-0.7412,1.770e-01
1.02,0.94,2.0342,-0.7412,1.769e-01
1.04,0.94,2.0342,-0.7412,1.769e-01
1.06,0.94,2.0342,-0.7412,1.769e-01
1.08,0.94,2.0342,-0.7412,1.769e-01
1.10,0.94,2.0342,-0.7412,1.769e-01
1.12,0.94,2.0342,-0.7412,1.768e-01
1.14,0.94,2.0342,-0.7412,1.768e-01
1.16,0.94,2.0342,-0.7412,1.768e-01
1.18,0.94,1.9507,-0.4501,1.776e-01
1.20,0.94,1.8831,-0.2606,1.787e-01
1.22,0.94,1.7649,-0.3470,1.799e-01
1.24,0.94,1.8708,0.1745,1.810e-01
1.26,0.94,1.5505,-0.4386,1.821e-01
1.28,0.94,1.5084,-1.2022,1.832e-01
1.30,0.94,2.0185,-0.7722,1.842e-01
1.32,0.94,2.0410,-0.7571,1.853e-01
1.34,0.94,2.0419,-0.7593,1.862e-01
1.36,0.94,2.0427,-0.7615,1.871e-01
1.38,0.94,2.0437,-0.7638,1.880e-01
1.40,0.94,2.0446,-0.7661,1.886e-01
1.42,0.94,2.0455,-0.7684,1.892e-01
1.44,0.94,2.0464,-0.7708,1.895e-01
1.46,0.94,2.0474,-0.7733,1.896e-01
1.48,0.94,2.0484,-0.7758,1.894e-01
1.50,0.94,2.0494,-0.7785,1.888e-01
1.52,0.94,2.0505,-0.7814,1.878e-01
