M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9549,-0.4385,1.647e-01
0.92,0.90,1.9267,-0.4245,1.669e-01
0.94,0.90,1.9331,-0.4350,1.702e-01
0.96,0.90,1.9329,-0.4346,1.748e-01
0.98,0.90,1.9328,-0.4344,1.805e-01
1.00,0.90,1.9328,-0.4343,1.873e-01
1.02,0.90,1.9327,-0.4341,1.952e-01
1.04,0.90,1.9325,-0.4337,2.040e-01
1.06,0.90,1.9321,-0.4329,2.137e-01
1.08,0.90,1.9313,-0.4315,2.241e-01
1.10,0.90,1.9302,-0.4294,2.352e-01
1.12,0.90,1.9286,-0.4264,2.467e-01
1.14,0.90,1.9265,-0.4225,2.585e-01
1.16,0.90,1.9238,-0.4175,2.706e-01
1.18,0.90,1.9115,-0.3950,2.828e-01
1.20,0.90,1.9234,-0.3481,2.950e-01
1.22,0.90,1.9144,-0.4419,3.071e-01
1.24,0.90,1.9109,-0.2194,3.191e-01
1.26,0.90,1.7889,-0.9168,3.308e-01
1.28,0.90,2.0246,-0.7535,3.423e-01
1.30,0.90,2.0357,-0.7445,3.535e-01
1.32,0.90,2.0358,-0.7448,3.644e-01
1.34,0.90,2.0359,-0.7451,3.749e-01
1.36,0.90,2.0361,-0.7455,3.851e-01
1.38,0.90,2.0363,-0.7460,3.950e-01
1.40,0.90,2.0366,-0.7466,4.046e-01
1.42,0.90,2.0369,-0.7473,4.140e-01
1.44,0.90,2.0372,-0.7481,4.231e-01
1.46,0.90,2.0377,-0.7492,4.321e-01
1.48,0.90,2.0382,-0.7504,4.411e-01
1.50,0.90,2.0388,-0.7519,4.501e-01
1.52,0.90,2.0396,-0.7538,4.592e-01
1.54,0.90,2.0405,-0.7561,4.687e-01
1.56,0.90,2.0417,-0.7589,4.787e-01
1.58,0.90,2.0431,-0.7624,4.894e-01
1.60,0.90,2.0449,-0.7669,5.012e-01
1.62,0.90,2.0471,-0.7725,5.145e-01
1.64,0.90,2.0499,-0.7796,5.300e-01
1.66,0.90,2.0533,-0.7887,5.483e-01
1.68,0.90,2.0575,-0.8004,5.707e-01
1.70,0.90,2.0628,-0.8154,5.985e-01
1.72,0.90,2.0692,-0.8349,6.339e-01
1.74,0.90,2.0770,-0.8601,6.801e-01
1.76,0.90,2.0862,-0.8927,7.413e-01
1.78,0.90,2.0970,-0.9348,8.242e-01
1.80,0.90,2.1183,-1.0107,8.785e-01
1.82,0.90,2.1740,-1.1146,9.193e-01
1.84,0.90,2.1915,-1.2920,1.082e+00
1.86,0.90,2.1936,-1.5081,1.374e+00
1.88,0.90,2.1916,-1.7419,1.828e+00
1.90,0.90,2.1897,-1.9828,2.507e+00
1.92,0.90,2.1885,-2.2254,3.512e+00
1.94,0.90,2.1880,-2.4668,5.003e+00
1.96,0.90,2.1879,-2.7056,7.232e+00
1.98,0.90,2.1881,-2.9410,1.059e+01
2.00,0.90,2.1884,-3.1730,1.573e+01
2.02,0.90,2.1887,-3.4021,2.368e+01
2.04,0.90,2.1890,-3.6289,3.621e+01
2.06,0.90,2.1893,-3.8564,5.664e+01
0.92,0.92,1.9387,-0.4656,1.647e-01
0.94,0.92,1.9317,-0.3972,1.668e-01
0.96,0.92,1.9236,-0.4177,1.701e-01
0.98,0.92,1.9297,-0.4284,1.745e-01
1.00,0.92,1.9295,-0.4281,1.800e-01
1.02,0.92,1.9294,-0.4279,1.866e-01
1.04,0.92,1.9293,-0.4276,1.941e-01
1.06,0.92,1.9290,-0.4270,2.027e-01
1.08,0.92,1.9285,-0.4261,2.120e-01
1.10,0.92,1.9277,-0.4247,2.221e-01
1.12,0.92,1.9265,-0.4225,2.328e-01
1.14,0.92,1.9249,-0.4196,2.440e-01
1.16,0.92,1.9228,-0.4157,2.555e-01
1.18,0.92,1.9116,-0.3895,2.673e-01
1.20,0.92,1.9249,-0.3448,2.792e-01
