M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9951,-0.5592,3.484e-01
0.92,0.90,1.9796,-0.5429,3.485e-01
0.94,0.90,1.9821,-0.5486,3.485e-01
0.96,0.90,1.9807,-0.5446,3.485e-01
0.98,0.90,1.9790,-0.5400,3.486e-01
1.00,0.90,1.9770,-0.5346,3.486e-01
1.02,0.90,1.9747,-0.5285,3.487e-01
1.04,0.90,1.9720,-0.5216,3.487e-01
1.06,0.90,1.9690,-0.5139,3.488e-01
1.08,0.90,1.9656,-0.5053,3.489e-01
1.10,0.90,1.9616,-0.4959,3.490e-01
1.12,0.90,1.9572,-0.4856,3.491e-01
1.14,0.90,1.9522,-0.4743,3.492e-01
1.16,0.90,1.9465,-0.4620,3.494e-01
1.18,0.90,1.9326,-0.4329,3.495e-01
1.20,0.90,1.9391,-0.3821,3.497e-01
1.22,0.90,1.9275,-0.4632,3.499e-01
1.24,0.90,1.9206,-0.2408,3.502e-01
1.26,0.90,1.7997,-0.9097,3.505e-01
1.28,0.90,2.0248,-0.7532,3.508e-01
1.30,0.90,2.0357,-0.7445,3.512e-01
1.32,0.90,2.0358,-0.7449,3.517e-01
1.34,0.90,2.0360,-0.7454,3.523e-01
1.36,0.90,2.0363,-0.7459,3.529e-01
1.38,0.90,2.0366,-0.7466,3.537e-01
1.40,0.90,2.0369,-0.7474,3.547e-01
1.42,0.90,2.0373,-0.7483,3.558e-01
1.44,0.90,2.0378,-0.7495,3.571e-01
1.46,0.90,2.0384,-0.7508,3.588e-01
1.48,0.90,2.0391,-0.7525,3.608e-01
1.50,0.90,2.0399,-0.7546,3.633e-01
1.52,0.90,2.0409,-0.7571,3.663e-01
1.54,0.90,2.0422,-0.7602,3.702e-01
1.56,0.90,2.0438,-0.7641,3.749e-01
1.58,0.90,2.0457,-0.7689,3.809e-01
1.60,0.90,2.0480,-0.7749,3.885e-01
1.62,0.90,2.0509,-0.7825,3.982e-01
1.64,0.90,2.0545,-0.7921,4.107e-01
1.66,0.90,2.0589,-0.8042,4.269e-01
1.68,0.90,2.0641,-0.8195,4.481e-01
1.70,0.90,2.0705,-0.8389,4.760e-01
1.72,0.90,2.0779,-0.8633,5.129e-01
1.74,0.90,2.0866,-0.8940,5.624e-01
1.76,0.90,2.0963,-0.9322,6.291e-01
1.78,0.90,2.1070,-0.9793,7.198e-01
1.80,0.90,2.1270,-1.0628,7.975e-01
1.82,0.90,2.1763,-1.1783,8.725e-01
1.84,0.90,2.1913,-1.3537,1.056e+00
1.86,0.90,2.1932,-1.5575,1.360e+00
1.88,0.90,2.1915,-1.7732,1.821e+00
1.90,0.90,2.1897,-1.9933,2.505e+00
1.92,0.90,2.1884,-2.2147,3.513e+00
1.94,0.90,2.1878,-2.4363,5.006e+00
1.96,0.90,2.1877,-2.6576,7.235e+00
1.98,0.90,2.1878,-2.8785,1.060e+01
2.00,0.90,2.1881,-3.0993,1.573e+01
2.02,0.90,2.1884,-3.3201,2.369e+01
2.04,0.90,2.1888,-3.5416,3.621e+01
2.06,0.90,2.1891,-3.7662,5.664e+01
0.92,0.92,1.9848,-0.5700,3.347e-01
0.94,0.92,1.9803,-0.5182,3.347e-01
0.96,0.92,1.9747,-0.5290,3.347e-01
0.98,0.92,1.9768,-0.5342,3.348e-01
1.00,0.92,1.9750,-0.5294,3.348e-01
1.02,0.92,1.9729,-0.5239,3.348e-01
1.04,0.92,1.9705,-0.5177,3.349e-01
1.06,0.92,1.9677,-0.5107,3.350e-01
1.08,0.92,1.9646,-0.5029,3.350e-01
1.10,0.92,1.9610,-0.4943,3.351e-01
1.12,0.92,1.9569,-0.4848,3.352e-01
1.14,0.92,1.9522,-0.4744,3.353e-01
1.16,0.92,1.9470,-0.4631,3.355e-01
1.18,0.92,1.9340,-0.4306,3.356e-01
1.20,0.92,1.9416,-0.3820,3.358e-01
1.22,0.92,1.9149,-0.4871,3.360e-01
1.24,0.92,1.9578,-0.1629,3.362e-01
1.26,0.92,1.8087,-0.7959,3.364e-01
1.28,0.92,1.9294,-0.8464,3.367e-01
1.30,0.92,2.0356,-0.7443,3.371e-01
1.32,0.92,2.0358,-0.7447,3.375e-01
1.34,0.92,2.0359,-0.7451,3.380e-01
1.36,0.92,2.0361,-0.7456,3.385e-01
1.38,0.92,2.0364,-0.7461,3.392e-01
1.40,0.92,2.0367,-0.7468,3.399e-01
1.42,0.92,2.0370,-0.7476,3.408e-01
1.44,0.92,2.0374,-0.7486,3.419e-01
1.46,0.92,2.0379,-0.7497,3.433e-01
1.48,0.92,2.0385,-0.7511,3.449e-01
1.50,0.92,2.0392,-0.7528,3.468e-01
1.52,0.92,2.0400,-0.7548,3.492e-01
1.54,0.92,2.0410,-0.7574,3.521e-01
1.56,0.92,2.0423,-0.7604,3.557e-01
1.58,0.92,2.0438,-0.7642,3.602e-01
1.60,0.92,2.0457,-0.7689,3.659e-01
1.62,0.92,2.0480,-0.7748,3.730e-01
1.64,0.92,2.0508,-0.7822,3.820e-01
1.66,0.92,2.0543,-0.7914,3.935e-01
1.68,0.92,2.0584,-0.8030,4.084e-01
1.70,0.92,2.0635,-0.8176,4.277e-01
1.72,0.92,2.0695,-0.8359,4.529e-01
1.74,0.92,2.0767,-0.8590,4.861e-01
1.76,0.92,2.0909,-0.9019,4.906e-01
1.78,0.92,2.1641,-0.9271,4.518e-01
1.80,0.92,2.1927,-1.0312,4.738e-01
1.82,0.92,2.1974,-1.1851,5.458e-01
1.84,0.92,2.1936,-1.3653,6.706e-01
1.86,0.92,2.1886,-1.5580,8.603e-01
1.88,0.92,2.1848,-1.7559,1.137e+00
1.90,0.92,2.1826,-1.9557,1.536e+00
1.92,0.92,2.1817,-2.1559,2.110e+00
1.94,0.92,2.1817,-2.3559,2.942e+00
1.96,0.92,2.1823,-2.5554,4.157e+00
1.98,0.92,2.1833,-2.7547,5.949e+00
2.00,0.92,2.1845,-2.9541,8.622e+00
2.02,0.92,2.1856,-3.1541,1.266e+01
2.04,0.92,2.1866,-3.3556,1.888e+01
2.06,0.92,2.1876,-3.5616,2.877e+01
0.94,0.94,1.9799,-0.5630,3.206e-01
0.96,0.94,1.9803,-0.4846,3.206e-01
0.98,0.94,1.9697,-0.5089,3.206e-01
1.00,0.94,1.9726,-0.5230,3.207e-01
1.02,0.94,1.9707,-0.5181,3.207e-01
1.04,0.94,1.9685,-0.5125,3.208e-01
1.06,0.94,1.9659,-0.5062,3.208e-01
1.08,0.94,1.9630,-0.4991,3.209e-01
1.10,0.94,1.9597,-0.4912,3.210e-01
1.12,0.94,1.9559,-0.4825,3.210e-01
1.14,0.94,1.9516,-0.4730,3.211e-01
1.16,0.94,1.9441,-0.4597,3.213e-01
1.18,0.94,1.9365,-0.4192,3.214e-01
1.20,0.94,1.9430,-0.3784,3.215e-01
1.22,0.94,1.9099,-0.4868,3.217e-01
1.24,0.94,1.9776,-0.1591,3.219e-01
1.26,0.94,1.8490,-0.5591,3.221e-01
1.28,0.94,1.8439,-0.9155,3.224e-01
1.30,0.94,2.0307,-0.7481,3.227e-01
1.32,0.94,2.0357,-0.7445,3.230e-01
1.34,0.94,2.0358,-0.7449,3.234e-01
1.36,0.94,2.0360,-0.7453,3.239e-01
1.38,0.94,2.0362,-0.7458,3.244e-01
1.40,0.94,2.0365,-0.7464,3.251e-01
1.42,0.94,2.0368,-0.7471,3.258e-01
1.44,0.94,2.0371,-0.7479,3.267e-01
1.46,0.94,2.0375,-0.7489,3.278e-01
1.48,0.94,2.0380,-0.7501,3.291e-01
1.50,0.94,2.0386,-0.7515,3.306e-01
1.52,0.94,2.0393,-0.7532,3.325e-01
1.54,0.94,2.0402,-0.7552,3.348e-01
1.56,0.94,2.0412,-0.7577,3.376e-01
1.58,0.94,2.0424,-0.7608,3.410e-01
1.60,0.94,2.0440,-0.7646,3.453e-01
1.62,0.94,2.0458,-0.7692,3.506e-01
1.64,0.94,2.0481,-0.7750,3.573e-01
1.66,0.94,2.0508,-0.7821,3.658e-01
1.68,0.94,2.0541,-0.7911,3.765e-01
1.70,0.94,2.0582,-0.8023,3.902e-01
1.72,0.94,2.0647,-0.8212,3.867e-01
1.74,0.94,2.1470,-0.7885,3.072e-01
1.76,0.94,2.1922,-0.8203,2.780e-01
1.78,0.94,2.2033,-0.9154,2.809e-01
1.80,0.94,2.1975,-1.0520,3.095e-01
1.82,0.94,2.1870,-1.2120,3.635e-01
1.84,0.94,2.1775,-1.3839,4.471e-01
1.86,0.94,2.1709,-1.5613,5.683e-01
1.88,0.94,2.1673,-1.7406,7.401e-01
1.90,0.94,2.1661,-1.9201,9.821e-01
1.92,0.94,2.1667,-2.0992,1.324e+00
1.94,0.94,2.1686,-2.2777,1.809e+00
1.96,0.94,2.1713,-2.4557,2.503e+00
1.98,0.94,2.1743,-2.6338,3.505e+00
2.00,0.94,2.1773,-2.8126,4.969e+00
2.02,0.94,2.1801,-2.9926,7.135e+00
2.04,0.94,2.1825,-3.1748,1.039e+01
2.06,0.94,2.1846,-3.3615,1.546e+01
0.96,0.96,1.9793,-0.5432,3.062e-01
0.98,0.96,1.9738,-0.4657,3.062e-01
1.00,0.96,1.9637,-0.4968,3.063e-01
1.02,0.96,1.9630,-0.4969,3.063e-01
1.04,0.96,1.9658,-0.5060,3.063e-01
1.06,0.96,1.9635,-0.5004,3.064e-01
1.08,0.96,1.9608,-0.4939,3.064e-01
1.10,0.96,1.9577,-0.4868,3.065e-01
1.12,0.96,1.9542,-0.4788,3.066e-01
1.14,0.96,1.9502,-0.4700,3.067e-01
1.16,0.96,1.9385,-0.4449,3.068e-01
1.18,0.96,1.9326,-0.4281,3.069e-01
1.20,0.96,1.9430,-0.3720,3.070e-01
