M1,M2,SrDy,ThDy,total_mass
0.90,0.90,0.9665,0.0730,4.731e-01
0.92,0.90,0.8798,0.0032,4.595e-01
0.94,0.90,0.9536,0.0008,4.477e-01
0.96,0.90,0.9958,-0.0025,4.376e-01
0.98,0.90,1.0357,-0.0059,4.288e-01
1.00,0.90,1.0735,-0.0096,4.213e-01
1.02,0.90,1.1092,-0.0133,4.147e-01
1.04,0.90,1.1427,-0.0171,4.091e-01
1.06,0.90,1.1741,-0.0210,4.041e-01
1.08,0.90,1.2035,-0.0250,3.998e-01
1.10,0.90,1.2310,-0.0290,3.960e-01
1.12,0.90,1.2567,-0.0330,3.927e-01
1.14,0.90,1.2806,-0.0370,3.898e-01
1.16,0.90,1.3029,-0.0409,3.872e-01
1.18,0.90,1.2934,-0.0377,3.849e-01
1.20,0.90,1.3677,0.0461,3.829e-01
1.22,0.90,1.3717,-0.1159,3.811e-01
1.24,0.90,1.3956,0.1748,3.795e-01
1.26,0.90,1.1346,-1.2274,3.780e-01
1.28,0.90,1.9636,-0.8328,3.767e-01
1.30,0.90,2.0440,-0.7645,3.755e-01
1.32,0.90,2.0436,-0.7637,3.744e-01
1.34,0.90,2.0433,-0.7629,3.734e-01
1.36,0.90,2.0430,-0.7621,3.725e-01
1.38,0.90,2.0427,-0.7614,3.717e-01
1.40,0.90,2.0425,-0.7608,3.709e-01
1.42,0.90,2.0422,-0.7602,3.702e-01
1.44,0.90,2.0420,-0.7597,3.695e-01
1.46,0.90,2.0418,-0.7592,3.689e-01
1.48,0.90,2.0416,-0.7587,3.683e-01
1.50,0.90,2.0414,-0.7583,3.678e-01
1.52,0.90,2.0412,-0.7578,3.673e-01
1.54,0.90,2.0411,-0.7574,3.668e-01
1.56,0.90,2.0409,-0.7571,3.663e-01
1.58,0.90,2.0408,-0.7567,3.659e-01
1.60,0.90,2.0406,-0.7564,3.655e-01
1.62,0.90,2.0405,-0.7560,3.651e-01
1.64,0.90,2.0404,-0.7557,3.647e-01
1.66,0.90,2.0403,-0.7555,3.644e-01
1.68,0.90,2.0402,-0.7552,3.640e-01
1.70,0.90,2.0401,-0.7549,3.637e-01
1.72,0.90,2.0400,-0.7547,3.634e-01
1.74,0.90,2.0399,-0.7544,3.632e-01
1.76,0.90,2.0398,-0.7542,3.629e-01
1.78,0.90,2.0397,-0.7540,3.626e-01
1.80,0.90,2.0474,-0.7468,3.154e-01
1.82,0.90,2.1399,-0.6372,2.175e-01
1.84,0.90,2.1975,-0.5685,1.589e-01
1.86,0.90,2.2211,-0.5388,1.215e-01
1.88,0.90,2.2134,-0.5448,9.660e-02
1.90,0.90,2.1785,-0.5811,7.926e-02
1.92,0.90,2.1222,-0.6417,6.682e-02
1.94,0.90,2.0501,-0.7200,5.767e-02
1.96,0.90,1.9681,-0.8097,5.079e-02
1.98,0.90,1.8810,-0.9050,4.553e-02
2.00,0.90,1.7928,-1.0011,4.145e-02
2.02,0.90,1.7061,-1.0943,3.825e-02
2.04,0.90,1.6228,-1.1818,3.570e-02
2.06,0.90,1.5436,-1.2621,3.364e-02
0.92,0.92,1.0020,-0.0361,4.266e-01
0.94,0.92,1.0178,0.0507,4.167e-01
0.96,0.92,1.0282,-0.0061,4.081e-01
0.98,0.92,1.0943,-0.0117,4.008e-01
1.00,0.92,1.1319,-0.0159,3.945e-01
1.02,0.92,1.1673,-0.0202,3.891e-01
1.04,0.92,1.2004,-0.0246,3.843e-01
1.06,0.92,1.2313,-0.0290,3.802e-01
1.08,0.92,1.2601,-0.0335,3.767e-01
1.10,0.92,1.2869,-0.0381,3.736e-01
1.12,0.92,1.3118,-0.0426,3.709e-01
1.14,0.92,1.3348,-0.0470,3.685e-01
1.16,0.92,1.3562,-0.0514,3.664e-01
1.18,0.92,1.3480,-0.0400,3.645e-01
1.20,0.92,1.4219,0.0416,3.629e-01
1.22,0.92,1.3709,-0.1860,3.614e-01
1.24,0.92,1.5690,0.3504,3.601e-01
1.26,0.92,1.1941,-0.8662,3.590e-01
1.28,0.92,1.5517,-1.2261,3.579e-01
1.30,0.92,2.0427,-0.7615,3.569e-01
1.32,0.92,2.0424,-0.7607,3.561e-01
1.34,0.92,2.0421,-0.7600,3.553e-01
1.36,0.92,2.0419,-0.7594,3.545e-01
1.38,0.92,2.0417,-0.7589,3.539e-01
1.40,0.92,2.0414,-0.7583,3.532e-01
1.42,0.92,2.0412,-0.7578,3.527e-01
1.44,0.92,2.0411,-0.7574,3.521e-01
1.46,0.92,2.0409,-0.7569,3.516e-01
1.48,0.92,2.0407,-0.7565,3.511e-01
1.50,0.92,2.0405,-0.7561,3.507e-01
1.52,0.92,2.0404,-0.7558,3.502e-01
1.54,0.92,2.0403,-0.7554,3.498e-01
1.56,0.92,2.0401,-0.7551,3.495e-01
1.58,0.92,2.0400,-0.7548,3.491e-01
1.60,0.92,2.0399,-0.7545,3.488e-01
1.62,0.92,2.0398,-0.7542,3.484e-01
1.64,0.92,2.0396,-0.7539,3.481e-01
1.66,0.92,2.0395,-0.7537,3.478e-01
1.68,0.92,2.0394,-0.7534,3.475e-01
1.70,0.92,2.0393,-0.7532,3.473e-01
1.72,0.92,2.0392,-0.7530,3.470e-01
1.74,0.92,2.0392,-0.7528,3.468e-01
1.76,0.92,2.0419,-0.7512,3.069e-01
1.78,0.92,2.1379,-0.6366,2.090e-01
1.80,0.92,2.1975,-0.5646,1.511e-01
1.82,0.92,2.2217,-0.5333,1.146e-01
1.84,0.92,2.2127,-0.5394,9.038e-02
1.86,0.92,2.1751,-0.5773,7.367e-02
1.88,0.92,2.1149,-0.6407,6.174e-02
1.90,0.92,2.0384,-0.7223,5.300e-02
1.92,0.92,1.9518,-0.8153,4.645e-02
1.94,0.92,1.8603,-0.9137,4.146e-02
1.96,0.92,1.7680,-1.0123,3.760e-02
1.98,0.92,1.6778,-1.1072,3.458e-02
2.00,0.92,1.5915,-1.1958,3.219e-02
2.02,0.92,1.5099,-1.2764,3.029e-02
2.04,0.92,1.4338,-1.3485,2.875e-02
2.06,0.92,1.3633,-1.4118,2.747e-02
0.94,0.94,1.0956,-0.0588,3.878e-01
0.96,0.94,1.1483,0.1039,3.807e-01
0.98,0.94,1.1244,-0.0015,3.746e-01
1.00,0.94,1.1910,-0.0233,3.693e-01
1.02,0.94,1.2260,-0.0282,3.648e-01
1.04,0.94,1.2586,-0.0333,3.609e-01
1.06,0.94,1.2889,-0.0384,3.575e-01
1.08,0.94,1.3170,-0.0435,3.546e-01
1.10,0.94,1.3429,-0.0486,3.521e-01
1.12,0.94,1.3668,-0.0537,3.499e-01
1.14,0.94,1.3889,-0.0586,3.480e-01
1.16,0.94,1.3983,-0.0652,3.463e-01
1.18,0.94,1.4094,-0.0285,3.448e-01
1.20,0.94,1.4741,0.0363,3.435e-01
1.22,0.94,1.4018,-0.2030,3.423e-01
1.24,0.94,1.6883,0.3945,3.413e-01
1.26,0.94,1.3275,-0.3978,3.404e-01
1.28,0.94,1.3621,-1.3154,3.395e-01
1.30,0.94,2.0144,-0.7805,3.388e-01
1.32,0.94,2.0414,-0.7581,3.381e-01
1.34,0.94,2.0411,-0.7576,3.374e-01
1.36,0.94,2.0409,-0.7571,3.369e-01
1.38,0.94,2.0407,-0.7566,3.363e-01
1.40,0.94,2.0405,-0.7561,3.358e-01
1.42,0.94,2.0404,-0.7557,3.353e-01
1.44,0.94,2.0402,-0.7553,3.349e-01
1.46,0.94,2.0401,-0.7549,3.345e-01
1.48,0.94,2.0399,-0.7546,3.341e-01
1.50,0.94,2.0398,-0.7543,3.337e-01
1.52,0.94,2.0396,-0.7539,3.334e-01
1.54,0.94,2.0395,-0.7536,3.330e-01
1.56,0.94,2.0394,-0.7534,3.327e-01
