M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9538,-0.4358,3.497e-01
0.92,0.90,1.9272,-0.4255,3.497e-01
0.94,0.90,1.9352,-0.4390,3.497e-01
0.96,0.90,1.9364,-0.4414,3.496e-01
0.98,0.90,1.9376,-0.4437,3.496e-01
1.00,0.90,1.9387,-0.4460,3.496e-01
1.02,0.90,1.9398,-0.4481,3.495e-01
1.04,0.90,1.9409,-0.4503,3.495e-01
1.06,0.90,1.9419,-0.4523,3.495e-01
1.08,0.90,1.9428,-0.4543,3.495e-01
1.10,0.90,1.9438,-0.4563,3.494e-01
1.12,0.90,1.9447,-0.4581,3.494e-01
1.14,0.90,1.9455,-0.4599,3.494e-01
1.16,0.90,1.9463,-0.4616,3.494e-01
1.18,0.90,1.9401,-0.4478,3.493e-01
1.20,0.90,1.9533,-0.4166,3.493e-01
1.22,0.90,1.9510,-0.5061,3.493e-01
1.24,0.90,1.9532,-0.3262,3.493e-01
1.26,0.90,1.8754,-0.8581,3.493e-01
1.28,0.90,2.0290,-0.7479,3.493e-01
1.30,0.90,2.0350,-0.7428,3.493e-01
1.32,0.90,2.0349,-0.7428,3.492e-01
1.34,0.90,2.0349,-0.7428,3.492e-01
1.36,0.90,2.0349,-0.7428,3.492e-01
1.38,0.90,2.0349,-0.7428,3.492e-01
1.40,0.90,2.0349,-0.7428,3.492e-01
1.42,0.90,2.0349,-0.7428,3.492e-01
1.44,0.90,2.0349,-0.7428,3.492e-01
1.46,0.90,2.0349,-0.7428,3.492e-01
1.48,0.90,2.0349,-0.7428,3.492e-01
1.50,0.90,2.0349,-0.7427,3.492e-01
1.52,0.90,2.0349,-0.7427,3.492e-01
1.54,0.90,2.0349,-0.7427,3.492e-01
1.56,0.90,2.0349,-0.7427,3.492e-01
1.58,0.90,2.0349,-0.7428,3.492e-01
1.60,0.90,2.0349,-0.7428,3.492e-01
1.62,0.90,2.0349,-0.7428,3.492e-01
1.64,0.90,2.0349,-0.7428,3.492e-01
1.66,0.90,2.0349,-0.7428,3.492e-01
1.68,0.90,2.0349,-0.7428,3.492e-01
1.70,0.90,2.0349,-0.7428,3.492e-01
1.72,0.90,2.0349,-0.7428,3.492e-01
1.74,0.90,2.0350,-0.7428,3.492e-01
1.76,0.90,2.0350,-0.7428,3.493e-01
1.78,0.90,2.0350,-0.7428,3.493e-01
1.80,0.90,2.0424,-0.7340,3.023e-01
1.82,0.90,2.1371,-0.6155,2.046e-01
1.84,0.90,2.1980,-0.5361,1.462e-01
1.86,0.90,2.2243,-0.4956,1.091e-01
1.88,0.90,2.2163,-0.4928,8.439e-02
1.90,0.90,2.1769,-0.5241,6.725e-02
1.92,0.90,2.1115,-0.5837,5.499e-02
1.94,0.90,2.0269,-0.6643,4.601e-02
1.96,0.90,1.9302,-0.7584,3.930e-02
1.98,0.90,1.8277,-0.8591,3.420e-02
2.00,0.90,1.7241,-0.9606,3.028e-02
2.02,0.90,1.6227,-1.0587,2.723e-02
2.04,0.90,1.5253,-1.1506,2.486e-02
2.06,0.90,1.4334,-1.2346,2.303e-02
0.92,0.92,1.9393,-0.4668,3.358e-01
0.94,0.92,1.9343,-0.4024,3.358e-01
0.96,0.92,1.9281,-0.4259,3.358e-01
0.98,0.92,1.9355,-0.4395,3.358e-01
1.00,0.92,1.9366,-0.4418,3.357e-01
1.02,0.92,1.9378,-0.4441,3.357e-01
1.04,0.92,1.9389,-0.4463,3.357e-01
1.06,0.92,1.9400,-0.4485,3.356e-01
1.08,0.92,1.9410,-0.4506,3.356e-01
1.10,0.92,1.9420,-0.4526,3.356e-01
1.12,0.92,1.9429,-0.4546,3.356e-01
1.14,0.92,1.9439,-0.4564,3.355e-01
1.16,0.92,1.9447,-0.4582,3.355e-01
1.18,0.92,1.9388,-0.4400,3.355e-01
1.20,0.92,1.9527,-0.4095,3.355e-01
1.22,0.92,1.9371,-0.5202,3.355e-01
1.24,0.92,1.9778,-0.2494,3.354e-01
1.26,0.92,1.8747,-0.7821,3.354e-01
1.28,0.92,1.9695,-0.8061,3.354e-01
1.30,0.92,2.0350,-0.7428,3.354e-01
1.32,0.92,2.0350,-0.7428,3.354e-01
1.34,0.92,2.0350,-0.7428,3.354e-01
1.36,0.92,2.0349,-0.7428,3.354e-01
1.38,0.92,2.0349,-0.7428,3.354e-01
1.40,0.92,2.0349,-0.7428,3.353e-01
1.42,0.92,2.0349,-0.7428,3.353e-01
1.44,0.92,2.0349,-0.7428,3.353e-01
1.46,0.92,2.0349,-0.7428,3.353e-01
1.48,0.92,2.0349,-0.7428,3.353e-01
1.50,0.92,2.0349,-0.7428,3.353e-01
1.52,0.92,2.0349,-0.7428,3.353e-01
1.54,0.92,2.0349,-0.7428,3.353e-01
1.56,0.92,2.0349,-0.7428,3.353e-01
1.58,0.92,2.0349,-0.7428,3.353e-01
1.60,0.92,2.0349,-0.7428,3.353e-01
1.62,0.92,2.0349,-0.7428,3.353e-01
1.64,0.92,2.0349,-0.7428,3.353e-01
1.66,0.92,2.0349,-0.7428,3.353e-01
1.68,0.92,2.0349,-0.7428,3.354e-01
1.70,0.92,2.0349,-0.7428,3.354e-01
1.72,0.92,2.0350,-0.7428,3.354e-01
1.74,0.92,2.0350,-0.7428,3.354e-01
1.76,0.92,2.0374,-0.7402,2.958e-01
1.78,0.92,2.1354,-0.6177,1.981e-01
1.80,0.92,2.1980,-0.5361,1.404e-01
1.82,0.92,2.2245,-0.4951,1.041e-01
1.84,0.92,2.2151,-0.4934,8.014e-02
1.86,0.92,2.1733,-0.5271,6.363e-02
1.88,0.92,2.1046,-0.5899,5.189e-02
1.90,0.92,2.0165,-0.6740,4.333e-02
1.92,0.92,1.9165,-0.7713,3.695e-02
1.94,0.92,1.8111,-0.8747,3.213e-02
1.96,0.92,1.7052,-0.9781,2.842e-02
1.98,0.92,1.6019,-1.0773,2.556e-02
2.00,0.92,1.5029,-1.1696,2.331e-02
2.02,0.92,1.4092,-1.2533,2.156e-02
2.04,0.92,1.3214,-1.3279,2.018e-02
2.06,0.92,1.2404,-1.3934,1.913e-02
0.94,0.94,1.9361,-0.4689,3.216e-01
0.96,0.94,1.9398,-0.3704,3.216e-01
0.98,0.94,1.9258,-0.4125,3.216e-01
1.00,0.94,1.9343,-0.4372,3.216e-01
1.02,0.94,1.9355,-0.4396,3.215e-01
1.04,0.94,1.9367,-0.4419,3.215e-01
1.06,0.94,1.9378,-0.4441,3.215e-01
1.08,0.94,1.9389,-0.4463,3.214e-01
1.10,0.94,1.9400,-0.4484,3.214e-01
1.12,0.94,1.9410,-0.4505,3.214e-01
1.14,0.94,1.9419,-0.4525,3.214e-01
1.16,0.94,1.9401,-0.4515,3.213e-01
1.18,0.94,1.9391,-0.4245,3.213e-01
1.20,0.94,1.9517,-0.4003,3.213e-01
1.22,0.94,1.9297,-0.5147,3.213e-01
1.24,0.94,1.9910,-0.2382,3.213e-01
1.26,0.94,1.8996,-0.5951,3.213e-01
1.28,0.94,1.9068,-0.8586,3.212e-01
1.30,0.94,2.0323,-0.7451,3.212e-01
1.32,0.94,2.0350,-0.7429,3.212e-01
1.34,0.94,2.0350,-0.7428,3.212e-01
1.36,0.94,2.0350,-0.7428,3.212e-01
1.38,0.94,2.0350,-0.7428,3.212e-01
1.40,0.94,2.0350,-0.7428,3.212e-01
1.42,0.94,2.0350,-0.7428,3.212e-01
1.44,0.94,2.0349,-0.7428,3.212e-01
