M1,M2,SrDy,ThDy,total_mass
0.90,0.90,-4.1137,0.1061,1.258e-01
0.92,0.90,-4.9078,0.0292,1.121e-01
0.94,0.90,-7.3177,0.0319,1.004e-01
0.96,0.90,-7.3177,0.0319,9.025e-02
0.98,0.90,-7.3177,0.0319,8.151e-02
1.00,0.90,-7.3177,0.0319,7.396e-02
1.02,0.90,-7.3177,0.0319,6.742e-02
1.04,0.90,-7.3177,0.0319,6.174e-02
1.06,0.90,-7.3177,0.0319,5.679e-02
1.08,0.90,-7.3177,0.0319,5.248e-02
1.10,0.90,-7.3177,0.0319,4.870e-02
1.12,0.90,-7.3177,0.0319,4.538e-02
1.14,0.90,-7.3177,0.0319,4.247e-02
1.16,0.90,-7.3177,0.0319,3.989e-02
1.18,0.90,-6.1105,0.0335,3.761e-02
1.20,0.90,-4.7130,0.1360,3.558e-02
1.22,0.90,-4.2917,-0.0323,3.377e-02
1.24,0.90,-3.0411,0.2759,3.214e-02
1.26,0.90,-1.7605,-1.3804,3.069e-02
1.28,0.90,1.3594,-4.5952,2.937e-02
1.30,0.90,2.1901,-5.3264,2.818e-02
1.32,0.90,2.1901,-5.3264,2.709e-02
1.34,0.90,2.1901,-5.3264,2.610e-02
1.36,0.90,2.1901,-5.3264,2.519e-02
1.38,0.90,2.1901,-5.3264,2.436e-02
1.40,0.90,2.1901,-5.3264,2.358e-02
1.42,0.90,2.1276,-1.0931,3.534e-02
1.44,0.90,2.0866,-0.8938,5.810e-02
1.46,0.90,2.0721,-0.8439,7.666e-02
1.48,0.90,2.0648,-0.8214,9.147e-02
1.50,0.90,2.0605,-0.8090,1.029e-01
1.52,0.90,2.0579,-0.8014,1.112e-01
1.54,0.90,2.0562,-0.7966,1.168e-01
1.56,0.90,2.0551,-0.7936,1.198e-01
1.58,0.90,2.0545,-0.7919,1.206e-01
1.60,0.90,2.0542,-0.7913,1.192e-01
1.62,0.90,2.0544,-0.7917,1.159e-01
1.64,0.90,2.0549,-0.7931,1.108e-01
1.66,0.90,2.0558,-0.7956,1.040e-01
1.68,0.90,2.0572,-0.7996,9.575e-02
1.70,0.90,2.0594,-0.8058,8.606e-02
1.72,0.90,2.0627,-0.8153,7.504e-02
1.74,0.90,2.0679,-0.8309,6.278e-02
1.76,0.90,2.0769,-0.8597,4.934e-02
1.78,0.90,2.0952,-0.9274,3.479e-02
1.80,0.90,2.1568,-1.3256,1.864e-02
1.82,0.90,2.1901,-5.3264,1.486e-02
1.84,0.90,2.1901,-5.3264,1.465e-02
1.86,0.90,2.1901,-5.3264,1.446e-02
1.88,0.90,2.1901,-5.3264,1.428e-02
1.90,0.90,2.1901,-5.3264,1.411e-02
1.92,0.90,2.1901,-5.3264,1.396e-02
1.94,0.90,2.1901,-5.3264,1.382e-02
1.96,0.90,2.1901,-5.3264,1.369e-02
1.98,0.90,2.1901,-5.3264,1.358e-02
2.00,0.90,2.1901,-5.3264,1.347e-02
2.02,0.90,2.1901,-5.3264,1.337e-02
2.04,0.90,2.1901,-5.3264,1.328e-02
2.06,0.90,2.1901,-5.3264,1.316e-02
0.92,0.92,-4.2460,-0.0018,9.307e-02
0.94,0.92,-4.7933,0.0879,8.315e-02
0.96,0.92,-6.4642,0.0311,7.463e-02
0.98,0.92,-7.3177,0.0319,6.730e-02
1.00,0.92,-7.3177,0.0319,6.099e-02
1.02,0.92,-7.3177,0.0319,5.554e-02
1.04,0.92,-7.3177,0.0319,5.082e-02
1.06,0.92,-7.3177,0.0319,4.673e-02
1.08,0.92,-7.3177,0.0319,4.317e-02
1.10,0.92,-7.3177,0.0319,4.006e-02
1.12,0.92,-7.3177,0.0319,3.735e-02
1.14,0.92,-7.3177,0.0319,3.497e-02
1.16,0.92,-7.3177,0.0319,3.287e-02
1.18,0.92,-5.7141,0.0420,3.102e-02
1.20,0.92,-4.6977,0.1453,2.938e-02
1.22,0.92,-4.4237,-0.1068,2.791e-02
1.24,0.92,-3.1312,0.5204,2.661e-02
1.26,0.92,-2.5324,-0.8914,2.543e-02
1.28,0.92,-0.0627,-3.0118,2.438e-02
1.30,0.92,2.1901,-5.3264,2.342e-02
1.32,0.92,2.1901,-5.3264,2.254e-02
1.34,0.92,2.1901,-5.3264,2.175e-02
1.36,0.92,2.1901,-5.3264,2.102e-02
1.38,0.92,2.1081,-0.9846,3.877e-02
1.40,0.92,2.0744,-0.8515,6.615e-02
1.42,0.92,2.0628,-0.8155,8.898e-02
1.44,0.92,2.0570,-0.7988,1.078e-01
1.46,0.92,2.0535,-0.7894,1.229e-01
1.48,0.92,2.0513,-0.7835,1.347e-01
1.50,0.92,2.0498,-0.7795,1.436e-01
1.52,0.92,2.0488,-0.7768,1.499e-01
1.54,0.92,2.0481,-0.7750,1.537e-01
1.56,0.92,2.0476,-0.7738,1.553e-01
1.58,0.92,2.0473,-0.7731,1.549e-01
1.60,0.92,2.0472,-0.7728,1.526e-01
1.62,0.92,2.0473,-0.7729,1.487e-01
1.64,0.92,2.0475,-0.7735,1.432e-01
1.66,0.92,2.0479,-0.7745,1.363e-01
1.68,0.92,2.0485,-0.7761,1.280e-01
1.70,0.92,2.0494,-0.7783,1.185e-01
1.72,0.92,2.0506,-0.7815,1.078e-01
1.74,0.92,2.0523,-0.7861,9.597e-02
1.76,0.92,2.0591,-0.7966,7.481e-02
1.78,0.92,2.1487,-0.7319,4.603e-02
1.80,0.92,2.1950,-0.7469,3.000e-02
1.82,0.92,2.2050,-0.8672,2.050e-02
1.84,0.92,2.1949,-1.2201,1.458e-02
1.86,0.92,2.1901,-5.3264,1.202e-02
1.88,0.92,2.1901,-5.3264,1.185e-02
1.90,0.92,2.1901,-5.3264,1.170e-02
1.92,0.92,2.1901,-5.3264,1.157e-02
1.94,0.92,2.1901,-5.3264,1.144e-02
1.96,0.92,2.1901,-5.3264,1.132e-02
1.98,0.92,2.1901,-5.3264,1.121e-02
2.00,0.92,2.1901,-5.3264,1.112e-02
2.02,0.92,2.1901,-5.3264,1.102e-02
2.04,0.92,2.1901,-5.3264,1.093e-02
2.06,0.92,2.1901,-5.3264,1.083e-02
0.94,0.94,-4.2648,-0.0162,6.842e-02
0.96,0.94,-4.6738,0.1562,6.128e-02
0.98,0.94,-5.6335,0.0457,5.517e-02
1.00,0.94,-7.3177,0.0319,4.992e-02
1.02,0.94,-7.3177,0.0319,4.540e-02
1.04,0.94,-7.3177,0.0319,4.151e-02
1.06,0.94,-7.3177,0.0319,3.815e-02
1.08,0.94,-7.3177,0.0319,3.524e-02
1.10,0.94,-7.3177,0.0319,3.272e-02
1.12,0.94,-7.3177,0.0319,3.051e-02
1.14,0.94,-7.3177,0.0319,2.859e-02
1.16,0.94,-6.9841,0.0273,2.690e-02
1.18,0.94,-5.3273,0.0687,2.542e-02
1.20,0.94,-4.6753,0.1557,2.411e-02
1.22,0.94,-4.4914,-0.1181,2.294e-02
1.24,0.94,-3.2625,0.6403,2.190e-02
1.26,0.94,-2.8234,-0.3433,2.097e-02
1.28,0.94,-0.9545,-1.9005,2.013e-02
1.30,0.94,1.7200,-4.8511,1.937e-02
1.32,0.94,2.1901,-5.3264,1.868e-02
1.34,0.94,2.1199,-1.0462,3.011e-02
1.36,0.94,2.0718,-0.8430,6.246e-02
1.38,0.94,2.0591,-0.8049,8.983e-02
1.40,0.94,2.0533,-0.7889,1.128e-01
1.42,0.94,2.0500,-0.7801,1.317e-01
1.44,0.94,2.0480,-0.7747,1.472e-01
1.46,0.94,2.0465,-0.7711,1.595e-01
1.48,0.94,2.0455,-0.7685,1.689e-01
1.50,0.94,2.0448,-0.7667,1.757e-01
1.52,0.94,2.0443,-0.7654,1.802e-01
1.54,0.94,2.0439,-0.7644,1.827e-01
1.56,0.94,2.0437,-0.7638,1.831e-01
1.58,0.94,2.0435,-0.7634,1.819e-01
1.60,0.94,2.0434,-0.7633,1.790e-01
1.62,0.94,2.0435,-0.7633,1.747e-01
1.64,0.94,2.0436,-0.7636,1.689e-01
1.66,0.94,2.0438,-0.7641,1.620e-01
1.68,0.94,2.0441,-0.7648,1.538e-01
1.70,0.94,2.0445,-0.7659,1.446e-01
1.72,0.94,2.0458,-0.7691,1.261e-01
1.74,0.94,2.1337,-0.6780,7.964e-02
1.76,0.94,2.1933,-0.6244,5.353e-02
1.78,0.94,2.2156,-0.6219,3.781e-02
1.80,0.94,2.2078,-0.6662,2.782e-02
1.82,0.94,2.1809,-0.7520,2.118e-02
1.84,0.94,2.1482,-0.8783,1.659e-02
1.86,0.94,2.1261,-1.0613,1.331e-02
1.88,0.94,2.1400,-1.4130,1.088e-02
1.90,0.94,2.1901,-5.3264,9.622e-03
1.92,0.94,2.1901,-5.3264,9.493e-03
1.94,0.94,2.1901,-5.3264,9.374e-03
1.96,0.94,2.1901,-5.3264,9.264e-03
1.98,0.94,2.1901,-5.3264,9.162e-03
2.00,0.94,2.1901,-5.3264,9.068e-03
2.02,0.94,2.1901,-5.3264,8.981e-03
2.04,0.94,2.1901,-5.3264,8.894e-03
2.06,0.94,2.1901,-5.3264,8.789e-03
0.96,0.96,-4.2109,0.0268,4.990e-02
0.98,0.96,-4.6128,0.1519,4.482e-02
1.00,0.96,-5.0894,0.0396,4.049e-02
1.02,0.96,-6.2101,0.0360,3.678e-02
1.04,0.96,-7.3177,0.0319,3.360e-02
1.06,0.96,-7.3177,0.0319,3.086e-02
1.08,0.96,-7.3177,0.0319,2.851e-02
1.10,0.96,-7.3177,0.0319,2.647e-02
1.12,0.96,-7.3177,0.0319,2.471e-02
1.14,0.96,-7.3177,0.0319,2.318e-02
1.16,0.96,-6.0845,0.0328,2.184e-02
1.18,0.96,-5.0964,0.0413,2.067e-02
1.20,0.96,-4.6476,0.1655,1.964e-02
1.22,0.96,-4.5263,-0.1142,1.873e-02
1.24,0.96,-3.4634,0.5969,1.792e-02
1.26,0.96,-2.9688,0.0456,1.719e-02
1.28,0.96,-2.0187,-1.2731,1.654e-02
1.30,0.96,0.1796,-3.4271,1.594e-02
1.32,0.96,2.0781,-0.8640,4.751e-02
1.34,0.96,2.0589,-0.8043,7.980e-02
1.36,0.96,2.0519,-0.7850,1.072e-01
1.38,0.96,2.0483,-0.7755,1.303e-01
1.40,0.96,2.0461,-0.7699,1.494e-01
1.42,0.96,2.0446,-0.7662,1.652e-01
1.44,0.96,2.0436,-0.7637,1.779e-01
1.46,0.96,2.0429,-0.7619,1.878e-01
1.48,0.96,2.0424,-0.7606,1.952e-01
1.50,0.96,2.0419,-0.7595,2.003e-01
1.52,0.96,2.0416,-0.7588,2.035e-01
1.54,0.96,2.0414,-0.7582,2.048e-01
1.56,0.96,2.0413,-0.7579,2.044e-01
1.58,0.96,2.0412,-0.7576,2.026e-01
1.60,0.96,2.0411,-0.7575,1.993e-01
1.62,0.96,2.0411,-0.7575,1.947e-01
1.64,0.96,2.0412,-0.7576,1.889e-01
1.66,0.96,2.0413,-0.7579,1.820e-01
1.68,0.96,2.0414,-0.7583,1.741e-01
1.70,0.96,2.1146,-0.6777,1.124e-01
