M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.9715,-0.4831,2.121e-01
0.92,0.90,1.9476,-0.4659,2.121e-01
0.94,0.90,1.9514,-0.4726,2.122e-01
0.96,0.90,1.9493,-0.4679,2.122e-01
0.98,0.90,1.9467,-0.4623,2.122e-01
1.00,0.90,1.9436,-0.4559,2.123e-01
1.02,0.90,1.9401,-0.4488,2.123e-01
1.04,0.90,1.9361,-0.4407,2.124e-01
1.06,0.90,1.9315,-0.4319,2.125e-01
1.08,0.90,1.9263,-0.4221,2.126e-01
1.10,0.90,1.9205,-0.4115,2.126e-01
1.12,0.90,1.9138,-0.4000,2.127e-01
1.14,0.90,1.9063,-0.3875,2.128e-01
1.16,0.90,1.8979,-0.3742,2.130e-01
1.18,0.90,1.8775,-0.3432,2.131e-01
1.20,0.90,1.8870,-0.2819,2.132e-01
1.22,0.90,1.8701,-0.3804,2.133e-01
1.24,0.90,1.8600,-0.1277,2.133e-01
1.26,0.90,1.6951,-0.9760,2.134e-01
1.28,0.90,2.0188,-0.7609,2.134e-01
1.30,0.90,2.0366,-0.7467,2.133e-01
1.32,0.90,2.0369,-0.7473,2.131e-01
1.34,0.90,2.0372,-0.7482,2.128e-01
1.36,0.90,2.0376,-0.7491,2.124e-01
1.38,0.90,2.0381,-0.7503,2.118e-01
1.40,0.90,2.0387,-0.7517,2.111e-01
1.42,0.90,2.0394,-0.7534,2.102e-01
1.44,0.90,2.0403,-0.7555,2.091e-01
1.46,0.90,2.0414,-0.7581,2.079e-01
1.48,0.90,2.0427,-0.7613,2.067e-01
1.50,0.90,2.0443,-0.7654,2.054e-01
1.52,0.90,2.0463,-0.7705,2.042e-01
1.54,0.90,2.0489,-0.7770,2.034e-01
1.56,0.90,2.0520,-0.7854,2.031e-01
1.58,0.90,2.0559,-0.7960,2.036e-01
1.60,0.90,2.0608,-0.8097,2.053e-01
1.62,0.90,2.0668,-0.8274,2.089e-01
1.64,0.90,2.0740,-0.8501,2.150e-01
1.66,0.90,2.0825,-0.8792,2.246e-01
1.68,0.90,2.0924,-0.9162,2.391e-01
1.70,0.90,2.1034,-0.9629,2.602e-01
1.72,0.90,2.1152,-1.0209,2.903e-01
1.74,0.90,2.1274,-1.0916,3.331e-01
1.76,0.90,2.1391,-1.1761,3.931e-01
1.78,0.90,2.1500,-1.2750,4.774e-01
1.80,0.90,2.1643,-1.4330,5.824e-01
1.82,0.90,2.1856,-1.6566,7.238e-01
1.84,0.90,2.1905,-1.9050,9.473e-01
1.86,0.90,2.1909,-2.1609,1.277e+00
1.88,0.90,2.1905,-2.4181,1.757e+00
1.90,0.90,2.1900,-2.6749,2.453e+00
1.92,0.90,2.1898,-2.9309,3.470e+00
1.94,0.90,2.1897,-3.1858,4.970e+00
1.96,0.90,2.1897,-3.4395,7.204e+00
1.98,0.90,2.1898,-3.6916,1.057e+01
2.00,0.90,2.1898,-3.9410,1.571e+01
2.02,0.90,2.1899,-4.1859,2.366e+01
2.04,0.90,2.1900,-4.4231,3.620e+01
2.06,0.90,2.1900,-4.6493,5.663e+01
0.92,0.92,1.9584,-0.5060,2.121e-01
0.94,0.92,1.9518,-0.4416,2.122e-01
0.96,0.92,1.9436,-0.4563,2.122e-01
0.98,0.92,1.9467,-0.4623,2.122e-01
1.00,0.92,1.9440,-0.4568,2.123e-01
1.02,0.92,1.9409,-0.4504,2.123e-01
1.04,0.92,1.9374,-0.4433,2.124e-01
1.06,0.92,1.9333,-0.4353,2.124e-01
1.08,0.92,1.9287,-0.4265,2.125e-01
1.10,0.92,1.9235,-0.4169,2.126e-01
1.12,0.92,1.9175,-0.4063,2.126e-01
1.14,0.92,1.9108,-0.3949,2.127e-01
1.16,0.92,1.9033,-0.3826,2.128e-01
1.18,0.92,1.8848,-0.3474,2.128e-01
1.20,0.92,1.8955,-0.2890,2.129e-01
1.22,0.92,1.8578,-0.4180,2.129e-01
1.24,0.92,1.9184,-0.0387,2.128e-01
1.26,0.92,1.7156,-0.8128,2.126e-01
1.28,0.92,1.8774,-0.8985,2.124e-01
1.30,0.92,2.0364,-0.7462,2.120e-01
1.32,0.92,2.0366,-0.7468,2.115e-01
1.34,0.92,2.0369,-0.7475,2.107e-01
1.36,0.92,2.0373,-0.7483,2.098e-01
1.38,0.92,2.0377,-0.7493,2.086e-01
1.40,0.92,2.0382,-0.7505,2.071e-01
1.42,0.92,2.0388,-0.7520,2.054e-01
1.44,0.92,2.0396,-0.7538,2.034e-01
1.46,0.92,2.0405,-0.7560,2.011e-01
1.48,0.92,2.0416,-0.7587,1.986e-01
1.50,0.92,2.0430,-0.7622,1.960e-01
1.52,0.92,2.0447,-0.7665,1.934e-01
1.54,0.92,2.0469,-0.7720,1.909e-01
1.56,0.92,2.0496,-0.7789,1.887e-01
1.58,0.92,2.0529,-0.7878,1.870e-01
1.60,0.92,2.0571,-0.7993,1.862e-01
1.62,0.92,2.0623,-0.8140,1.867e-01
1.64,0.92,2.0686,-0.8329,1.889e-01
1.66,0.92,2.0761,-0.8572,1.936e-01
1.68,0.92,2.0850,-0.8882,2.015e-01
1.70,0.92,2.0952,-0.9275,2.139e-01
1.72,0.92,2.1064,-0.9767,2.323e-01
1.74,0.92,2.1183,-1.0374,2.589e-01
1.76,0.92,2.1357,-1.1412,2.846e-01
