M1,M2,SrDy,ThDy,total_mass
0.90,0.90,1.8741,-0.2846,2.142e-01
0.92,0.90,1.8207,-0.2786,2.143e-01
0.94,0.90,1.8269,-0.2831,2.144e-01
0.96,0.90,1.8189,-0.2747,2.145e-01
0.98,0.90,1.8089,-0.2647,2.148e-01
1.00,0.90,1.7971,-0.2534,2.150e-01
1.02,0.90,1.7836,-0.2413,2.153e-01
1.04,0.90,1.7686,-0.2285,2.157e-01
1.06,0.90,1.7523,-0.2156,2.160e-01
1.08,0.90,1.7348,-0.2026,2.165e-01
1.10,0.90,1.7162,-0.1898,2.169e-01
1.12,0.90,1.6968,-0.1773,2.175e-01
1.14,0.90,1.6766,-0.1653,2.180e-01
1.16,0.90,1.6558,-0.1537,2.186e-01
1.18,0.90,1.6117,-0.1305,2.192e-01
1.20,0.90,1.6318,-0.0467,2.198e-01
1.22,0.90,1.5992,-0.1844,2.205e-01
1.24,0.90,1.5830,0.1085,2.211e-01
1.26,0.90,1.3110,-1.1670,2.217e-01
1.28,0.90,1.9831,-0.8071,2.222e-01
1.30,0.90,2.0420,-0.7596,2.227e-01
1.32,0.90,2.0426,-0.7611,2.231e-01
1.34,0.90,2.0432,-0.7626,2.233e-01
1.36,0.90,2.0438,-0.7642,2.233e-01
1.38,0.90,2.0445,-0.7660,2.232e-01
1.40,0.90,2.0453,-0.7679,2.227e-01
1.42,0.90,2.0461,-0.7699,2.220e-01
1.44,0.90,2.0470,-0.7721,2.209e-01
1.46,0.90,2.0479,-0.7745,2.195e-01
1.48,0.90,2.0489,-0.7771,2.177e-01
1.50,0.90,2.0500,-0.7800,2.155e-01
1.52,0.90,2.0512,-0.7832,2.129e-01
1.54,0.90,2.0525,-0.7867,2.099e-01
1.56,0.90,2.0540,-0.7906,2.065e-01
1.58,0.90,2.0555,-0.7949,2.028e-01
1.60,0.90,2.0573,-0.7997,1.989e-01
1.62,0.90,2.0591,-0.8049,1.947e-01
1.64,0.90,2.0612,-0.8108,1.903e-01
1.66,0.90,2.0634,-0.8174,1.858e-01
1.68,0.90,2.0658,-0.8246,1.813e-01
1.70,0.90,2.0685,-0.8326,1.768e-01
1.72,0.90,2.0713,-0.8415,1.724e-01
1.74,0.90,2.0743,-0.8513,1.681e-01
1.76,0.90,2.0776,-0.8621,1.639e-01
1.78,0.90,2.0811,-0.8741,1.600e-01
1.80,0.90,2.0946,-0.8987,1.431e-01
1.82,0.90,2.1630,-0.8935,1.145e-01
1.84,0.90,2.1932,-0.9423,9.940e-02
1.86,0.90,2.2005,-1.0253,9.136e-02
1.88,0.90,2.1963,-1.1270,8.737e-02
1.90,0.90,2.1876,-1.2375,8.583e-02
1.92,0.90,2.1777,-1.3509,8.586e-02
1.94,0.90,2.1680,-1.4640,8.694e-02
1.96,0.90,2.1592,-1.5749,8.877e-02
1.98,0.90,2.1516,-1.6824,9.114e-02
2.00,0.90,2.1452,-1.7860,9.394e-02
2.02,0.90,2.1402,-1.8855,9.708e-02
2.04,0.90,2.1367,-1.9810,1.005e-01
2.06,0.90,2.1350,-2.0742,1.043e-01
0.92,0.92,1.8455,-0.3293,2.143e-01
0.94,0.92,1.8308,-0.2430,2.143e-01
0.96,0.92,1.8114,-0.2678,2.145e-01
0.98,0.92,1.8152,-0.2709,2.146e-01
1.00,0.92,1.8056,-0.2614,2.148e-01
1.02,0.92,1.7942,-0.2507,2.151e-01
1.04,0.92,1.7811,-0.2390,2.154e-01
1.06,0.92,1.7665,-0.2268,2.157e-01
1.08,0.92,1.7507,-0.2143,2.161e-01
1.10,0.92,1.7336,-0.2017,2.165e-01
1.12,0.92,1.7155,-0.1893,2.169e-01
1.14,0.92,1.6966,-0.1771,2.174e-01
1.16,0.92,1.6768,-0.1654,2.179e-01
1.18,0.92,1.6354,-0.1342,2.184e-01
1.20,0.92,1.6567,-0.0518,2.189e-01
1.22,0.92,1.5806,-0.2436,2.194e-01
1.24,0.92,1.7090,0.2631,2.199e-01
1.26,0.92,1.3443,-0.8562,2.202e-01
1.28,0.92,1.6327,-1.1445,2.205e-01
1.30,0.92,2.0414,-0.7582,2.207e-01
1.32,0.92,2.0420,-0.7596,2.207e-01
1.34,0.92,2.0426,-0.7610,2.205e-01
1.36,0.92,2.0432,-0.7626,2.200e-01
1.38,0.92,2.0439,-0.7643,2.193e-01
1.40,0.92,2.0446,-0.7662,2.182e-01
1.42,0.92,2.0454,-0.7682,2.167e-01
1.44,0.92,2.0463,-0.7704,2.149e-01
1.46,0.92,2.0472,-0.7728,2.126e-01
1.48,0.92,2.0483,-0.7755,2.099e-01
1.50,0.92,2.0494,-0.7785,2.068e-01
1.52,0.92,2.0507,-0.7817,2.033e-01
1.54,0.92,2.0520,-0.7854,1.994e-01
1.56,0.92,2.0535,-0.7895,1.952e-01
1.58,0.92,2.0552,-0.7940,1.908e-01
1.60,0.92,2.0570,-0.7990,1.861e-01
1.62,0.92,2.0590,-0.8047,1.813e-01
1.64,0.92,2.0612,-0.8109,1.764e-01
1.66,0.92,2.0636,-0.8179,1.714e-01
1.68,0.92,2.0662,-0.8257,1.666e-01
1.70,0.92,2.0690,-0.8343,1.618e-01
1.72,0.92,2.0721,-0.8439,1.572e-01
1.74,0.92,2.0753,-0.8545,1.528e-01
1.76,0.92,2.0845,-0.8782,1.368e-01
1.78,0.92,2.1595,-0.8586,1.063e-01
1.80,0.92,2.1936,-0.8973,9.015e-02
1.82,0.92,2.2018,-0.9748,8.145e-02
1.84,0.92,2.1968,-1.0742,7.697e-02
1.86,0.92,2.1865,-1.1844,7.500e-02
1.88,0.92,2.1747,-1.2986,7.462e-02
1.90,0.92,2.1632,-1.4130,7.530e-02
1.92,0.92,2.1528,-1.5254,7.672e-02
1.94,0.92,2.1438,-1.6344,7.868e-02
1.96,0.92,2.1363,-1.7392,8.105e-02
1.98,0.92,2.1305,-1.8393,8.373e-02
2.00,0.92,2.1264,-1.9347,8.669e-02
2.02,0.92,2.1242,-2.0256,8.988e-02
2.04,0.92,2.1237,-2.1128,9.328e-02
2.06,0.92,2.1251,-2.1984,9.693e-02
0.94,0.94,1.8378,-0.3316,2.144e-01
0.96,0.94,1.8392,-0.1978,2.144e-01
0.98,0.94,1.8058,-0.2505,2.145e-01
1.00,0.94,1.8118,-0.2675,2.147e-01
1.02,0.94,1.8025,-0.2585,2.149e-01
