M1,M2,SrDy,ThDy,total_mass
0.90,0.90,2.0342,-0.7412,2.110e-01
0.92,0.90,2.0342,-0.7412,2.110e-01
0.94,0.90,2.0342,-0.7412,2.110e-01
0.96,0.90,2.0342,-0.7412,2.110e-01
0.98,0.90,2.0342,-0.7412,2.110e-01
1.00,0.90,2.0342,-0.7412,2.110e-01
1.02,0.90,2.0342,-0.7412,2.110e-01
1.04,0.90,2.0342,-0.7412,2.110e-01
1.06,0.90,2.0342,-0.7412,2.110e-01
1.08,0.90,2.0342,-0.7412,2.110e-01
1.10,0.90,2.0342,-0.7412,2.110e-01
1.12,0.90,2.0342,-0.7412,2.110e-01
1.14,0.90,2.0342,-0.7412,2.110e-01
1.16,0.90,2.0232,-0.6904,2.111e-01
1.18,0.90,1.9249,-0.4186,2.123e-01
1.20,0.90,1.8671,-0.2515,2.136e-01
1.22,0.90,1.7969,-0.3046,2.148e-01
1.24,0.90,1.7443,0.0054,2.160e-01
1.26,0.90,1.4796,-1.0936,2.171e-01
1.28,0.90,1.9988,-0.7867,2.182e-01
1.30,0.90,2.0400,-0.7548,2.191e-01
1.32,0.90,2.0408,-0.7568,2.200e-01
1.34,0.90,2.0417,-0.7589,2.206e-01
1.36,0.90,2.0425,-0.7610,2.210e-01
1.38,0.90,2.0434,-0.7632,2.211e-01
1.40,0.90,2.0443,-0.7655,2.210e-01
1.42,0.90,2.0453,-0.7678,2.205e-01
1.44,0.90,2.0462,-0.7703,2.196e-01
1.46,0.90,2.0472,-0.7728,2.183e-01
1.48,0.90,2.0483,-0.7756,2.166e-01
1.50,0.90,2.0494,-0.7785,2.144e-01
1.52,0.90,2.0506,-0.7816,2.117e-01
1.54,0.90,2.0518,-0.7849,2.086e-01
1.56,0.90,2.0532,-0.7885,2.051e-01
1.58,0.90,2.0546,-0.7924,2.012e-01
1.60,0.90,2.0561,-0.7966,1.969e-01
1.62,0.90,2.0578,-0.8012,1.923e-01
1.64,0.90,2.0596,-0.8062,1.875e-01
1.66,0.90,2.0615,-0.8116,1.825e-01
1.68,0.90,2.0635,-0.8175,1.773e-01
1.70,0.90,2.0657,-0.8240,1.721e-01
1.72,0.90,2.0680,-0.8311,1.669e-01
1.74,0.90,2.0704,-0.8387,1.617e-01
1.76,0.90,2.0730,-0.8470,1.565e-01
1.78,0.90,2.0758,-0.8560,1.515e-01
1.80,0.90,2.0885,-0.8747,1.333e-01
1.82,0.90,2.1603,-0.8538,1.034e-01
1.84,0.90,2.1937,-0.8861,8.683e-02
1.86,0.90,2.2023,-0.9539,7.718e-02
1.88,0.90,2.1977,-1.0423,7.143e-02
1.90,0.90,2.1870,-1.1410,6.798e-02
1.92,0.90,2.1741,-1.2437,6.593e-02
1.94,0.90,2.1609,-1.3467,6.474e-02
1.96,0.90,2.1482,-1.4477,6.409e-02
1.98,0.90,2.1363,-1.5453,6.373e-02
2.00,0.90,2.1255,-1.6382,6.349e-02
2.02,0.90,2.1159,-1.7256,6.318e-02
2.04,0.90,2.1075,-1.8061,6.254e-02
2.06,0.90,2.0995,-1.8761,6.065e-02
0.92,0.92,2.0342,-0.7412,2.110e-01
0.94,0.92,2.0342,-0.7412,2.110e-01
0.96,0.92,2.0342,-0.7412,2.110e-01
0.98,0.92,2.0342,-0.7412,2.110e-01
1.00,0.92,2.0342,-0.7412,2.110e-01
1.02,0.92,2.0342,-0.7412,2.110e-01
1.04,0.92,2.0342,-0.7412,2.110e-01
1.06,0.92,2.0342,-0.7412,2.110e-01
1.08,0.92,2.0342,-0.7412,2.110e-01
1.10,0.92,2.0342,-0.7412,2.110e-01
