M1,M2,SrDy,ThDy,total_mass
0.90,0.90,0.7649,0.0856,3.368e-01
0.92,0.90,0.6755,0.0131,3.231e-01
0.94,0.90,0.7516,0.0126,3.114e-01
0.96,0.90,0.7952,0.0105,3.012e-01
0.98,0.90,0.8367,0.0083,2.925e-01
1.00,0.90,0.8762,0.0060,2.850e-01
1.02,0.90,0.9135,0.0036,2.784e-01
1.04,0.90,0.9487,0.0012,2.727e-01
1.06,0.90,0.9818,-0.0014,2.678e-01
1.08,0.90,1.0130,-0.0039,2.635e-01
1.10,0.90,1.0422,-0.0065,2.597e-01
1.12,0.90,1.0696,-0.0092,2.564e-01
1.14,0.90,1.0952,-0.0118,2.534e-01
1.16,0.90,1.1191,-0.0144,2.508e-01
1.18,0.90,1.1089,-0.0117,2.485e-01
1.20,0.90,1.1892,0.0785,2.464e-01
1.22,0.90,1.1934,-0.0859,2.444e-01
1.24,0.90,1.2193,0.2112,2.426e-01
1.26,0.90,0.9390,-1.2769,2.409e-01
1.28,0.90,1.9259,-0.8839,2.392e-01
1.30,0.90,2.0497,-0.7793,2.375e-01
1.32,0.90,2.0492,-0.7780,2.358e-01
1.34,0.90,2.0488,-0.7768,2.340e-01
1.36,0.90,2.0484,-0.7758,2.320e-01
1.38,0.90,2.0480,-0.7749,2.298e-01
1.40,0.90,2.0477,-0.7741,2.273e-01
1.42,0.90,2.0475,-0.7735,2.246e-01
1.44,0.90,2.0473,-0.7729,2.215e-01
1.46,0.90,2.0471,-0.7725,2.180e-01
1.48,0.90,2.0470,-0.7722,2.142e-01
1.50,0.90,2.0469,-0.7720,2.099e-01
1.52,0.90,2.0469,-0.7719,2.052e-01
1.54,0.90,2.0469,-0.7719,2.000e-01
1.56,0.90,2.0469,-0.7721,1.945e-01
1.58,0.90,2.0470,-0.7723,1.885e-01
1.60,0.90,2.0472,-0.7727,1.823e-01
1.62,0.90,2.0474,-0.7732,1.757e-01
1.64,0.90,2.0476,-0.7739,1.690e-01
1.66,0.90,2.0479,-0.7746,1.621e-01
1.68,0.90,2.0483,-0.7755,1.550e-01
1.70,0.90,2.0487,-0.7766,1.479e-01
1.72,0.90,2.0491,-0.7778,1.409e-01
1.74,0.90,2.0497,-0.7791,1.339e-01
1.76,0.90,2.0502,-0.7806,1.270e-01
1.78,0.90,2.0509,-0.7823,1.202e-01
1.80,0.90,2.0604,-0.7820,1.003e-01
1.82,0.90,2.1469,-0.6997,6.880e-02
1.84,0.90,2.1960,-0.6657,5.059e-02
1.86,0.90,2.2131,-0.6734,3.939e-02
1.88,0.90,2.2060,-0.7136,3.216e-02
1.90,0.90,2.1828,-0.7770,2.729e-02
1.92,0.90,2.1499,-0.8558,2.390e-02
1.94,0.90,2.1121,-0.9440,2.147e-02
1.96,0.90,2.0726,-1.0369,1.969e-02
1.98,0.90,2.0337,-1.1311,1.836e-02
2.00,0.90,1.9971,-1.2240,1.733e-02
2.02,0.90,1.9642,-1.3134,1.653e-02
2.04,0.90,1.9358,-1.3981,1.589e-02
